,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0.01,0.01,0.01,0,0.02,0.01,0.01,0.01,:,:
Prov. Antwerpen,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.01,0,0.01,0.01,0.03,0.05,0.08,0.03,0.01,:,:
Prov. Limburg (BE),:,:,:,:,:,:,:,:,:,:,:,0,0.1,0.1,0.06,0.01,0.04,0.02,0.02,0.02,0.01,0.04,0.02,:,:
Prov. Oost-Vlaanderen,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.12,0.03,0.04,0.05,0.15,0.17,0.18,0.15,0.17,:,:
Prov. Vlaams-Brabant,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.03,0.01,0.02,0.04,0.04,0.05,0.03,0.06,0.05,:,:
Prov. West-Vlaanderen,:,:,:,:,:,:,:,:,:,:,:,0,0,0.1,0.09,0.17,0.12,0.24,0.26,0.28,0.25,0.26,0.24,:,:
Prov. Brabant wallon,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.02,0.08,0.08,0.06,0.08,0.11,0.16,0.08,0.08,:,:
Prov. Hainaut,:,:,:,:,:,:,:,:,:,:,:,0,0.1,0.1,0.08,0.12,0.14,0.09,0.12,0.11,0.12,0.13,0.15,:,:
Prov. Liège,:,:,:,:,:,:,:,:,:,:,:,0,0,0.1,0.13,0.1,0.12,0.08,0.16,0.17,0.19,0.19,0.19,:,:
Prov. Luxembourg (BE),:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.03,0.04,0.05,0.07,0.05,0.01,0.04,0.02,0.06,:,:
Prov. Namur,:,:,:,:,:,:,:,:,:,:,:,0,0,0.1,0.06,0.18,0.13,0.19,0.17,0.17,0.18,0.23,0.23,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.23,:,:,:,0,0
Severen tsentralen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.11,:,:,:,0,0
Severoiztochen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.7,:,:,:,0,0
Yugoiztochen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.24,:,:,:,0,0
Yugozapaden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.15,:,:,:,0,0
Yuzhen tsentralen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.16,:,:,:,0,0
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0
Praha,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:
Střední Čechy,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:
Jihozápad,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:
Severozápad,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:
Severovýchod,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:
Jihovýchod,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:
Střední Morava,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:
Moravskoslezsko,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:
Extra-Regio NUTS 2,0,0,0,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:
Hovedstaden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.2,:,:,:,:,:,:,:,:,:,:
Sjælland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.7,:,:,:,:,:,:,:,:,:,:
Syddanmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.4,:,:,:,:,:,:,:,:,:,:
Midtjylland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.4,:,:,:,:,:,:,:,:,:,:
Nordjylland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.6,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Stuttgart,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Karlsruhe,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Freiburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Tübingen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberbayern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Niederbayern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberpfalz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Oberfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mittelfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Unterfranken,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Schwaben,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Berlin,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Brandenburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bremen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hamburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Darmstadt,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Gießen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kassel,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Mecklenburg-Vorpommern,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Braunschweig,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hannover,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Lüneburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Weser-Ems,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Düsseldorf,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Köln,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Münster,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Detmold,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Arnsberg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Koblenz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Trier,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Rheinhessen-Pfalz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Saarland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Dresden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Chemnitz,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Leipzig,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Sachsen-Anhalt,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Schleswig-Holstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Thüringen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Eesti,0.7,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,8.5,0.1,0.4,2.6,9.2,:,:,:,:,:,15.83,11.43,10.54,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Northern and Western,:,:,:,:,:,:,:,:,:,:,:,:,:,0.07,0.19,:,:,:,0.04,:,:,:,:,:,:
Southern,:,:,:,:,:,:,:,:,:,:,:,:,:,1.94,1.28,:,:,:,3.94,:,:,:,:,:,:
Eastern and Midland,:,:,:,:,:,:,:,:,:,:,:,:,:,1.97,1.46,:,:,:,3.81,:,:,:,:,:,:
"Border, Midland and Western (NUTS 2013)",:,:,:,:,:,:,:,:,:,:,0.37,0.19,0.41,0.74,0.54,1.28,1.49,:,:,:,:,:,:,:,:
Southern and Eastern (NUTS 2013),:,:,:,:,:,:,:,:,:,:,3.02,1.96,2.96,3.24,2.38,8.58,10.03,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
"Anatoliki Makedonia, Thraki (NUTS 2010)",:,:,:,:,:,:,:,0.02,0.02,0.01,0.17,0.03,0.01,0.02,0.02,:,:,:,:,:,:,:,:,:,:
Kentriki Makedonia (NUTS 2010),:,:,:,:,:,:,:,0.28,0.3,0.22,0.11,0.02,0.14,0.14,0.15,:,:,:,:,:,:,:,:,:,:
Dytiki Makedonia (NUTS 2010),:,:,:,:,:,:,:,:,:,:,0.1,0.06,0,0.01,0.01,:,:,:,:,:,:,:,:,:,:
Thessalia (NUTS 2010),:,:,:,:,:,:,:,0.04,0.04,0.03,0.17,0.02,0.02,0.09,0.03,:,:,:,:,:,:,:,:,:,:
Ipeiros (NUTS 2010),:,:,:,:,:,:,:,0.03,0.03,0.02,0.12,0.02,0.01,0.02,0.02,:,:,:,:,:,:,:,:,:,:
Ionia Nisia (NUTS 2010),:,:,:,:,:,:,:,0.06,0.06,0.04,0.15,0.02,0.03,0.03,0.03,:,:,:,:,:,:,:,:,:,:
Dytiki Ellada (NUTS 2010),:,:,:,:,:,:,:,0.09,0.09,0.06,0.16,0.04,0.04,0.01,0.05,:,:,:,:,:,:,:,:,:,:
Sterea Ellada (NUTS 2010),:,:,:,:,:,:,:,0.14,0.13,0.09,0.21,0.07,0.06,0.12,0.08,:,:,:,:,:,:,:,:,:,:
Peloponnisos (NUTS 2010),:,:,:,:,:,:,:,0.24,0.22,0.16,0.14,0.05,0.11,0.12,0.12,:,:,:,:,:,:,:,:,:,:
Attiki,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.01,0.05,0.03,0.09,0.01,0,0.02,0.03,:,:
Nisia Aigaiou,:,:,:,:,:,:,:,0.66,0.63,0.45,0.51,0.32,0.3,0.29,0.35,:,:,:,:,:,:,:,:,:,:
Voreio Aigaio,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.06,0.04,0.08,0.06,0.12,0.1,0.02,0.1,0.11,:,:
Notio Aigaio,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.27,0,0,0,0.1,0.09,0.09,0.01,0.01,:,:
Kriti,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.04,0.16,0.15,0.11,0.13,0.14,0.15,0.12,0.25,0.38,0.27,:,:
"Anatoliki Makedonia, Thraki",0.03,0.04,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.14,0.12,0.1,0.12,0.25,0.39,0.4,0.22,0.3,0.2,:,:
Kentriki Makedonia,1.07,1.23,1.04,1.08,1.02,1.27,1.18,1.03,1,0.99,1.19,1.03,1.14,1.43,2.84,3.18,3.14,3.27,2.07,1.74,0.54,2.03,2.02,:,:
Dytiki Makedonia,0.12,0.14,0.11,0.12,0.11,0.14,0.13,0.11,0.11,0.11,0.13,0.11,0.13,0.06,0.14,0.35,0.25,0.46,0.31,0.1,0.12,0.11,0.13,:,:
Ipeiros,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.01,0.01,0.01,0.04,0,0,0,0.01,:,:
Thessalia,0.11,0.13,0.11,0.11,0.11,0.14,0.13,0.11,0.11,0.11,0.13,0.11,0.12,0.09,0.26,0.34,0.51,0.42,1.11,0.42,0.54,0.38,0.44,:,:
Ionia Nisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,:,:
Dytiki Elláda,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.06,0.05,0.03,0.04,0.05,:,:
Sterea Elláda,0.08,0.09,0.08,0.08,0.07,0.09,0.09,0.08,0.07,0.07,0.09,0.08,0.08,0.14,0.18,0.23,0.37,0.39,0.52,0.24,0.3,0.3,0.3,:,:
Peloponnisos,0.06,0.07,0.06,0.06,0.06,0.07,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.14,0.16,0.17,0.29,0.53,0.61,0.38,0.35,0.36,0.38,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Galicia,:,:,:,:,:,:,:,:,:,:,0,1.77,0,0,0,0,0,0,0,0,0,0.02,0.06,:,:
Principado de Asturias,:,:,:,:,:,:,:,:,:,:,0,1.03,0,0,0,0,0,0,0,0,0,0,0,:,:
Cantabria,:,:,:,:,:,:,:,:,:,:,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,:,:
País Vasco,:,:,:,:,:,:,:,:,:,:,0.03,1.43,1.06,0.79,1.17,2.49,2.18,1.13,0.32,0.36,0.3,0.36,0.41,:,:
Comunidad Foral de Navarra,:,:,:,:,:,:,:,:,:,:,0.96,1.74,1.74,1.28,2.28,4.43,3.59,2.74,1.46,1.33,1.5,2.14,1.72,:,:
La Rioja,:,:,:,:,:,:,:,:,:,:,0.01,0.15,0.03,0.03,0.03,0.11,0.13,0.1,0.01,0.01,0.01,0.01,0.01,:,:
Aragón,:,:,:,:,:,:,:,:,:,:,0.32,0.4,0.25,0.44,0.74,0.79,0.55,0.91,1.26,1.91,1.6,2.49,2.54,:,:
Comunidad de Madrid,:,:,:,:,:,:,:,:,:,:,0,0.04,0.01,0,0,0.04,0.02,0.01,0,0,0,0.05,0.05,:,:
Castilla y León,:,:,:,:,:,:,:,:,:,:,0.25,3.01,0.68,0.47,0.52,1.19,1.21,0.78,0.21,0.1,0.16,0.19,0.27,:,:
Castilla-La Mancha,:,:,:,:,:,:,:,:,:,:,0.28,0.18,0.09,0.17,0.1,0.13,0.23,0.18,0.09,0.08,0.07,0.29,0.42,:,:
Extremadura,:,:,:,:,:,:,:,:,:,:,2.5,2.58,2.01,0.96,1.04,2.31,1.88,1.59,1.06,0.68,0.51,0.45,0.64,:,:
Cataluña,:,:,:,:,:,:,:,:,:,:,0.13,0.35,0.2,0.21,0.23,0.5,1.13,1.12,1.23,0.79,0.8,1.04,0.8,:,:
Comunitat Valenciana,:,:,:,:,:,:,:,:,:,:,0.1,0.07,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0,0,:,:
Illes Balears,:,:,:,:,:,:,:,:,:,:,1.6,2.11,2.26,2.04,1.99,2.25,2.61,2.36,2.55,2.48,2.13,1.89,1.59,:,:
Andalucía,:,:,:,:,:,:,:,:,:,:,18.42,19.89,16.13,11.06,14.97,35.76,33.5,25.55,14.96,14.26,13.99,12.88,9.61,:,:
Región de Murcia,:,:,:,:,:,:,:,:,:,:,0.04,0.04,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0,0,0,0,:,:
Ciudad de Ceuta,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:
Ciudad de Melilla,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:
Canarias,:,:,:,:,:,:,:,:,:,:,0.04,0.16,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Ile de France,:,:,:,:,:,:,:,12.64,14.41,17.64,24.68,16.16,13.07,13.62,13.88,14.08,10.21,7.8,3.66,4.62,6.15,3.63,4.68,:,:
Centre — Val de Loire,:,:,:,:,:,:,:,2.24,2.09,2.64,6.87,4.9,2.6,3.25,4.47,5.66,8.9,12.45,8.85,11.55,13.44,13.61,11.18,:,:
Bourgogne,:,:,:,:,:,:,:,0.8,0.72,0.99,2.97,2.37,1.21,1.68,2.38,2.25,2.24,2.75,2.58,4.08,6.15,5.25,4.23,:,:
Franche-Comté,:,:,:,:,:,:,:,0.28,0.16,0.25,0.36,0.52,0.33,0.48,0.59,0.36,0.32,0.39,0.3,0.39,0.4,0.28,0.26,:,:
Basse-Normandie,:,:,:,:,:,:,:,2.14,2.41,5.08,10.32,5.82,3.4,4.63,4.27,5.43,5.04,4.17,2.6,2.33,4.32,3.56,3.86,:,:
Haute-Normandie,:,:,:,:,:,:,:,4.32,5.53,9.01,15.1,7.82,5.24,7.5,6.53,8.9,6.2,4.03,2.02,1.48,2.17,1.91,1.78,:,:
Nord-Pas de Calais,:,:,:,:,:,:,:,3.45,3.63,5.67,10.94,5.76,3.77,4.9,4.05,4.85,3.22,2.16,1.23,0.81,1.05,0.85,0.93,:,:
Picardie,:,:,:,:,:,:,:,14.43,20.01,29.73,40.61,21.34,14.1,15.92,15.55,17.29,8.85,5.31,2.17,2.71,4.52,3.49,3.98,:,:
Alsace,:,:,:,:,:,:,:,0.03,0.04,0.05,0.06,0.08,0.07,0.06,0.11,0.17,0.08,0.09,0.08,0.08,0.11,0.12,0.12,:,:
Champagne-Ardenne,:,:,:,:,:,:,:,3.07,3.6,6.73,12.04,6.81,4.1,4.37,5.84,4.3,3.15,2.98,1.61,1.74,2.46,1.68,2.33,:,:
Lorraine,:,:,:,:,:,:,:,0.52,0.38,0.62,1.72,1.08,0.75,1.58,2.11,1.73,1.94,2.44,1.25,1.3,1.18,1.1,1.17,:,:
Pays de la Loire,:,:,:,:,:,:,:,1.94,1.87,3,6.82,4.91,3.26,2.48,4.34,4.13,5.01,6.65,6.38,5.64,5.16,6.68,6.57,:,:
Bretagne,:,:,:,:,:,:,:,0.83,0.91,0.95,3.41,2.02,1.31,1.2,1.79,2.28,2.83,3.53,3.23,3.38,3.35,3.8,3.55,:,:
Aquitaine,:,:,:,:,:,:,:,1.45,0.97,1.12,2.67,2.08,1.47,1.32,1.98,2.65,3.49,4.53,5.19,4.92,4.44,5.58,4.29,:,:
Limousin,:,:,:,:,:,:,:,0.11,0.1,0.14,0.24,0.24,0.13,0.15,0.2,0.25,0.25,0.43,0.28,0.37,0.28,0.3,0.32,:,:
Poitou-Charentes,:,:,:,:,:,:,:,0.89,0.78,1.24,2.81,1.96,1.27,1.22,1.85,2.2,2.58,4.83,4.62,5.62,8.12,9.26,6.89,:,:
Languedoc-Roussillon,:,:,:,:,:,:,:,0.06,0.02,0.06,0.26,0.17,0.17,0.11,0.15,0.23,0.3,0.33,0.39,0.45,0.63,0.72,0.93,:,:
Midi-Pyrénées,:,:,:,:,:,:,:,4.15,2.81,2.86,8.42,6.55,3.48,2.75,3.68,8.84,11.6,10.95,9.7,10.35,11.27,15.1,9.86,:,:
Auvergne,:,:,:,:,:,:,:,0.12,0.12,0.19,0.44,0.33,0.21,0.23,0.43,0.55,0.72,0.69,0.55,0.71,0.66,0.51,0.45,:,:
Rhône-Alpes,:,:,:,:,:,:,:,0.11,0.13,0.17,0.28,0.25,0.14,0.15,0.32,0.22,0.38,0.44,0.41,0.42,0.4,0.45,0.57,:,:
Provence-Alpes-Côte d’Azur,:,:,:,:,:,:,:,0.09,0.16,0.21,0.28,0.25,0.27,0.34,0.38,0.42,0.49,0.49,0.15,0.18,0.11,0.13,0.15,:,:
