,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.04,0.09,0.06,0.09,0.07,0.07,0.09,0.09,0.1,:,:
Prov. Antwerpen,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0.02,0.05,0.06,0.07,0.03,0.05,0.06,0.05,:,:
Prov. Limburg (BE),:,:,:,:,:,:,:,:,:,:,:,0,0.1,0.1,0.17,0.24,0.31,0.25,0.29,0.19,0.31,0.15,0.06,:,:
Prov. Oost-Vlaanderen,:,:,:,:,:,:,:,:,:,:,:,2,2.1,1.7,1.66,0.77,0.71,0.82,0.71,0.61,0.8,0.68,0.5,:,:
Prov. Vlaams-Brabant,:,:,:,:,:,:,:,:,:,:,:,0,0.1,0.1,0.18,0.37,0.39,0.5,0.51,0.59,0.68,0.68,0.54,:,:
Prov. West-Vlaanderen,:,:,:,:,:,:,:,:,:,:,:,6,5.6,5.3,5.44,3.17,3.33,3.2,2.68,2.86,3.31,2.45,2.45,:,:
Prov. Brabant wallon,:,:,:,:,:,:,:,:,:,:,:,1,0.4,0.5,0.61,1.46,1.75,2.02,2,1.94,2.14,1.66,1.67,:,:
Prov. Hainaut,:,:,:,:,:,:,:,:,:,:,:,1,0.9,1,1.5,3.23,3.48,3.83,3.46,3.61,4.61,4.16,3.78,:,:
Prov. Liège,:,:,:,:,:,:,:,:,:,:,:,0,0.5,0.5,0.82,2.26,2.66,3,2.87,2.81,3.56,2.75,3.01,:,:
Prov. Luxembourg (BE),:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.01,0.02,0.01,0.01,0.03,0.01,0.01,0.02,0.03,:,:
Prov. Namur,:,:,:,:,:,:,:,:,:,:,:,1,0.8,0.8,1.17,2.22,2.36,2.18,2.04,2.11,2.82,2.69,2.96,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,0,0,:,:,:,:,:,:,0,0
Severen tsentralen,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,0,0,:,:,:,:,:,:,0,0
Severoiztochen,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,0,0,:,:,:,:,:,:,0,0
