,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:
Prov. Antwerpen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:
Prov. Limburg (BE),0.7,0.8,0.8,1,1.1,1,0.8,0.7,0.6,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,:,:
Prov. Oost-Vlaanderen,0.8,1,0.8,1.2,1,1,0.9,0.8,0.5,0.1,0.6,2,0,0,0,0,0,0,0.01,0,0,0,0,:,:
Prov. Vlaams-Brabant,0.7,0.6,0.5,0.7,0.7,0.7,0.6,0.6,0.4,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,:,:
Prov. West-Vlaanderen,2.6,4.1,3.6,4.4,4.4,4,2.8,2.3,2,0.2,2,6,0,0,0,0,0,0,0,0,0,0.01,0,:,:
Prov. Brabant wallon,1.3,1.9,1.6,2,2,2,1.7,1.5,1.3,0.5,1,1,0,0,0,0.02,0,0.01,0,0.01,0.02,0,0,:,:
Prov. Hainaut,3,3.5,3.4,4.2,4.3,4,3.8,3.1,2.7,1.1,2.7,1,0,0,0.03,0.04,0.04,0.05,0.06,0.02,0.05,0.03,0.02,:,:
Prov. Liège,2.9,3.6,3.5,4.1,4.1,4.1,3.4,3.4,2.8,1.5,2.5,0,0,0,0.01,0.01,0.01,0,0,0,0.02,0.03,0.03,:,:
Prov. Luxembourg (BE),0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,:,:
Prov. Namur,1.5,2,1.8,2.5,2.7,2.2,1.9,1.8,1.5,5.7,1.4,1,0,0,0.02,0.02,0.06,0.02,0.02,0.02,0.02,0.06,0.02,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,0,0,0,0,:,0,0,:,:,:,0,0,0,0,:,:,0,:,:,:,:
Severen tsentralen,:,:,:,:,0,0,0,0,:,0,0,:,:,:,0,0,0,0,:,:,0,:,:,:,:
