,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.14,0.17,0.15,0.19,0.21,0.25,0.24,0.24,0.2,:,:
Prov. Antwerpen,2.2,2.5,2.4,2.5,2.7,2.5,3.1,3.3,2.9,3.4,3.8,5,3.3,3.6,3.95,3.89,4.43,4.28,4.26,4.58,4.38,4.62,4.16,:,:
Prov. Limburg (BE),2.1,1.8,2.1,2,2,2.1,2.1,2,1.8,2.1,2.5,3,2,2.3,2.36,2.57,3.04,3.1,3.12,3.69,3.71,3.61,3.25,:,:
Prov. Oost-Vlaanderen,10.5,9.9,9.9,8.9,10.2,9.9,10.2,10.3,9.2,10.3,11.4,12,9,10,10.59,10.62,12.3,12.67,12.34,13.09,12.71,11.71,10.95,:,:
Prov. Vlaams-Brabant,5,4.8,4.6,4.2,4.8,4.4,4.6,4.8,4.5,5.5,6.3,6,4.6,5,5.47,5.23,6.05,6.05,6.25,6.62,6.45,6.2,6.05,:,:
Prov. West-Vlaanderen,23.3,21.5,20.9,19.3,22.1,21.2,22.1,22,19.5,21,22.6,23,18.3,22.1,22.42,21.35,24.82,26.01,24.08,26.9,26.12,23.53,26.43,:,:
Prov. Brabant wallon,2.9,2.7,2.8,3,3.1,3.3,3.1,3.3,3.4,4.6,5.3,5,4.9,5.3,5.88,5.95,6.27,6.73,7.4,7.17,7.45,6.82,6.6,:,:
Prov. Hainaut,15.1,14.8,14.5,14.8,16.5,16.5,16.8,17.4,17.5,20,21.6,21,17.4,18.6,19.53,19.21,21.28,21.81,21.75,21.57,20.89,18.9,20.15,:,:
Prov. Liège,1.6,1.4,1.7,1.6,1.9,1.6,1.8,1.8,1.8,2.7,3.9,4,3.7,4.1,5.3,4.95,5.45,6.35,7.02,7.18,7.88,7.22,7.13,:,:
Prov. Luxembourg (BE),0.7,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0,0.3,0.3,0.36,0.31,0.3,0.29,0.34,0.4,0.27,0.37,0.4,:,:
Prov. Namur,2.5,2.2,2.3,2.5,2.8,2.8,2.8,2.6,2.8,3.6,3.9,4,3.5,3.7,4.39,4.44,5.12,5.39,6.56,6.74,7.23,6.72,6.63,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,0.7,0.3,0.3,:,0.5,:,:,:,:,0.17,:,0.5,0.29,:,0.49,0.63,:,:
Severen tsentralen,:,:,:,:,:,:,:,0.2,0.1,0.2,:,0.22,:,:,:,:,0.18,:,0.47,0.16,:,0.17,0.13,:,:
Severoiztochen,:,:,:,:,:,:,:,0.4,0.8,0.3,:,0.34,:,:,:,:,0.19,:,0.25,0.22,:,0.3,0.15,:,:
Yugoiztochen,:,:,:,:,:,:,:,1.2,0.8,0.4,:,0.6,:,:,:,:,0.41,:,1.06,0.82,:,1.03,1.08,:,:
Yugozapaden,11.1,11.2,17.1,10,:,:,:,8,10.2,6,:,7.52,:,:,:,:,4.49,:,6.72,5.15,:,5.63,4.82,:,:
Yuzhen tsentralen,:,:,:,:,:,:,:,11.9,9.5,6.9,:,7.04,:,:,:,:,2.93,:,5.09,2.65,:,3.29,2.37,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Praha,0.5,0.3,0,0,0,:,:,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Střední Čechy,11.3,9.4,7.4,7.5,7.5,:,:,:,6.8,6.6,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
