,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,1.2,1.22,1.59,1.27,1.05,1.46,1.08,1.22,0.76,1.13,1.05,:,:
Prov. Antwerpen,2.18,2.38,1.59,2.1,1.79,1.49,1.92,1.59,1.79,1.6,1.3,2,2.5,2.43,2.7,2.72,2.49,2.65,2.66,4.32,3.65,4.26,4.24,:,:
Prov. Limburg (BE),21.25,22.64,21.8,19.55,20.11,18.34,23.07,23.62,25.02,24.87,21.03,17.98,20.1,23.19,21.35,24.09,19.08,22.35,20.01,25.32,24.08,24.97,27.79,:,:
Prov. Oost-Vlaanderen,14.8,20.46,14.13,15.64,14.43,12.76,14.77,13.75,15.89,17.98,15.45,14.98,15.2,18.03,16,24.39,19.9,21.1,22.19,26.42,25.33,22.99,28.46,:,:
Prov. Vlaams-Brabant,36.05,43.4,38.22,36.69,40.11,37.97,46.03,44.44,43.1,45.35,41.36,39.95,41.3,42.84,41.9,47.24,37.03,42.64,37.11,44.13,38.03,37.41,41.51,:,:
Prov. West-Vlaanderen,8.04,10.72,8.86,11.83,11.65,10.06,13.76,14.85,17.38,21.77,22.02,18.98,22.7,29.37,27.67,42.11,38.5,38.83,35.13,42.73,32.19,24.92,33.46,:,:
Prov. Brabant wallon,35.55,34.76,30.36,23.55,23.69,25.51,37.13,41.16,49.15,46.65,35.68,29.97,36.1,42.03,38.63,39.89,30.34,30.14,24.53,31.6,24.69,25.53,31.66,:,:
Prov. Hainaut,59.78,62.86,59.32,53.22,54.84,57.7,74.96,78.13,94.83,104.18,86.1,76.91,82.3,85.68,86.49,92.11,73.09,81.01,67.27,85.7,66.32,64.11,77.28,:,:
Prov. Liège,55.51,59.08,58.03,37.99,43.2,42.45,56.75,53.71,64.05,66.22,50.62,43.95,45.3,49.12,46.29,43.59,35.19,36.07,25.49,32.07,24.33,20.39,32.8,:,:
Prov. Luxembourg (BE),13.31,14.9,13.74,14.63,12.34,12.56,12.54,10.96,13.8,14.88,11.46,8.99,9.9,14.48,16.49,19.13,15.53,14.9,14.94,16.82,14.07,11.03,16.9,:,:
Prov. Namur,84.31,94.73,95.06,56.13,81.12,81.61,90.64,90.88,100.69,108.37,87,84.9,86.9,87.3,99.92,98.1,73.51,86.42,73.71,90.72,76.02,63.34,77.87,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,74.78,188.83,173.89,179.37,132.67,118.39,127.7,166.24,133.28,131.19,150.09,102.19,104.47,128.27,94.56,85.45,:,:
Severen tsentralen,:,:,:,:,:,:,:,99.94,199.54,232.17,234.97,153.06,154.82,185.27,187.19,176.9,164.77,123.28,91.02,117.49,126.42,156.92,131.53,:,:
Severoiztochen,:,:,:,:,:,:,:,93.65,174.94,183.38,175.04,156.37,115.7,114.06,125.22,105.74,164.51,122.14,88.29,116.19,95.4,176.79,180.35,:,:
Yugoiztochen,:,:,:,:,:,:,:,128.62,264.57,230,193.24,124.98,232.85,244.2,306.35,216.64,205.02,164.38,112.35,162.78,126.96,200.75,159.35,:,:
Yugozapaden,:,22.69,29.93,13.35,:,:,:,7.63,20.79,11.76,15.03,11.07,19.66,16.85,22.17,21.84,17.8,17.37,16.52,19.97,28.84,24.91,21.18,:,:
Yuzhen tsentralen,:,:,:,:,:,:,:,28.26,54.64,54.35,54.03,47.23,43.67,62.8,65.87,60.44,45.63,39.54,38.33,42.25,60.43,50.14,46.75,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Praha,7.4,8.8,6.7,8.3,9.2,6.97,9.67,9.47,13.3,11.3,9.35,11.95,9.1,8.7,11.74,11.31,10.42,9.06,7.2,8.22,7.88,7.18,7.69,:,:
Střední Čechy,283.5,344.9,352.9,376,458.9,446.6,374.97,381.47,450.9,427,314.18,364.67,324.02,322.05,402.01,405.16,377.73,336,305.05,329.2,343.54,333.58,353.23,:,:
Jihozápad,310.3,340.1,310.9,333.7,404.8,372.01,311.77,354.97,374.5,344,278.47,301.2,284.49,272,326.4,333.19,326.56,310,285.64,309.25,316.41,294.67,338.11,:,:
Severozápad,108.5,128.9,145.7,145.1,182.5,185.96,159.25,148.75,187.1,145.5,106.37,140.56,120.82,113.52,149.82,157.04,137.69,131.15,109.42,120.69,127.8,133.66,138.11,:,:
Severovýchod,212.7,234.3,225.9,247.2,282.6,279.06,243.38,247.98,276,244.1,190.79,212.17,200.61,197.74,239.55,237.94,219.98,211.15,207.88,220.17,227.14,219.81,238.35,:,:
Jihovýchod,403.9,550.2,435.8,538.4,575.1,523.74,465.16,431.84,526.2,458.8,383.14,442.25,362.18,377.61,457.7,455.59,423.37,396.98,379.81,397.68,436.94,414.28,442.39,:,:
Střední Morava,206.2,260.5,221.9,319,298.7,275.91,241.82,229.17,302.8,274,224.2,255.38,235.91,226.59,285.08,290.78,259.1,237.53,231.93,249.08,266.96,260.82,272.44,:,:
Moravskoslezsko,96.9,97.9,92.8,101,118.7,105.13,91.68,89.76,113,98.3,77.96,85.5,79.34,75.54,94.75,100.4,90.42,80.4,79.1,83.78,89.51,85.14,87.05,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hovedstaden,:,:,:,:,:,:,91.92,86.28,98.34,102.99,79.76,98.94,137.58,112.18,110.1,113.17,114.55,122.85,91.33,116.63,134.12,93.7,116.53,:,:
Sjælland,:,:,:,:,:,:,670.91,651.63,855.73,804.34,659.24,717.26,997.47,839.92,807.7,921.36,791.78,841.5,733.37,867.59,862.26,711.03,847.63,:,:
Syddanmark,:,:,:,:,:,:,913.16,863.94,927.09,931.54,835.57,874.02,1125.06,1071.3,959.71,1037.89,1071.69,1088.1,956.94,948.44,1131.49,905.74,1174.98,:,:
Midtjylland,:,:,:,:,:,:,1070.11,1012.78,1026.72,1076.73,958.03,1078.61,1168.95,1304.55,1151.16,1191.48,1307.72,1286.86,1111.13,1163.61,1360.79,1178.83,1355.55,:,:
Nordjylland,:,:,:,:,:,:,480.94,453.47,448.62,:,414.13,443.19,582.45,575.92,477.78,547.36,618.03,606.47,552.5,528.28,667.94,572.96,627.72,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
