,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0,0,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prov. Antwerpen,0.1,0,0,0.1,0.1,0.1,0.1,0,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prov. Limburg (BE),4.7,5.5,5.4,7,7.2,6.3,4.4,4,3.7,2.4,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
Prov. Oost-Vlaanderen,5.9,3.1,5.9,7.7,6.8,6.4,5.4,4.3,3.2,4.3,0,1,2,1.4,0,0,0,0,0,0,0,0,0,0,0
Prov. Vlaams-Brabant,4.9,2.7,3.1,4.3,4.6,3.6,4,3.8,3.3,3,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
Prov. West-Vlaanderen,18,10.7,26.3,29.4,25.8,20.9,19.4,12.5,12.2,14.5,0,3,4.6,4.3,0,0,0,0,0,0,0,0,0,0,0
Prov. Brabant wallon,8.3,0.7,11.4,12.9,10.5,10.8,8.4,8.3,5.2,7.5,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0
Prov. Hainaut,19.8,3,22,25.3,28.2,21.8,19.1,15.6,13.5,15.1,0,0,0.5,0.7,0,0,0,0,0,0,0,0,0,0,0
Prov. Liège,18.6,14.2,22.5,28,24.1,21,18.5,19.3,17.2,16.3,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0
Prov. Luxembourg (BE),0,0,0.1,0.1,0,0,0,0,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prov. Namur,9.8,5.4,11.4,19.8,16.2,12,11.7,10.9,9.4,10.4,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,0,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Severozapaden,0,0,:,:,0,0,0,0,:,0,0,:,:,:,0,:,0,:,:,:,0,:,:,:,:
Severen tsentralen,0,0,:,:,0,0,0,0,:,0,0,:,:,:,0,:,0,:,:,:,0,:,:,:,:
Severoiztochen,0,0,:,:,0,0,0,0,:,0,0,:,:,:,0,:,0,:,:,:,0,:,:,:,:
Yugoiztochen,0,0,:,:,0,0,0,0,:,0,0,:,:,:,0,:,0,:,:,:,0,:,:,:,:
Yugozapaden,0,0,:,:,0,0,0,0,:,0,0,:,:,:,0,:,0,:,:,:,0,:,:,:,:
Yuzhen tsentralen,0,0,:,:,0,0,0,0,:,0,0,:,:,:,0,:,0,:,:,:,0,:,:,:,:
Extra-Regio NUTS 2,0,0,:,:,0,0,0,:,:,0,0,:,:,:,0,:,:,:,0,0,0,:,0,:,:
Praha,0,0,0,0,0,:,:,:,0,0,:,0,0,0.03,0,:,:,:,:,:,:,:,:,:,:
Střední Čechy,0.2,0.36,0.27,0.46,0.33,:,:,:,0.26,0.6,:,0.39,0.17,0.17,0.33,:,:,:,:,:,:,:,:,:,:
Jihozápad,0.3,0.31,0.22,0.58,0.06,:,:,:,0.02,0.2,:,0.09,0.1,0.11,0.21,:,:,:,:,:,:,:,:,:,:
Severozápad,0.5,0.19,0.16,0.27,0.68,:,:,:,0.31,0.6,:,0.51,0.15,0.06,0.24,:,:,:,:,:,:,:,:,:,:
Severovýchod,0.5,0.5,0.4,0.34,0.43,:,:,:,0.15,0.6,:,0.46,0.48,0.45,0.51,:,:,:,:,:,:,:,:,:,:
Jihovýchod,0.7,0.74,0.59,1.63,0.7,:,:,:,0.24,0.7,:,0.56,0.35,0.27,0.23,:,:,:,:,:,:,:,:,:,:
Střední Morava,0.3,0.5,0.7,1.53,0.9,:,:,:,0.44,1.4,:,0.99,0.96,0.88,0.79,:,:,:,:,:,:,:,:,:,:
Moravskoslezsko,0,0,0.04,0.04,0.04,:,:,:,0,0.2,:,0.45,0.19,0.09,0.09,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hovedstaden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Sjælland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Syddanmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Midtjylland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Nordjylland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Stuttgart,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
