,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0.4,0.5,0.8,0.5,0.7,1,1.3,1.2,1.4,1.5,1,2,5.8,7.8,7.11,7.91,5.96,9.07,7.55,10.59,10.16,10.5,7.93,:,:
Prov. Antwerpen,113.9,115.5,126.2,115.2,129.1,113.9,113,152.8,141.6,146.5,160.1,194,139.4,155.3,249.7,196.29,134.84,226.2,144.6,206.47,190.3,181.73,180.08,:,:
Prov. Limburg (BE),104.1,84.5,102,87,105.2,104.4,86,109.2,91.8,102.9,116.9,145,99.9,118.2,137.69,123.22,113.6,172.52,120.23,173.53,165.15,163.66,141.12,:,:
Prov. Oost-Vlaanderen,507.5,432.4,484.4,388.3,519.5,460.9,409.4,491.3,448,504.4,484,588,367.2,484.3,529.4,467.87,454.64,586.22,350.33,558.37,518,505.32,430.91,:,:
Prov. Vlaams-Brabant,248.2,217,229.2,183.1,263.6,206.6,184.9,243.6,227,258.9,289.6,340,203.5,228.8,319.63,257.45,239.72,323.21,206.64,297.99,278.31,270.89,246.99,:,:
Prov. West-Vlaanderen,933.8,815.1,963.3,796.8,1034.8,820.6,837.3,982.3,840.8,885.7,904.6,1.12,746.3,983.5,1097.97,971.57,929.87,1116.8,797.43,1079.09,1066.75,1023.03,1007.13,:,:
Prov. Brabant wallon,133.5,115.3,133.7,138,141.6,144,120.6,149,154.7,200,241.2,312,213.3,240.4,320.63,288.73,262.39,344.08,254.59,294.3,296.98,305.51,263.85,:,:
Prov. Hainaut,695.6,621,697.4,643,810,728,640.2,847.2,820,899.6,924.8,1.04,741.2,833.9,927.67,850.46,825.7,1042.44,682.9,831.46,777.92,814.46,749.29,:,:
Prov. Liège,62.5,55.1,59.5,48.6,74.9,67.9,67.9,81.2,75.8,123.2,146.3,192,154.2,201.8,322.84,261.93,218.91,327,254.94,303.95,346.85,314.64,292.6,:,:
Prov. Luxembourg (BE),19.4,15.7,13.6,14.6,18.9,13.8,13.8,13.6,13,13.4,13.2,13,7.6,8.4,11.38,8.15,7.95,9.89,8.87,11.13,7.7,9.85,12.39,:,:
Prov. Namur,103,92,99,107,131.4,119.7,118.5,118.5,128.7,160.4,174.1,192,133.1,165.7,197.44,231.9,211.08,259.23,217.37,260.74,270.79,271.89,245.44,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,:,3.4,3.5,:,6.95,:,:,:,:,1.93,:,9.48,5.48,:,8.48,11.38,:,:
Severen tsentralen,:,:,:,:,:,:,:,:,1.9,3,:,2.54,:,:,:,:,2.45,:,4.01,2.87,:,2.63,2.51,:,:
Severoiztochen,:,:,:,:,:,:,:,:,12.6,4.5,:,2.76,:,:,:,:,2.87,:,4.45,3.65,:,3.56,2.84,:,:
Yugoiztochen,:,:,:,:,:,:,:,:,12.9,4.5,:,11.23,:,:,:,:,5.19,:,18.06,15.08,:,17.93,19.6,:,:
Yugozapaden,:,142.2,179.9,153.1,:,:,:,:,162.9,106,:,107.24,:,:,:,:,70.17,:,139.34,117.46,:,105.17,94.45,:,:
Yuzhen tsentralen,:,:,:,:,:,:,:,:,159.3,110.2,:,101.6,:,:,:,:,44.57,:,86.36,52.87,:,57.88,41.42,:,:
