,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,:,:,:,:,:,:,:,:,:,:,:,7,17.7,23.9,22.86,:,:,:,:,:,:,:,:,:,:
Prov. Antwerpen,:,:,:,:,:,:,:,:,:,:,:,279,201.7,219.2,327.37,:,:,:,:,:,:,:,:,:,:
Prov. Limburg (BE),:,:,:,:,:,:,:,:,:,:,:,610,491.4,524,595.06,:,:,:,:,:,:,:,:,:,:
Prov. Oost-Vlaanderen,:,:,:,:,:,:,:,:,:,:,:,983,656.3,823.4,858.72,:,:,:,:,:,:,:,:,:,:
Prov. Vlaams-Brabant,:,:,:,:,:,:,:,:,:,:,:,871,628.8,675.5,789.53,:,:,:,:,:,:,:,:,:,:
Prov. West-Vlaanderen,:,:,:,:,:,:,:,:,:,:,:,2,1423.8,1709.7,1767.05,:,:,:,:,:,:,:,:,:,:
Prov. Brabant wallon,:,:,:,:,:,:,:,:,:,:,:,1.15,940.1,949.3,1006.02,:,:,:,:,:,:,:,:,:,:
Prov. Hainaut,:,:,:,:,:,:,:,:,:,:,:,2.67,2082.9,2205.5,2316.9,:,:,:,:,:,:,:,:,:,:
Prov. Liège,:,:,:,:,:,:,:,:,:,:,:,1.04,877.2,933.8,1062.45,:,:,:,:,:,:,:,:,:,:
Prov. Luxembourg (BE),:,:,:,:,:,:,:,:,:,:,:,30,21.4,22.1,28.29,:,:,:,:,:,:,:,:,:,:
Prov. Namur,:,:,:,:,:,:,:,:,:,:,:,959,837.6,793.3,876.11,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozapaden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severen tsentralen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severoiztochen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Yugoiztochen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Yugozapaden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Yuzhen tsentralen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Praha,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Střední Čechy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Jihozápad,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severozápad,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Severovýchod,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Jihovýchod,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Střední Morava,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Moravskoslezsko,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Extra-Regio NUTS 2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hovedstaden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,28.4,:,:,:,:,:,:,:,:,:,:
Sjælland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2329,:,:,:,:,:,:,:,:,:,:
Syddanmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,612.1,:,:,:,:,:,:,:,:,:,:
Midtjylland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1006.8,:,:,:,:,:,:,:,:,:,:
Nordjylland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,429.4,:,:,:,:,:,:,:,:,:,:
