,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.27,0.32,0.49,0.32,0.25,0.21,0.3,:,:
Prov. Antwerpen,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.03,0.09,0.04,0.23,0.05,0.07,0.13,:,:
Prov. Limburg (BE),:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.07,0.23,0.14,0.03,0.04,0.12,0.09,:,:
Prov. Oost-Vlaanderen,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.21,0.2,0.2,0.18,0.18,0.08,0.15,:,:
Prov. Vlaams-Brabant,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.55,0.93,0.96,1.18,1.24,1.72,1.92,:,:
Prov. West-Vlaanderen,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0.77,1.03,0.89,0.76,0.34,0.41,0.65,:,:
Prov. Brabant wallon,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,2.83,3.96,3.73,2.99,3.13,2.84,3.73,:,:
Prov. Hainaut,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,4.78,6.45,6.44,4.85,4.16,3.58,5.87,:,:
Prov. Liège,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04,7.82,8.57,7.59,6.09,4.26,4.49,5.62,:,:
Prov. Luxembourg (BE),:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,2.07,2.63,2.34,1.64,1.63,0.92,1.69,:,:
Prov. Namur,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.13,20.1,21.98,20.5,15.15,14.64,13.66,16.77,:,:
Extra-Regio NUTS 2,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:
