,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,0.04,0.04,0.04,0.03,0.04,:
Bulgaria,0,0,0,0,0,0,0.03,0.04,0.04,0.03,0,0,0,0,0,0.15,0.11,0.1,0.04,0.05,0.04,0.05,0.04,0.07,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.2,0.21,0.24,0.19,0.18,:
Denmark,0.2,0.2,0.2,0.2,0.2,0.2,0.2,:,:,0.31,0.29,0.41,:,:,:,0.31,0.28,0.27,0.28,0.3,0.32,0.28,0.23,0.23,:
Germany,1.2,1.1,1.3,1.4,1.3,1.3,1.34,1.15,1.56,1.52,1.38,1.45,1.4,1.21,1.69,1.49,1.67,1.74,1.83,1.91,2.09,2.3,2.1,2.14,:
Estonia,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.24,0.25,0.21,0.21,0.16,0.2,0.1,0.12,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,1.12,0.95,1.12,1,1,1,0.8,0.9,0.9,0.8,0.8,0.7,0.7,0.62,0.64,0.59,0.55,0.58,0.59,0.5,0.55,0.56,0.48,0.55,:
Spain,0.6,0.5,0.6,0.6,0.6,0.7,0.65,0.61,:,:,:,0.65,:,:,:,1,1.31,1.13,1.16,1.26,1.16,1.24,1.17,1.12,:
France,2.2,2.3,2.2,2.3,2.4,2.6,2.5,2.2,2.3,:,:,:,:,:,2.88,2.87,3.03,3.12,3.1,3.14,4.5,4.38,4.08,4.21,:
Croatia,0.18,0.19,0.2,0.23,0.22,0.24,0.19,0.21,0.1,0.19,0.13,0.15,0.09,0.1,0.11,0.14,0.14,0.14,0.18,0.16,0.16,0.13,0.12,0.15,:
Italy,0.4,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,:,:,:,:,:,:,0.97,0.85,0.88,0.88,0.84,0.7,0.67,0.56,0.47,:
Cyprus,0,0,0,0,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,:
Latvia,1.5,2,1.7,2.1,0,1.8,2.1,1.8,1.3,1.2,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.2,0.3,0.36,0.3,0.4,0.4,0.4,:
Lithuania,4.08,3.92,3.97,5.36,3.75,3.49,2.68,2.23,2.06,2.1,1.78,2.02,1.74,1.75,1.73,1.62,1.84,1.76,2.09,2.35,2.17,2.07,2.23,2.23,:
Luxembourg,:,:,:,:,:,0,0,0,0,0,0,:,:,:,:,:,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,:
Hungary,:,:,0.4,0.3,0.4,0.2,0.2,0.26,0.18,0.14,0.13,:,:,:,0.21,0.32,0.38,0.33,0.31,0.28,0.25,0.22,0.18,0.16,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0.3,0.4,0.4,0.4,0.3,0.3,0.36,0.37,0.41,0.42,0.4,0.49,0.47,0.55,0,0.66,0.74,0.95,0.88,0.87,0.86,0.94,0.76,0.84,:
Austria,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.16,0.15,0.15,0.11,0.15,0.15,0.14,0.15,0.15,0.16,0.18,0.17,:
Poland,21.1,19.7,10.2,13.5,14,14.9,15.3,12.2,10.83,11.49,13.13,11.9,10.4,11.5,11.3,11.3,10.24,10.37,10.55,10.7,7.5,7.4,7.3,7.6,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,0.07,0.2,0.24,0.15,0.2,0.17,0.14,0.22,0.24,0.18,0.26,0.09,0.09,:
Romania,0,0,0,0,0.33,0.16,0.27,0.32,0.29,0.15,0.19,0.27,0.16,0.22,0.2,0.16,0.16,0.15,0.15,0.24,0.32,0.14,0.07,0.15,0
Slovenia,0.12,0.14,0.11,0.15,0.12,0.12,0.15,0.13,0.15,0.15,0.09,0.11,0.12,:,:,0.12,0.17,0.16,0.16,0.21,0.23,0.2,0.33,0.13,:
Slovakia,0,0,0,0,0,0,0.04,0.03,0.02,0.02,0,0,0,0,0,0.06,0.07,0.09,0.04,0.13,0.12,0.35,0.58,0.28,:
Finland,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.38,0.38,0.41,0.42,0.43,0.39,0.41,0.43,0.42,0.43,0.42,0.46,0.47,0.38,0.37,0.38,0.37,:
Sweden,0.21,0.22,0.26,0.25,0.26,0.29,0.29,0.31,0.28,0.34,0.35,0.32,0.38,0.39,0.46,0.42,0.44,0.5,0.49,0.51,0.67,0.67,0.52,0.51,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,0.1,0.1,0.1,0,:,:,:,:,:,:,:,:,:,:,:,:,:,0.14,0,0,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.25,0.29,0.25,0.25,0.25,0.26,:,:,:
United Kingdom,2,1.8,1.7,1.6,1.4,1.6,1.8,1.7,:,:,:,:,:,:,2,1.7,0,0,0,0,:,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0.13,0.12,0.12,0.13,0.24,0.14,0.33,0.26,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.04,:,:,:,:,:,:,:,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,0.2,0.3,0.3,0.3,0,:,:,:,:,:,:,:,0,0.3,0.3,0,0,0.1,0,:,:
Kosovo*,0,0,0,0,0,0,0,0.03,0.1,0,0.04,0.04,0,0,0.02,0,:,:,0,:,:,0,0,:,:
