,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.09,0.09,0.1,0.11,0.11,0.12,0.12,0.12,0.12,:
Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0.02,0.03,0,0.04,0.07,0.06,0.08,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,:
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.05,0.06,0.06,0.06,0.08,0.1,0.1,0.08,0.07,:
Germany,:,:,:,:,:,1.41,1.41,1.41,1.41,1.41,1.43,1.43,1.84,2.03,2.08,2.48,2.71,2.84,3.04,3.16,3.29,3.36,3.4,3.47,:
Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Ireland,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.8,2.26,3.26,3.72,4.03,4.21,4.57,4.81,4.89,:
France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,0.07,0.08,0.09,0.12,0.17,0.25,0.29,0.36,0.38,0.4,0.37,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,1.09,1.2,1.3,:,:
Cyprus,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,:,0,0,:,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.5,0.51,0.5,0.6,0.55,0.5,:
Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.08,0.07,0.08,0.07,0.2,0.27,0.3,0.35,0.56,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.01,0.01,0.01,0.02,0.04,0.04,0.04,0.05,0.05,:
Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.74,0.78,0.83,0.93,1.11,0.92,0.85,0.82,0.78,:
Austria,:,:,:,:,:,:,:,:,:,:,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.16,0.2,0.2,0.21,0.22,0.22,0.23,:
Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.2,5.04,7.07,8.09,8.48,9.7,10.7,11.4,12.4,:
Portugal,:,:,:,:,:,:,:,:,:,0.04,0.04,0.08,0.21,0.53,0.82,1.33,1.52,1.7,1.93,2.48,2.49,2.59,2.62,2.62,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.13,0.13,0.18,0.21,0.4,0.71,0.8,1.2,0
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,:
Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0.03,0.03,0.05,0.07,0.07,0.08,0.08,:
Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.07,0.08,0.08,0.09,0.08,0.12,0.09,0.09,0.11,:
Sweden,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.05,0.04,0.04,0.04,0.05,0.05,0.05,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.02,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0.05,0.12,0.13,0.17,0.17,0.17,0.19,0.17,0.15,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0
Serbia,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,:,2.36,3,8.32,:
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.1,0.1,0.1,0,0,0.4,0.5,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.03,0.04,0.06,0.09,0.09,0.1,:,:
