,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,8.5,8.4,8.9,9.1,8.3,8.5,8.88,9.36,9.3,8.44,8.19,:,:,:,8.58,8.73,8.98,9.82,9.58,9.97,10.52,11.14,9.97,10.25,:
Bulgaria,:,7,6,6.1,6.6,3.5,3.33,2.57,2.38,1.78,:,:,:,:,:,2.11,3.03,1.85,2.13,2.02,1.68,1.48,1.92,2,:
Czechia,7.84,6.03,3.24,3.27,3.03,1.75,2.13,2,1.93,1.71,1.69,2.19,1.76,1.64,1.68,1.71,1.77,1.64,1.47,1.58,1.68,1.7,1.47,1.5,:
Denmark,1.4,1.4,1.4,1.6,1.5,1.4,1.3,:,:,1.44,1.46,1.4,:,:,:,1.65,1.87,2.07,1.89,2.04,2.45,1.99,1.75,1.73,:
Germany,19.2,22.4,22.3,23.7,23.8,21.6,22.03,21.31,22.61,21.68,21.02,21.31,20.69,19.41,19.53,18.7,18.8,20.09,18.84,18.92,19.05,18.48,18.42,17.88,:
Estonia,1.3,0.7,0.5,0.6,0.5,0.6,0.6,0.5,0.4,0.4,0.5,0.4,0.3,0.5,0.3,0.3,0.28,0.29,0.38,0.43,0.39,0.25,0.24,0.24,:
Ireland,2.43,2.41,2.12,2.12,2.12,2,2,2,2,2.11,2.11,2.11,1.93,1.93,1.9,1.9,1.82,1.68,1.78,1.68,1.78,1.74,1.59,1.71,:
Greece,12.89,11.44,11.8,12,11.9,11.8,10.9,11.51,10.74,9.4,11.2,10.2,9.79,10.02,9.73,7.15,6.32,5.89,6.22,5.24,5.45,5,4.87,5.66,:
Spain,35.8,34.8,33.6,35.3,33.5,34,33.58,32.63,27.3,25.2,:,:,:,:,:,38.84,42.16,45.98,46.99,51.78,53.64,54.15,51.91,51.54,:
France,39.1,39.1,37.3,37.1,36.2,34,33.6,33,32.4,:,:,:,:,:,26.89,26.09,26.23,26.39,26,24.48,26.28,24.03,21.33,23.22,:
Croatia,1.46,1.31,1.49,1.37,1.33,1.91,1.77,2.02,3.33,3.34,1.72,1.96,1.33,1.93,0.94,1.66,1.67,2.13,1.98,1.85,1.77,1.54,1.48,1.4,:
Italy,49.6,48.4,48.9,47.4,44.4,45.7,45.5,45.7,45.2,44.7,:,:,:,:,:,39.2,39.63,39.62,39.95,39.65,36.99,36.77,36.43,36.11,:
Cyprus,0,0,0,0,0.23,0.22,0.23,0.19,0.12,0.14,0.1,0.09,0.11,0.1,0.13,0.12,0.14,0.15,0.15,0.17,0.18,0.17,0.18,0.16,:
Latvia,2.7,4,3.4,3.5,3.7,3.2,3.9,2.6,2.7,2.7,:,1.2,1,1,0.9,1,0.8,0.6,0.7,0.71,0.7,0.7,0.65,0.76,:
Lithuania,5.73,5.74,6.09,7.51,5.35,5.72,4.26,3.55,3.46,3.22,2.69,2.97,2.57,2.53,2.41,2.04,2.22,1.99,2.16,2.16,2.09,1.97,1.88,1.89,:
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,:,:,0,0,0.01,0.01,0.01,0.03,0.02,0.02,0.02,0.03,0.03,:
Hungary,5.4,7,9.6,10.1,9.3,6.9,5.1,4.93,5.23,4.79,4.79,:,:,:,4.46,4.37,4.43,4.24,3.55,3.58,2.5,2.49,2.36,2.08,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,12.2,11.6,11.6,11.8,11.2,10.7,11.5,11.79,12.06,11.81,11.43,10.46,9.76,9.7,10.08,9.65,10.27,11.14,10.85,10.75,11.16,11.78,11.5,10.66,:
Austria,2.1,2.3,2.3,2.2,2.2,2,2,1.99,1.92,1.99,1.95,1.96,1.85,1.77,1.76,1.64,1.57,1.53,1.44,1.49,1.61,1.62,1.65,1.54,:
Poland,61.5,59.3,36.8,42.2,48.8,52.9,53,44.68,40.97,43.26,48.73,42.9,41.8,44.5,43.3,44,39.98,40.69,41.58,41.6,26.4,27.2,27.2,25.9,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,9.01,9.93,10.94,10.57,8.71,10.17,9.35,9.47,10.27,12.62,12.39,11.98,10.45,:
Romania,21.46,22.05,22.72,24.54,25.09,38.58,33.75,29.97,32.72,32.36,30.77,31.02,33.86,37.65,31.45,32.41,30.76,30.9,32.08,32.15,22.29,22.08,20.69,20.79,:
Slovenia,0.9,0.9,0.8,1,0.9,0.9,1,0.88,1.03,1.03,:,:,:,:,:,0.91,0.97,0.97,0.94,0.93,1,0.91,0.89,0.7,:
Slovakia,0,0,0,0,0,0,1.59,1.09,0.94,0.79,:,:,:,:,:,0.55,0.6,0.51,0.44,0.49,0.39,0.54,0.33,0.3,:
Finland,1.7,1.8,1.7,1.7,1.6,1.6,1.4,1.31,1.27,1.32,1.3,1.31,1.26,1.25,1.27,1.22,1.21,1.49,1.46,1.3,1.34,1.35,1.23,1.06,:
Sweden,0.92,1.05,0.98,1.03,1.13,1.02,0.99,0.95,1,0.97,1.04,1.02,1.08,1.13,1.18,1.18,1.2,1.4,1.38,1.33,1.55,1.52,1.49,1.75,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.02,0.02,0.01,0.04,0.03,0.41,0.41,0.04,:,:
Norway,:,:,:,:,2.5,2.5,2.6,2.6,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.71,1.71,1.81,2,2.03,1.93,2,:,:,:,:
United Kingdom,32.6,28.3,36.6,32.3,26.6,31.4,28.7,26.4,:,:,:,:,:,:,27,26.88,26,27.3,25.6,24.6,:,:,:,:,:
Bosnia and Herzegovina,7.16,6.84,6.77,6.75,6.55,6.53,6.5,6.5,6.31,5.89,5.86,5.68,5.78,5.54,5.24,5.36,5.22,5.08,5.01,4.92,5.11,4.99,1.61,1.39,:
Montenegro,:,:,:,:,:,:,:,0.25,0.25,0.26,0.27,0.27,0.26,0.33,0.27,0,0,0,0,0,0,0,0,0,0
North Macedonia,3.6,3.6,:,:,:,3.54,3.57,4,4.15,4.49,4.7,4.63,4.8,5.77,5.87,6.1,5.79,5.74,5.74,5.9,5.71,5.52,5.35,4.82,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.7,:,:,:,:,:,2.31,2.3,2.3,:
Serbia,:,:,:,:,:,:,:,12.28,12,12.03,12.06,11.97,12.31,11.25,11.3,11.29,11.15,10.61,8.65,8.6,8.2,8.25,8.12,7.95,:
Türkiye,:,27,34.6,34.5,34.3,34.2,34.2,33.3,34,:,:,:,:,:,:,35,36,36,36,37,37,37,36,:,:
Kosovo*,:,:,:,:,:,:,:,0.8,0.8,1.1,1,1,0.7,1,0.8,0.6,0.7,:,0.9,1,0.97,0.98,1,:,:
