,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0.5,0.5,0.5,0.5,0.5,0.5,0.41,0.38,0.34,0.38,0.39,0.41,0.38,0.37,0.44,0.41,0.42,0.42,0.42,0.39,0.37,0.32,0.32,0.33,:
Bulgaria,0,0,0,0,0,0,0.03,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,:,:,:,0.21,0.19,0.19,0.25,0.25,0.27,0.24,0.23,0.23,0.27,0.28,0.33,0.32,0.34,0.36,0.47,0.35,0.39,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0.05,0.05,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.07,0.07,0.07,0.07,0.07,0.07,:
Greece,0.63,0.67,0.74,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.63,0.53,0.5,0.67,0.67,0.58,0.63,0.57,0.37,0.32,0.37,0.38,0.26,0.39,:
Spain,2,1.8,1.9,1.8,1.8,1.7,1.64,1.64,:,:,1.46,1.39,1.46,1.54,1.73,1.78,1.74,1.79,1.88,2,2.03,2.63,2.67,2.55,:
France,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,:,0.6,0.51,0.51,0.49,0.49,0.47,0.47,0.49,0.59,0.54,0.79,0.91,0.82,0.86,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,:,4.2,4,4,3.7,3.7,4.2,4.1,4.2,:,3.81,3.29,2.63,3.59,3.13,3.21,3.08,3,2.97,2.93,2.95,2.79,2.69,2.68,:
Cyprus,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.04,0.03,0.04,0.04,0.03,0.06,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,:,:,:,0.08,0.04,0.04,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.02,0.02,0.03,0.05,0.04,0.04,0.05,0.04,:
Luxembourg,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Hungary,:,0,0.3,0.3,0.4,0.2,0.2,0.27,0.23,0.03,0.01,0.03,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,0,0,0,0,0,0,0.13,0.11,0.13,0.17,0.2,0.16,0.2,0.16,0.17,0.19,0.23,0.22,0.22,:
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0.18,0.17,0.16,0.23,0.2,0.2,0.3,0.3,0.3,0.37,0.45,0.43,0.4,0.3,0.2,0.2,0.1,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,0,0,0.01,0.01,0,0.03,0.03,0.02,0.02,0.02,0.05,0.02,0.04,:
Romania,0,0,0,0,0,0,0,0,0,0,0.07,0.09,0.06,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.04,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,:,:,:,0,0,0,0
Finland,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0.01,0.03,0.03,0.03,0.01,0.01,0.11,0.01,0.01,0.01,0.01,0.01,0.01,:
Sweden,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.06,0.03,0.04,0.03,0.04,0.04,0.03,0.04,0.04,0.05,0.04,0.05,0.06,0.05,0.05,0.06,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,0,0.1,0,0,:,:,0.11,0.13,0.13,0.13,0.19,0.1,0.04,0.05,0.05,0.05,0.05,0.05,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.06,0.06,0.05,0.05,0.05,0.05,0.07,0.08,:,:,:
United Kingdom,0.7,0.9,0.7,0.8,0.7,0.9,0.7,0.9,:,:,1,1,1,1,1,0.96,1,0.9,0.9,0.9,:,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.02,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,0.9,0.2,0.1,0.1,0.1,0.1,0.1,0,:,:,0,0,0.1,0.11,:,0,0.1,0.1,0,0,0,0,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
