,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.01,:
Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.03,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,:,:,0,0,0,0,0,0
Germany,:,:,:,:,:,:,:,:,:,:,:,:,0.24,0.26,0.25,0.27,0.29,0.31,0.33,0.33,0.34,0.37,0.36,0.36,:
Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Ireland,0.2,0.23,0.23,0.23,0.22,0.21,0.19,0.18,0.19,0.18,0.18,0.19,0.21,0.23,0.23,0.26,0.25,0.22,0.22,0.23,0.23,0.23,0.22,0.23,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.49,0.48,0.45,0.46,0.45,0.45,0.45,0.45,0.45,:
France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,5.53,4.79,4.61,4.86,7.34,6.85,5.66,5.25,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Cyprus,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,:,0,:,:,:,:,:,0,0,0,:,0,0,0,0,0,0,0,0,0,0
Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.06,0.08,0.05,0.05,:,:,0.05,0.03,0.06,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,:
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,:,:
Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,:
Austria,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Romania,0,0,0,0,0.01,0,0,0,0,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.09,0.08,0.01,0.01,0.01,0.01,0
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,:
Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.01,0.01,0.01,0.01,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,:,:
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0
Serbia,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:
