,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,7.44,7.44,7.4,10.7,10,9.5,9.5,10.6,10.6,8.7,8.25,8.64,6.85,7.57,8.23,8.28,8.79,9.22,9.49,8.41,10.24,8.95,9.75,7.4,:
Spain,:,:,:,:,:,:,:,:,:,:,29.02,24.12,28.77,31.04,31.16,35.9,36.17,36.45,36.68,37.12,37.78,38.23,38.47,38.52,:
France,7.1,7.09,7.17,7.15,7.1,7.07,6.86,6.86,6.87,7,7.09,7.23,7.25,7.67,7.76,7.79,8.14,8.19,8.48,8.57,8.55,8.6,8.99,9.08,:
Croatia,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0.07,0.05,0.07,0.08,0.13,0.18,0.26,0.28,0.37,0.44,:
Italy,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,34.45,35.53,36.33,36.28,36.44,34.27,36.17,40.75,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,0.5,0.6,0.6,0.6,0.5,0.7,0.83,0.83,0.46,0.54,0.49,0.51,0.49,0.45,0.46,0.24,0.25,0.26,0.34,0.37,0.37,0.38,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,29.54,30.07,30.61,31.1,31.53,32.04,32.53,33.12,33.73,34.59,34.62,34.65,34.81,35.17,35.35,35.6,35.72,36.76,41.33,51.69,51.7,50.37,49.94,49.94,:
Romania,0,0,0,0,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0
Slovenia,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0.01,0,0,0.02,0.02,0.03,0.03,0.04,0.06,0.07,0.09,:
Slovakia,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.05,0.09,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Albania,:,:,:,:,:,:,:,:,2.4,3.2,2.4,2.4,2.4,:,2.4,2.4,2.4,2.3,2.4,2.4,2.4,2.4,2.4,2.4,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,8.4,8.5,8.8,8.9,9,9,10.2,10,:,:,12,12,11,11,11,12,12,12,13,14,14,14,:,:
Kosovo*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,:,:,:,0,0,0,0,0,:,:
