,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,6.3,5.4,18.1,20.6,20.8,19.2,11.8,12.1,11.65,12.1,10.7,2.4,2.3,2.3,2.07,7.48,6.77,7.94,9.89,10.36,10.91,11.7,12.32,10.93,:
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,:,0.3,0.3,0.3,0.2,0.3,0.34,0.32,0.29,0.32,0.31,0.57,0.58,0.57,0.59,0.58,0.51,0.85,0.87,0.49,0.56,0.52,0.53,0.6,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,3.35,2.42,2.3,2.4,2.4,2.3,2.5,2.5,2.4,2,1.28,1.27,1.3,1.34,1.33,1.09,1.13,1.05,0.86,0.89,0.9,1.06,0.89,0.96,:
Spain,3.2,0.5,0.7,3.7,4.1,3.8,0.35,0.13,3,0,0.12,0.08,0.1,0.13,0.11,0.1,0.22,0.2,0.2,0.19,0.29,0.13,0.13,0.07,:
France,20.3,20.2,20.2,19.4,19.8,18.8,16.7,12.8,15.4,3.2,13.29,10.75,5.76,10.37,10.82,10.02,9.99,10.68,10.39,9.97,9.46,9.8,8.68,9.29,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,16.7,16.7,15.7,16.1,16.4,17.1,17.4,15.5,13.6,15.1,15.16,14.67,13.99,15.51,13.22,13.12,14.13,13.89,14.21,13.45,12.23,11.06,8.52,8.21,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Hungary,0.5,0.4,0.3,0.3,0.2,0.2,0.1,0,0,0,0,0,0,0.01,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,9.1,8.5,8,8.2,7.8,7.6,5.99,6.08,6.56,7.41,7.72,3.27,3.36,3.35,2.96,6.86,6.69,6.36,6.24,7.07,6.99,7.25,6.39,2.35,:
Austria,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.06,:
Poland,4.1,2.1,1.9,1.4,1.1,1,1.9,1.9,1.3,1.8,1.2,:,:,:,1.1,1.5,1.2,1.38,0.91,1,1.4,1.8,1.4,1.1,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,0.03,0.04,0.02,0.01,0.01,0.04,0.04,0.06,0.05,0.03,0.02,0.01,0.01,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0.15,0.17,0.14,0.17,0.22,0.22,0.23,0.2,0.24,0.24,0.15,0.19,0.2,0,0.3,0.4,0.4,0.39,0.38,0.47,0.5,0.46,0.51,0.24,:
Slovakia,0.3,0.7,0.6,0.5,0.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,:,:,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.65,0.65,0.62,0.47,0.68,0.68,0.72,:,:,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,0,0,0,0
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,0,:,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
