,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Bulgaria,9.7,14.7,6.3,3.1,2.2,1.1,1,0.8,0.7,0.5,0.55,0.4,0.4,0,0.29,2.17,4.49,4.81,3.16,3.46,3.28,2.35,1.3,1,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Greece,383.24,363.61,342.57,338.3,337.69,322.27,321.58,322.29,286.69,261,214.1,238.28,247.55,243.04,280.37,283.24,236.04,258.33,277.36,292.17,279.5,265.31,258.12,175.84,175.73
Spain,91.7,91.5,86.4,94.7,89.1,86,62.5,65.2,52.7,58.65,63.22,67.12,69.66,63.52,74.27,63.33,60.81,62.98,65.12,66.15,61.57,57.91,51.86,51.68,53.67
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Italy,0,0,0,0,0,:,:,:,:,:,0,:,:,:,0,0,0,0,0.0,0.0,0.0,0,0,0,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0.0,0.0,0.0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0.0,0.0,0.0,0,0,0,:
Switzerland,:,:,:,:,:,:,:,:,0,:,:,:,:,:,0,0,0,0,0.0,0.0,0.0,0,0,0,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0.0,0.0,0.0,0,:,:,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Türkiye,654.2,693.4,:,:,640,546.9,590,:,:,:,:,542,488,451,468,434,416,502,519.0,476.0,358.0,432,572,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0,0,:,:
