,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,13.6,17.4,16,20,20.4,19.3,15.9,14.2,11.8,11.1,11,11.29,10.6,10,11.6,13.86,15.1,15.96,14.72,14.83,18.38,15.39,15.15,14.61,:
Bulgaria,0.2,0.2,0.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0
Czechia,5.3,6.6,5.8,5.7,5.4,4.5,2.9,0.7,0.2,0.2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,1.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,13.5,0.6,0.1,0.1,0,0,0,0,0,0,0,0,0.01,0.02,0.01,0.01,0,0,0,0,0,0.01,0,0,0
France,54.5,67.8,67.4,76.5,80.5,78.6,76.5,:,67.9,56.2,55.16,60.87,67.43,60.65,66.49,78.87,88.48,98.22,105.88,121.67,142.16,112.58,127.8,131.17,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0.1,0.1,0.1,0,0,0,0,0.1,0.11,0.72,:,0.09,0.1,0.14,0.2,0.84,0.56,0.72,0.52,0.43,0.56,0.63,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,1.6,1.4,1.6,1.8,2.6,2.1,0.9,0.4,0.2,0.1,0,0.1,0.4,0.2,0,0.1,0.1,0,0,0,0.1,0,0,0,0
Lithuania,8.6,10.2,9.3,8.9,5.6,3.7,1.3,0.4,0.3,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,:,0,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,4.4,4.8,4.1,4.6,4.5,4.7,3.9,3.5,2.6,2.2,1.9,2.16,2,2,2,2.41,2.42,2.49,2.22,2.29,1.93,1.8,1.9,2.36,:
Austria,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0
Poland,4.1,5.2,5.1,2.9,3.5,5.7,2.6,2,2.4,1.9,0.5,0.8,0.6,0.7,0.25,0.3,0.2,0.17,0.09,0.51,0.26,0.4,1.97,0.97,:
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0.37,0.27,0.39,0.39,0.3,0.19,0.8,0.09,0.03,0,0,0,0.03,0.02,0,0.1,0.04,0,0.09,0,0.03,0.04,0.1,0.19,0.18
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,0.6,0.9,0.5,0.5,0.2,0.3,0.1,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0.1,0
Finland,0,2,1.6,2.1,0.1,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
Sweden,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,:
Switzerland,:,:,:,:,:,:,:,0.1,0.1,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,:
United Kingdom,12.1,5.3,2.8,1.6,1.5,0.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,0,0,:,:,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,0.3,0.3,:,0.3,0.2,:,1.5,:,0,:,:,0,0,0,0,0,0,0.01,0.01,0,0,0,0,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
