,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,1.4,1.4,1.3,1.7,1.7,1.3,1.1,1,0.8,1,1.1,0.96,0.5,0.38,0.55,1.01,0.87,0.76,0.7,0.65,0.66,0.75,0.71,0.71,:
Bulgaria,4.2,4.1,4.1,2.3,1.8,1.4,0.6,2.2,2,1,1.98,1.1,1.3,1.24,0.88,9.25,18.7,46.6,30.78,15.86,14.32,15.43,9.76,8,12
Czechia,33.8,32.14,27.97,24.09,21.49,29.12,27.1,22.9,17.4,21.1,24.39,17.19,15.07,12.93,14.45,23.88,26.6,34.79,29.09,28.78,32.61,38.53,40.63,46.95,52.8
Denmark,35.6,32.1,40.4,31.4,26.7,16.3,10.5,5.8,4.4,6.8,8.7,5.9,4.4,4.3,4.2,5,4.8,5.4,6.6,5.2,7.4,10.3,14.4,19.4,10.3
Germany,141.3,163.6,148.4,135.9,121.5,110.3,92.1,67.7,48,48.3,57.23,55.8,44.8,37.9,41.7,79.1,87.5,85.5,70.7,74.6,82.6,97.7,106.9,118.1,132.3
Estonia,3.2,3.3,2.2,4,4.2,4.3,4.5,5.6,4.7,4.8,6.9,8.5,10.9,13.2,16.5,22.1,38.87,38.75,29.68,31.84,35.64,33.1,37.26,42.72,42.72
Ireland,:,:,:,:,:,:,:,:,0.63,0.85,1.17,0.75,0.71,0.51,0.61,0.8,0.97,0.67,0.71,0.65,0.8,0.49,0.54,0.73,0.93
Greece,3.26,3.75,3.18,3.3,3.13,3.9,3.61,3.17,3.07,3.04,3.65,3.14,3.49,3.35,4.73,9.72,10.78,14.87,13.04,12.86,12.6,18.37,20.31,19.25,18.44
Spain,38.5,49.9,79.7,105.2,137.1,146.5,149.3,142.2,101.7,160.2,201.46,241.35,153.48,122.25,139.4,161.75,155.41,173.85,149.02,145.4,116.99,115.33,122.51,193.24,206.54
France,428.8,413.7,337,365.4,357,316.2,239.7,162.4,98.5,111.6,239.52,183.46,134.1,119.52,139.46,175.79,214.57,215.78,167.13,175.57,202.69,194.33,133.49,151.67,144.41
Croatia,0.56,0.78,0.87,0.89,0.81,0.45,0.33,0.37,0.72,1.03,0.8,0.87,0.94,0.88,0.9,0.69,1.61,0.94,1.06,1.32,0.73,0.86,0.67,1.36,1.2
Italy,2,2,5.6,7.2,7.6,8.3,:,:,7.1,8.1,11.69,10.55,9.86,9.46,9.97,11.18,14.11,17.05,17.92,22.93,20.77,17.77,16.03,15.05,14.38
Cyprus,0,0,0,0.02,0.02,0.02,0.03,0.02,0.04,0.07,0.05,0.07,0.07,0.06,0.06,0.08,0.07,0.06,0.05,0.05,0.04,0.03,0.04,0.04,0.04
Latvia,1.4,2.1,1.9,2.1,1.5,1.6,0.8,0.9,0.7,1.3,:,1.1,1.1,2.3,2.9,3.9,8.6,9.6,11.4,13.5,13.4,14,21.7,35.8,35.8
Lithuania,25.2,21.7,18.4,7.4,11.5,12.3,14.8,15.6,15.3,25.2,27.1,26.5,24,24,40.9,79.43,148.75,154.2,106.19,75.22,61.74,61.54,71.46,71.15,88.8
Luxembourg,0.4,0.6,0.5,0.5,0.4,0.3,0.3,0.3,0.2,0.2,0.26,0.2,0.13,0.21,0.27,0.4,0.5,0.48,0.24,0.23,0.29,0.27,0.27,0.22,:
Hungary,:,:,:,:,13.5,12,11,12.6,11.7,9.9,9.27,9.93,20.15,19.57,19.22,23.25,18.98,18.18,15.76,15.61,10.84,12.15,10.85,11.88,12.7
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0.8,0.8,1.1,2.1,2.3,1.9,0.5,0.6,0.4,0.5,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,41.1,38.6,41.6,42.1,39.3,36,32.7,28.1,22.3,15.2,13.56,11.72,10.7,7.25,6.86,7.27,7.73,6.72,6.92,5.33,5.65,5.65,5.88,7.07,7.95
Poland,11.9,9.1,3.3,3.9,3,4.5,3.5,4.5,3.1,3.8,6.2,7.3,14.9,4.5,4.25,12,14.3,18.93,15.32,17.42,20.76,12.87,27.56,33.2,31.01
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Romania,13.09,11.72,16.15,18.81,23.71,21.51,17.66,20.8,17.47,22.6,22.77,28.55,29,31.62,27.25,31.54,42.72,105.33,118.1,103.08,96.94,75.19,68.06,91.08,99.37
Slovenia,0.01,0.04,0.2,0.36,0.42,1.51,3.34,1.97,1.21,0.65,0.51,0.62,0.37,0.22,0.22,0.45,0.61,0.66,0.43,0.39,0.34,0.35,0.32,0.29,:
Slovakia,7.9,5.9,5.6,6,6,6.5,5.4,4.6,7.1,7,9.05,5.8,4.61,3.03,4.5,7.47,8.69,8.62,8.04,6.7,8.8,10.71,12.25,14.86,15.87
Finland,5.2,5.4,5.1,4.1,4,3.8,4.2,4.4,3.3,4.2,6.07,4.8,4,4.1,5.6,11.9,10.2,4.2,8.6,11.9,20.9,19.58,30.52,34.38,39.3
Sweden,25.39,26.65,26.99,24.16,26.64,24.16,19.32,13.34,10.71,16.3,22.6,15.89,12.85,12.21,14.45,22.39,25.17,23.86,21.67,20.49,21.89,22.04,23.81,26.76,25.8
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.23,:,:,:
Switzerland,:,:,:,:,:,:,5.3,5.2,4.3,:,3.48,3.5,3.46,3.69,3.76,4.36,4.55,4.11,3.89,3.55,3.57,3.44,2.57,2.43,2.4
United Kingdom,83.6,102.4,84.8,70.5,62.3,53.6,46,37.2,30.1,42,42,30,24,29,32,44,51,40,38.1,40.99,52.5,:,:,:,:
Bosnia and Herzegovina,1.06,0.95,0.99,1.02,0.99,1.06,1.08,1.09,1,0.93,1.18,1.25,1.17,1.18,1.14,1.29,1.05,1.37,0.91,1.34,1.23,1.24,1.06,0.84,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,1,1,1,1,1.1,0,0,0,0,0,0,0,0,0,0,:,1.08,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,:,:,:,1.3,1,:,1,1,1,1,1,1,1,1,1,0,0.6,0,0,:,:
Kosovo*,:,:,:,:,:,:,:,0.03,0.02,0.03,0.03,0.03,0.01,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.07,0.07,0.07,:,:
