,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,18.3,18.2,18.8,19.7,19.3,19.4,19.73,18.43,18.69,18.19,18.34,18.39,18.09,18.71,19.3,19.2,19,20.29,20.52,20.74,21.46,20.6,17.83,16.26,:
Bulgaria,:,2.4,1.8,2.8,2.9,1.3,1.66,2.32,2.66,7.07,1.43,2,0.8,1.2,0.79,1.43,2.58,0.98,0.67,1.15,1.09,1.12,0.92,0.61,:
Czechia,2.11,2.25,1.77,1.12,1.09,0.98,1.13,1.34,1.31,0.97,1.02,0.99,1.03,1.18,1.1,0.92,1.11,1.31,1.37,1.11,1.39,1.61,1.44,1.03,:
Denmark,4.3,3.6,3.3,3.5,3.2,2.8,2.9,:,:,:,2.64,2.96,2.54,2.84,2.31,2.87,2.92,3.22,3.04,3.34,3.15,4.05,3.2,1.09,:
Germany,8.8,8.8,9.5,10.2,9.9,9.2,9.97,9.96,10.59,10.56,8.78,7.95,9.3,9.82,9.24,9.38,9.62,10.6,10.46,10.02,9.12,10.81,9.9,8.48,:
Estonia,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0.1,0.3,0.5,0.47,0.53,0.38,0.41,0.31,0.2,0.24,0.13,:
Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,0,0,0,0,0
Greece,10.12,9.91,10.07,9.86,10.01,9.56,9.71,9.26,9.16,8.8,8.11,8.26,8.84,9.24,10.16,8.37,8.32,7.52,6.76,5.78,5.65,6.72,4.71,5.7,:
Spain,37.2,34.6,39.6,32.8,35.4,32.4,37.49,36.92,32.8,33,30.74,29.27,27.51,27.08,29.79,29.35,31.23,29.55,27.69,30.72,29.78,33.23,29.68,30.41,:
France,74.2,75.9,74.4,74.1,69.6,67.3,65.4,64.4,68.1,:,51.94,59.95,57.07,55.91,65.27,60.85,68.69,77.4,76.92,77.03,77.88,90.22,84.05,73.24,:
Croatia,0.5,0.51,0.54,0.87,0.53,0.43,0.5,1.67,1.07,0.98,0.84,1.09,0.74,0.82,0.76,0.98,1.08,0.96,0.98,1.01,1.12,1.04,0.75,0.9,:
Italy,46.8,45,45.1,44.9,44.9,44.3,44.3,43.9,43.1,19.1,44.52,43.21,52.04,42.19,41.57,39.91,42.53,41.4,41.91,42.07,41.44,41.45,39.39,38.9,:
Cyprus,:,0.3,1.04,0.88,0.44,0.43,0.27,0.39,0.3,0.26,0.25,0.32,0.35,0.31,0.29,0.24,0.21,0.28,0.29,0.25,0.28,0.26,0.25,0.26,:
Latvia,0,0.1,0.1,0.2,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
