,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0.05,0.09,0.1,0.03,0,0,0,0,0,0,0,0,0,0,0.03,0.1,0.06,0.09,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,11.54,11.3,10.8,11.3,11.1,9.8,9.7,9.8,9.9,10.1,11.26,11.04,11.89,12.02,12.44,13,13.31,13.73,14.14,15.46,16.66,18.64,19.97,19.17,:
Spain,:,52.7,54.7,52.9,56.6,56.3,23.32,23.48,:,1.19,:,:,:,:,:,65.76,67.39,70.2,71.09,73.42,76.45,78.67,80.45,78.98,:
France,4.59,4.52,4.53,4.7,4.7,4.75,4.61,16.07,15.79,15.86,16.32,16.21,16.38,18.42,17.76,17.95,16.89,15.58,14.77,18.47,18.1,22.3,21.59,21.84,:
Croatia,0.29,0.29,0.28,0.27,0.31,0.34,0.38,0.38,0.39,0.39,0.34,0.33,0.38,0.24,0.28,0.31,0.35,0.27,0.27,0.42,0.57,0.57,0.56,0.57,:
Italy,21.6,27.9,29.7,29.3,30,30.1,30.4,30.7,29.1,23.8,:,:,:,:,:,30.74,28.9,28.91,28.85,27.23,39.12,39.35,38.38,:,:
Cyprus,0,1,0.86,0.85,1.1,1.11,1.12,1.11,0.87,0.67,0.64,0.64,0.65,0.66,0.71,0.68,0.78,0.73,0.76,0.81,1.3,1.31,1.27,1.31,:
Latvia,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,0,0,0,0,0,0.01,0.01,0.07,0.49,0.49,:,:,:,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,10.73,10.31,9.98,9.59,9.16,8.86,8.47,8.2,7.88,7.64,7.74,7.81,8.03,8.57,8.85,9.11,9.34,9.43,9.58,14.43,14.85,15.06,15.62,14.61,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,:,:,0.1,0.1,0.1,0.1,0.05,0.06,0.04,0.06,:,:,:,:,:,0,0.13,0.14,0.15,0.16,0.16,0.17,0.17,0.18,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.02,0.02,0.02,0.02,0.02,0.02,0.02,:,:,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.64,0.68,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.2,2.2,2.3,2.3,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,60.4,60.5,62.6,62.9,62.3,63.2,69,72,:,:,:,:,:,:,58,59,60,62.6,65,69,74,79,:,0
Kosovo*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0,0,0,:,:
