,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0.85,0.27,0.23,0.19,0,0,0.5,0.3,0.07,0.19,0.31,0.39,0.42,0.51,0.37,0.27,0.34,0.27,0
Czechia,1.39,1.02,0.04,0.04,0.02,0.05,0.04,0.06,0.05,0.06,0.07,0.08,0.16,0.18,0.23,0.24,0.23,0.33,0.39,0.36,0.5,0.36,0.27,0.38,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.05,0.06,0.07,0.07,0.08,0.07,0.06,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Greece,2.36,1.81,1.9,1.9,1.9,1.9,1.4,1.5,1.51,0.9,1.11,0.9,1.13,1.27,1.42,1.03,0.78,0.79,0.78,0.58,0.96,0.78,0.65,0.97,:
Spain,22.7,24,23.9,21.7,21.4,17.3,15.86,16.69,15.9,16.4,14.85,15.75,17.49,20.2,20.96,20,24.32,26.63,28.43,27.35,27.94,29.83,29.8,25.64,:
France,3.8,3.8,4,3.9,3.6,3.4,3.4,2.7,2.6,:,2.65,2.71,2.67,2.67,2.6,2.57,2.86,2.81,2.84,3.74,4.18,4.14,4.36,4.13,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.09,0.23,0.25,0.24,0.41,0.41,0.27,0.27,0.22,0.22,:
Italy,3.7,3.9,3.2,3.1,3,3.2,3.1,3.1,2.9,:,3.19,3.12,2.98,3.13,3.18,3.04,3.3,3.47,3.57,3.41,3.29,3.41,3.51,3.38,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Latvia,0.1,0.2,0.3,0.4,0,0.2,0.2,0.3,0.1,0.1,0,0,0,0.1,0,0.1,0.3,0.2,0.2,0.43,0.5,0.2,0.24,0.41,:
Lithuania,:,:,:,0.31,0.18,0.33,0.36,0.51,0.48,0.45,0.45,0.44,0.42,0.43,0.36,0.36,0.4,0.35,0.43,0.43,0.48,0.45,0.45,0.48,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Hungary,1.9,1.7,1.6,1.3,0.9,1.3,1.1,0.64,0.64,0.67,0.6,1.05,1.06,1.1,0.95,0.99,1.2,1.19,1.26,1.08,0.77,0.83,0.82,0.7,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.17,0.18,0.19,0.16,0.16,0.17,0
Austria,0,0,0,0,0,0,0,0.02,0.03,0.04,0.05,0.08,0.1,0.13,0.16,0.17,0.19,0.2,0.21,0.21,0.24,0.27,0.27,0.28,:
Poland,:,:,:,:,1.3,1.4,1.6,1.34,1.27,1.4,1.6,0,0,0,1.1,1.2,1.24,1.39,1.45,1.4,1.4,2,2.1,2.2,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,0.47,0.36,0.16,0.25,0.52,0.15,0.24,0.17,0.07,0.67,0.96,0.57,0.63,:
Romania,8.69,8.58,8.85,8.7,5.67,8.29,8.03,5.9,7.78,7.2,6.75,6.85,6.34,5.98,6.13,6.32,5.89,5.65,5.88,5.76,5.26,5.31,5.2,4.97,:
Slovenia,0.05,0.05,0.05,0.06,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.06,0.07,0,0.13,0.15,0.19,0.18,0.18,0.18,0.2,0.18,0.16,0.15,:
Slovakia,0,0,0,0,0,0,0.06,0.08,0.03,0.03,0,0,0,0.07,0.04,0.07,0.07,0.08,0.08,0.1,0.13,0.13,0.14,0.13,:
Finland,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.01,0.01,0.04,0.06,0.07,0.04,0.07,:
Sweden,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0.0,0.0,0.0,0.0,0.0,0,:,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0.0,0.0,0.0,0.0,0.0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.07,:,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,:,:,:,:
Bosnia and Herzegovina,1.85,1.81,1.92,1.95,1.97,1.96,1.85,1.85,1.84,1.74,1.64,2.02,1.81,1.72,1.59,1.7,1.77,1.7,1.73,1.69,1.83,1.75,0.67,0.6,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
North Macedonia,1.3,1.1,:,:,:,1.1,0.96,1.01,1,1.06,1,0.95,0.94,0.92,0.93,0.98,0.98,0.95,0.95,0.9,0.96,0.97,0.93,0.9,:
Albania,:,:,:,:,:,:,:,:,1.24,1.28,1.55,1.59,1.7,:,1.58,1,1.2,1.2,1.2,1.3,1.4,1.46,1.61,1.6,:
Serbia,:,:,:,:,:,:,:,3.06,2.99,2.95,2.87,2.83,2.79,2.8,2.81,1.95,1.58,1.82,1.4,1.1,1.3,1.3,1.31,1.36,:
Türkiye,:,13.2,11.1,12.9,12.9,13.2,10.6,11.1,11,:,:,11,14,13,13,13,14.0,15.0,15.0,14.0,15.0,16,16,:,:
Kosovo*,0,0,0,0,0,0,0,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.19,0.2,0.2,:,:
