,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.11,0.13,0.14,0.15,:,:,:,0.21,0.3,0.51,0.51,0.46,0.51,0.55,0.69,0.71,0.69,:
Bulgaria,0,0,0,0,0,0,0.23,0.27,0.26,0.23,0,0,0,0,0,2.44,11.76,1.87,1.57,1.24,1.52,1.62,0.8,0.7,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,0,0,1.2,1.22,1.31,1.64,1.69,1.8,2.08,2.58,2.9,3.23,3.49,3.99,4.48,4.15,4.17,4.67,4.84,4.82,5.3,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.08,0.08,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,1.5,1.4,1.5,1.4,1.6,1.5,1.56,1.85,:,:,:,1.86,:,1.7,2,2.89,3.17,3.74,4.05,4.1,4.46,4.95,4.41,5.01,:
France,1.6,1.7,1.7,1.8,1.8,1.7,1.8,1.8,1.9,:,:,:,:,:,3.85,3.83,4.08,4.31,4.21,4.74,8.29,8.68,8.79,8.21,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.09,0.27,0.16,0.21,0.14,0.21,0.24,0.05,0.12,0.21,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0.2,0.1,0.2,0,0.2,0.3,0.2,0,0.1,0,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.24,0.3,0.3,0.47,0.45,:
Lithuania,:,:,:,0.03,0.01,0.02,0.01,0.02,0.02,0.02,0.12,0.12,0.11,0.11,0.1,0.1,0.13,0.22,0.21,0.29,0.72,0.92,1.58,1.37,:
Luxembourg,:,:,:,0,0,0,0,0,0,0,0,:,:,0,0,0,0.01,0.02,0.01,0.02,0.02,0.02,0.06,0.09,:
Hungary,:,:,:,:,0.6,0.6,0.5,0.53,0.53,0.92,0.84,:,:,:,0.96,0.73,1.17,1.39,1.54,1.57,1.62,1.55,1.42,1.57,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.82,0.82,0.93,0.76,0.92,0.97,1.22,1.23,1.31,:
Austria,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.25,0.24,0.26,0.32,0.38,0.38,0.43,0.5,0.5,0.55,0.6,0.7,0.7,0.68,0.72,0.78,0.76,:
Poland,:,:,:,:,:,:,0,1.03,1.08,1.38,1.54,1.4,1.4,1.3,1.1,1.3,1.34,1.66,1.69,1.8,5.2,6.7,8.9,7.9,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,1.97,2.1,2.18,3.25,3.06,2.94,2.95,2.86,2.69,5.09,5.19,4.03,3.51,:
Romania,1.26,1.51,2.04,2.64,6.95,2.85,5.77,5.14,4.81,5.04,4.58,5.82,4.67,3.21,3.36,2.46,1.29,1.18,1.23,1.24,1.28,0.94,0.91,0.78,:
Slovenia,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Slovakia,0,0,0,0,0,0,0.37,0.62,0.46,0.66,0,0,0,0,0,2.25,2.87,0.67,0.21,0.37,0.33,0.52,0.16,0.34,:
Finland,0,0,0,0,0,0,0.04,0.01,0.01,0.01,0,0,0,0.06,0.01,0.01,0.02,0.03,0.04,0.04,0.04,0.04,0.07,0.08,:
Sweden,0.03,0.03,0.04,0.04,0.05,0.07,0.06,0.06,0.04,0.07,0.08,0.06,0.09,0.09,0.12,0.12,0.12,0.19,0.2,0.21,0.24,0.27,0.28,0.3,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0.01,0.01,:,:,0,0.39,0.44,0
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
North Macedonia,0.6,1.7,:,:,:,1.19,1.09,1.1,0.97,1.26,1.34,1.41,1.6,1.59,1.49,1.26,1.37,1.4,1.56,1.49,1.49,1.18,1.43,1.25,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.5,0.52,:,:,0,0,:,:,:,:,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,5.3,3.5,4.6,4.3,4.4,4,3.7,4,:,:,:,:,:,:,66,67,69,77,74,80,90,81,:,:
Kosovo*,:,:,:,:,:,:,:,0.1,0.1,:,0.1,0.1,:,0.1,:,:,:,:,0,:,:,:,:,:,:
