,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.24,0.24,0.3,0.38,0.49,0.56,0.68,0.68,:
Bulgaria,:,:,:,:,:,:,144.87,120.34,110.8,101.43,49.4,46.1,60.44,50.2,31.89,38.71,36.55,34.11,34.11,30.05,28.74,28.53,28.47,28.4,:
Czechia,11.24,11.32,10.79,11.83,12.97,14.25,15.52,17.01,16.3,16.09,16.03,16.01,15.67,15.65,15.78,15.81,15.8,15.81,15.94,16.08,16.14,16.36,16.42,16.28,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,99.7,99.79,98.77,98.16,98.4,98.88,99.17,99.7,99.74,100.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,132.77,132.3,131.6,117.81,115.3,112.91,112.82,111.67,91.7,91.41,99.28,103.18,99.24,110.98,110.9,108.53,98.09,101.75,100.34,101.85,104.21,89.84,84.71,104.37,:
Spain,1186.4,1201.7,1185.9,1165.1,1166.7,1160,1134.31,1130.68,:,:,1002.07,963.1,947.1,946.97,947.28,941.06,935.11,937.76,939.92,936.89,931.63,929.39,922.92,913,:
France,857.4,859.47,859.8,850.68,849.71,851.04,843.8,829.16,812.24,790.73,778.28,763.93,760.85,760.55,757.34,752.33,751.69,750.46,750.62,755.47,759.59,757.83,757.55,753.42,:
Croatia,28.39,27.72,27.73,27.69,28,29.67,30.77,32.45,33.74,34.38,32.71,32.49,29.24,26.1,25.75,25.59,22.65,21.9,20.51,19.82,21.45,21.21,20.6,19.81,:
Italy,908,891.6,871.6,791.3,786.7,792.7,786.1,782.2,788.1,801.9,777.48,717.57,697.72,702.11,682.18,672.86,673.76,670.09,675.82,697.91,703.9,702.67,709.89,713.35,:
Cyprus,19.2,18.2,15.06,12.52,12.1,11.98,9.05,8.23,8.48,8.93,7.64,7.71,6.81,5.92,6.16,6.6,6.07,5.93,6.67,6.67,6.18,6.16,6.1,6.12,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,1.3,1.3,1.3,1.3,1.2,1.2,1.23,1.23,1.24,1.24,1.22,1.22,1.22,1.24,1.25,1.25,1.26,1.26,1.25,1.24,1.24,1.23,1.22,1.22,:
Hungary,105.9,78.2,81.9,93,93.2,86,83.7,82.38,82.64,82.48,73.92,75.51,72.32,69.32,70.72,72.2,68.12,67.08,66.06,64.92,59.63,59.07,58.01,56.74,:
Malta,:,:,:,:,:,:,:,:,:,:,0.61,0.61,0.61,:,:,0.68,0.68,0.68,0.42,0.42,0.45,0.46,0.46,0.46,:
Netherlands,0,0,0,0,0,0,0.08,0.11,0.14,0.15,0.16,0,0,0,0,0.15,0.14,0.16,0.17,0.16,0.17,0.19,0.21,0.25,:
Austria,46.5,46.2,46,45,43.5,45.7,45.7,44.2,45.62,45.59,43.66,43.84,43.62,44,44.79,43.78,46.49,46.33,46.5,46.36,46.16,42.84,42.84,42.59,:
Poland,0,0,0,0,0,0,0,0.35,0.34,0.37,0.49,0.4,0.5,0.7,0.7,0.6,0.62,0.67,0.73,0.74,1,1,1.1,1.3,:
Portugal,217.9,217.69,216.64,213.39,208.96,204.49,199.31,193.99,187.8,181.2,180.08,179.47,179.47,179.5,178.99,178.97,179.17,178.95,179.25,175.65,175.67,175.62,175.79,175.79,:
Romania,242.36,238.14,231.96,221.76,202.75,170.98,187.09,172.64,181.45,182.28,174.63,174.86,176.47,176.88,174.63,176.12,174.17,175.32,172.8,176.34,165.6,163.61,159.74,163,:
Slovenia,16.6,16.6,16.6,16.56,16.56,16.43,16.43,16.09,16.09,16.09,16.35,16.35,16.36,16.1,16.02,15.71,15.84,15.86,15.65,15.57,15.29,14.9,14.42,14.43,:
Slovakia,17.4,13.1,13,12.6,12,13.1,11.78,11.51,9.65,9.34,9.06,9.93,10.49,11.96,8.76,8.8,8.71,8.47,8.01,7.92,7.73,7.75,7.79,9.03,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.03,0.03,0.05,0.05,0.05,0.04,0.05,0.05,0.08,0.09,0.09,0.12,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,14.81,14.81,14.98,14.77,14.74,14.72,14.71,14.65,14.61,14.59,:
United Kingdom,0,0,0,0,0.8,0,0,0,:,:,1.3,1,1.51,1.4,2,1.8,1.79,1.99,2.17,2.55,:,:,:,:,:
Bosnia and Herzegovina,3.5,3.5,3.5,3.5,4.5,4.5,4.5,4.5,5.5,5.5,5.73,5.62,5.6,5.19,5.42,4.55,4.75,4.44,4.53,4.35,4.43,4.53,3.15,3.17,:
Montenegro,:,:,:,:,:,:,:,2.35,2.36,2.36,2.38,2.52,2.65,2.65,2.6,2.63,2.78,2.8,2.79,2.83,2.83,2.79,2.78,:,:
North Macedonia,26.5,27.8,28,:,:,26.02,24.27,21.31,21.77,19.96,20.03,20.16,20.95,21.11,22.73,22.92,23.19,23.7,24.09,24,23.98,23.78,23.43,22.35,:
Albania,17.6,18.5,:,:,:,:,:,:,8.06,9.8,8.6,9.1,10,:,9.6,9.9,10,10.1,10.2,10.3,10.4,10.5,10.6,9.8,:
Serbia,:,:,:,:,:,:,:,23.55,23.19,22.7,22.51,22.21,21.15,21.2,21.2,21.2,21.2,21.2,20.47,20.5,19.8,20.11,19.97,18.35,:
Türkiye,:,525,530,530,385,516,501.1,484,483,:,:,473,462,469,467,462,435,417,417,405,401,390,385,:,:
Kosovo*,:,:,:,:,:,:,:,3,3,3.1,3.1,3.2,3.2,3.2,3.2,3.1,3.1,3.2,3.3,3.4,3.44,3.47,3.47,:,:
