,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,0.01,0.01,0,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.06,0.06,:
Bulgaria,0,0,0,0,0,0,0.38,0.7,0.7,0.6,0,0,0,0.6,0.42,0.5,0.54,0.59,0.8,1.27,1.34,1.56,1.53,1.72,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,:,0,0,0,0,0,0,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.52,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,1.35,1.24,1.3,0.95,0.76,0.75,0.2,0.76,0.77,0.5,0.42,0.39,0.39,0.44,0.34,0.35,0.31,0.35,0.42,0.52,0.59,0.75,0.72,0.52,:
Spain,29.3,22.5,22.4,21.6,20.6,20.3,19.94,16.8,:,:,13.8,14.06,13.91,13.8,13.59,13.3,13.14,12.81,13.51,13.02,13.07,13.11,12.66,12.47,:
France,2.33,2.35,2.37,2.4,2.46,2.56,2.92,3.11,3.56,3.89,4.17,4.1,4.29,4.68,5,5.15,5.94,6.21,6.68,5.19,7.43,7.51,7.56,7.9,:
Croatia,:,:,:,:,0.73,0.86,0.98,1.25,1.88,1.92,2.39,2.4,2.78,2.65,2.89,3.02,3.3,3.84,4.81,5.53,6.54,6.71,8.24,8.2,:
Italy,69.6,69.9,69.6,69.3,68.6,68.9,69.7,72.3,71.1,70.1,67.27,67.31,69.13,66.83,67.85,68.62,69.29,73.77,78.59,79.35,80.28,82.59,84.43,87.5,:
Cyprus,0,0,0,0,0.09,0.09,0.09,0.09,0.08,0.03,0.04,0.04,0.03,0.04,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.03,0,0,0,0,0,0.18,0.2,0.3,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.1,0.16,0.14,0.12,0.12,0.13,0.15,0.15,0.29,0.35,0.37,0.43,0.48,0.51,0.56,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,:,0.8,1.7,1.6,1.7,2.6,2.2,3.62,3.13,2.66,3.6,3.5,3.7,4,4,3.6,3.72,3.74,3.72,3.75,5.4,5.4,5.6,5.6,:
Portugal,0.63,0.63,0.62,0.61,0.55,0.5,0.47,0.44,0.41,0.38,0.38,0.38,0.39,0.39,0.39,0.39,0.39,0.36,0.35,0.32,0.32,0.41,0.55,0.69,:
Romania,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0.15,0.16,0.41,0.45,0.66,0.71,0.72,0.89,0.71,0.82,0.84,1.54,0
Slovenia,0,0,0,0,0,0,0.03,0.04,0.43,0.05,0,0,0,0.07,0,0.08,0.09,0.11,0.12,0.15,0.17,0.19,0.2,0.21,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.21,0.99,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,0.07,0.09,0.06,0.06,0.2,:,0.09,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,:
Serbia,:,:,:,:,:,:,:,0,0,0,0,0,2.24,2.24,2.24,2.24,2.24,3.22,4.4,4.5,4.9,5.08,7.11,8.59,:
Türkiye,:,555,560,600,650,655,666,663.9,663,:,:,697,713,702,701,703,705,707,728,734,735,739,744,:,:
Kosovo*,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0,0.02,0.1,0.1,0.1,0.1,0.1,0.3,0.39,0.39,0.39,:,:
