,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,18.1,17.4,30.3,32.7,32.9,31.2,23.73,24.13,22.93,23.97,22.64,:,:,:,13.45,19.07,18.69,20.24,21.21,22.02,22.24,23.15,23.32,21.08,:
Bulgaria,0,0,0,0,0,0,1.01,0.82,0.56,0.62,0,0,0,0,0,0.99,1.24,0.79,0.82,0.83,0.82,0.89,0.68,0.66,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0.19,0.15,0.19,0.19,0.15,0.16,0.6,1.02,1.1,0.98,1.31,1.3,1.49,:
Denmark,0.7,0.7,0.7,0.9,0.9,1,1,0,0,0,1.26,1.35,0,0,0,1.1,0.89,1.09,1.74,1.82,1.44,1.8,2.09,2.01,:
Germany,27.8,29.1,30.2,31.5,34,35.1,38.64,39.72,40.79,40.54,39.99,40.06,41.31,40.18,40.96,41.75,43.94,46.82,46.53,45.84,44.87,45.42,43.23,40.35,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0.5,0.46,0.46,0.4,0.46,0.52,0.52,0.52,0.53,0.53,0.53,0.53,0.53,0.53,0.55,0.55,0.64,0.79,0.73,0.69,0.7,0.7,0.69,0.7,:
Greece,24.99,23.62,23.61,23.06,23.51,23,22.61,21.83,22.39,19.75,18.65,17.47,16.55,17.92,18.33,14.5,18.21,20.67,17.92,15.57,16.49,20.96,15.42,16.93,:
Spain,89.4,86.4,87.9,89.7,88.5,88.3,76.07,70.72,27.3,26.8,:,:,:,:,:,82.02,86.66,86.63,85.95,78.6,79.2,80.28,78.85,75.53,:
France,78.7,77.7,76.4,74.4,74.4,72.9,67.4,64.6,57.4,3.2,2.5,:,:,:,59.16,58.45,58.94,57.83,56.99,55.01,54.08,55.27,54.9,53.02,:
Croatia,0.17,0.19,0.2,0.2,0.21,0.16,0.18,0.43,0.6,0.59,0.46,0.54,0.27,0.38,0.32,0.52,0.67,0.61,0.73,0.76,0.91,0.81,1.05,0.67,:
Italy,172.2,144.5,144.8,145.4,145.9,146,146.4,144.7,138.2,120.4,:,:,:,:,:,101.56,106.22,102.19,103.16,101.31,98.93,98.26,90.88,94.14,:
Cyprus,0,0.9,0.87,0.87,0.89,0.89,0.92,0.85,0.77,0.79,0.66,0.62,0.6,0.75,0.63,0.69,0.86,0.76,0.71,0.72,0.73,0.71,0.67,0.78,:
Latvia,0.2,0.1,0.4,0.5,0,0.6,0.6,0.6,0.8,0.3,0.3,0.3,0.2,0.5,0.2,0.2,0.2,0.1,0.1,0.25,0.3,0.3,0.19,0.13,:
