,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,5.3,6.8,6.5,7,5.7,5.7,5.3,5.1,5.2,5.6,0,3.52,2.9,3.76,3.04,3.94,3.67,4.04,3.47,3.86,3.98,3.61,3.4,2.89,:
Bulgaria,40.6,51.3,41,37.6,43,30.6,16.4,21.9,25.1,20,24.66,14.99,17.7,17.91,15.01,11.08,15.32,13.91,11.34,12.15,13.4,9.94,11.44,13,:
Czechia,50.1,47.8,61,77.4,58.6,51.7,57.7,59,49,50,54.85,48.44,54.78,47.38,45.58,44.91,40.9,45.12,44.29,43.08,47.61,58.63,46.01,43.05,52.69
Denmark,44.4,60.1,55.2,49.5,62,69.2,69.4,65.5,83.7,66.9,47.5,46.8,58.5,55.6,44.3,44,59.5,65.1,89.79,56.46,83.12,78.68,72.45,64.13,70.74
Germany,266.1,260.4,258.9,294.6,252.2,236.1,208.5,197.8,197.3,179.7,157.24,159.6,177.3,148.9,137.9,139.9,126.3,139.6,151.7,135.1,165.7,184.5,168.3,146.5,:
Estonia,65.9,54.4,41.5,42.1,40.5,38.2,37.5,35.2,37.5,38.7,34.2,32.2,34.2,38.5,30.3,26.5,30.3,34.02,40.26,37.56,41.43,40.34,37.16,35.91,:
Ireland,16.8,16.8,18.8,21.02,19.96,16.81,20.37,21.27,22.91,20.41,19.71,21.4,23.69,26.66,18.62,23.43,23.21,24.44,17.78,23.82,25.44,28.37,28.18,26.99,29.98
Greece,44.01,61.22,45.64,43.45,43.95,51.29,62.24,64.99,71.69,63.79,56.9,82.23,70.28,79.28,82.55,94.63,104.07,90.7,80.34,72.46,68.71,65.44,62.63,59.33,60.01
Spain,442,467.7,468.4,511.6,509.2,491.4,543.4,545.8,520.3,573.9,511.33,434.61,439.5,452.04,437.47,490.04,517.11,563.01,566.72,461.69,513.75,506.54,463.01,460.71,498.41
France,157.6,169.9,207.9,196.4,188.9,167.6,163.8,170.7,155.4,171.3,133,136.4,144.3,148.32,153.23,134.18,147.74,191.3,187.32,202.89,200.54,241.27,217.1,177.44,191.2
