,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,631.33,637.01,635.8,714,713.3,712.7,713.8,712.8,714.8,722.9,750.88,808.27,829.58,820.81,831.76,870.01,865,837.28,859,799.67,798.49,725.46,749.81,798.23,798.22
Spain,2400.7,2263,2066.9,2270.9,2293.5,2298.5,2313.87,2299.32,:,:,2309.46,2337.91,2337.58,2343.17,2351.37,2363.08,2356.05,2387.83,2413.02,2435.13,2452.57,2468.46,2480.63,2452,2452
France,13.11,13.26,14.14,14.23,14.98,15.07,14.94,15.7,16.69,16.44,16.66,16.73,16.86,16.86,16.86,16.96,17.19,17.23,17.07,17.42,16.27,16.49,16.78,16.3,:
Croatia,11.4,11.41,11.48,11.28,12.39,12.36,13.36,14.35,14.97,15.3,17.1,17.2,18.1,18.59,19.08,19.1,18.18,18.68,18.7,18.61,20.28,19.94,19.9,20.79,20.5
Italy,:,:,:,:,:,:,:,:,:,:,1141.35,1134.94,1101.98,1095.69,1092.17,:,1114.31,1120.37,1110.33,1110.93,1111.98,1095.45,1042.59,1062.68,1020.05
Cyprus,:,:,7.51,11.15,12.68,12.89,14.57,11.44,10.27,11.78,11.44,10.55,10.26,10.45,10.67,9.83,10.42,10.58,10.53,10.83,9.5,9.78,9.79,9.75,9.7
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,357.02,351.17,343.73,339.87,337.37,338.92,338.88,338.81,339.04,336.57,335.59,338.05,338.56,342.98,343.56,342.55,351.72,354.78,357.46,372.59,374.76,374.41,372.58,372.58,374.33
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0.59,0.59,0.78,0.78,0.78,0.78,0.78,0.84,0.84,0.84,0.89,0.89,0.89,0.93,1,1.08,1.17,1.24,1.3,1.37,1.42,1.49,1.57,1.62,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.14,0
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0.08,0.1,0.13,0.13,0.13,0.13,0.14,0.14,:,:
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,33.6,34.7,37.1,38.2,39.3,40,41.1,41.6,42.4,40,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,:,:,:,482,491,518.2,545.9,562,:,:,576,586,595,606,613,619,620,654,645,654,659,668,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,:,:
