,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022,2023,2024
Belgium,0.8,1.2,1.2,1.2,1.2,1,1.05,1.25,1.39,1.62,1.67,1.71,1.7,1.81,2.05,2.45,2.96,3.77,4.28,4.42,4.83,5.44,4.82,5.12,:
Bulgaria,13,4.4,5,5.4,4,1.5,2.22,1.26,1.28,1.18,1.66,1.5,1.3,1.2,1.12,1.07,1.37,2.08,3.68,2.63,2.62,2.35,2.32,3.02,:
Czechia,5.46,4.8,2.47,2.75,2.87,1.84,2.24,2.15,2.07,1.73,1.83,1.83,1.52,1.53,1.73,1.58,1.55,1.7,1.66,1.76,1.78,1.84,1.68,1.92,:
Denmark,0.9,0.9,0.9,1.5,1.5,1.5,1.6,:,:,1.37,1.45,1.58,1.23,1.11,1.18,1.19,1.47,1.44,1.3,1.33,1.37,1.47,1.37,1.44,:
Germany,7.5,7.2,6.9,7.9,9.1,7.9,8.53,8.39,8.94,8.63,8.76,11.39,11.48,11.7,12.42,12.62,13.56,14.07,13.58,14.39,14.73,16.58,16.83,17.43,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02,0.03,0.02,0.03,0.03,0.04,0.04,0.04,:
Ireland,0.24,0.26,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.21,0.19,0.17,0.29,0.32,0.27,0.27,0.29,:
Greece,9.33,8.92,9.1,9.1,9.2,9.1,8.4,7.6,7.3,5.4,6.9,7.33,6.96,6.91,7.12,6.13,5.92,5.54,4.43,3.81,4.83,4.8,3.26,4.97,:
Spain,21.9,23.9,23.2,21.3,22.2,21.5,21.11,22.32,21.1,22.9,22.48,24.53,22.87,22.01,24.96,24.2,25.74,25.46,24.39,26.52,25.32,26.78,23.7,23.26,:
France,11.4,10.7,10.4,10.4,9.9,8.9,8.7,7.9,8.8,:,8.06,8.95,9.47,10.9,11.19,11.08,13.08,12.5,12.66,14.65,16.25,19.42,17.32,17.79,:
Croatia,0.84,0.97,0.89,0.88,0.81,1.08,1.05,1.18,1.44,1.06,0.84,1.25,0.84,1.05,0.9,0.94,0.91,0.8,0.8,0.79,0.61,0.65,0.59,0.63,:
Italy,14.6,13.8,13.9,13.4,12.9,12.3,12.8,13,13,12.8,12.6,13,10.75,11.51,12.48,11.54,12.71,12.25,11.6,14.06,12.82,12.51,12.63,12.51,:
Cyprus,0,0,0,0,0.18,0.18,0.21,0.22,0.14,0.16,0.16,0.17,0.19,0.17,0.19,0.18,0.17,0.14,0.13,0.15,0.13,0.13,0.16,0.16,:
Latvia,:,:,:,:,2.1,:,:,1.3,:,:,:,:,:,:,0.4,0.3,0.3,0.4,0.5,0.37,0.5,0.5,0.5,0.46,:
Lithuania,2.59,2.61,2.47,2.05,2.73,1.72,1.58,1.76,1.77,1.76,1.57,1.7,1.45,1.5,1.55,1.25,1.58,1.42,1.57,1.62,1.68,1.63,1.59,1.63,:
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,:
Hungary,4.8,6.1,5,4.6,4,2.9,3.6,2.49,2.57,2.37,1.7,2.32,2.08,1.99,2.48,2.13,2.2,2.01,1.55,1.67,1.66,1.67,1.55,1.64,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Netherlands,20,20.5,21.1,23.2,26.2,22.5,24.63,26.18,26.14,26.03,28.87,29.84,27.24,28.62,30.2,32.16,32.72,34.36,34.51,36.51,35.94,39.51,33.49,34.96,:
Austria,2.3,2.3,2.3,2.5,2.7,2.4,2.5,2.62,2.82,2.65,2.91,3.23,2.92,3.04,3.21,3.36,3.51,3.54,3.3,3.51,3.41,3.43,3.58,3.57,:
Poland,35.7,34,27.7,32.5,36.5,34.7,34.9,29.33,25.79,27.21,28.78,27.1,25.5,20,25.2,25.6,26.98,26.65,25.45,25.2,23.1,23.4,22.7,22.1,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,1.52,1.77,1.46,1.99,1.79,1.95,1.69,1.52,1.61,1.97,1.98,1.57,1.38,:
Romania,24.31,24.51,25.17,24.3,10.76,20.07,22.72,22.93,22.56,22.91,21.26,20.62,20.77,19.32,17.68,18.58,17.26,17.04,17.29,17.35,16.24,16.33,15.67,15.86,:
Slovenia,0.26,0.29,0.29,0.36,0.29,0.29,0.26,0.23,0.27,0.27,0.19,0.3,0.32,0,0.37,0.33,0.45,0.44,0.43,0.45,0.49,0.44,0.49,0.47,:
Slovakia,0,0,0,0,0,0,0.77,0.76,0.78,0.62,0,0,0,0.68,0.78,0.7,0.85,0.7,0.88,1.06,1.07,1.11,1.07,1.03,:
Finland,1.2,1,1,1,1,0.9,0.89,0.96,0.99,0.93,0.99,1.12,1.11,1.12,1.16,1.2,1.13,1.2,1.26,1.24,1.23,1.19,1.29,1.21,:
Sweden,0.97,0.82,0.82,0.71,0.92,0.94,0.89,1.02,0.86,0.84,0.87,1.02,1.04,1.01,1.15,1.29,1.33,1.26,1.22,1.28,1.45,1.5,1.58,1.49,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0.0,0.0,0.0,0.0,0.0,0,0,:,0,0
Norway,:,:,:,:,0.7,0.7,0.7,0.7,:,:,0.62,0.71,0.65,0.73,0.79,1.1,1.09,1.02,1.1,1.04,1.05,1.01,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.97,0.97,1.06,1.07,1.11,1.15,1.23,1.32,:,:,:
United Kingdom,10.8,10,9.7,10.5,10.4,10.6,10.4,10.4,:,:,9,9,9,9,11,10.74,10.0,10.3,10.4,10.4,:,:,:,:,:
Bosnia and Herzegovina,4.9,5.04,5.2,5.27,5.26,5.29,5.25,5.24,5.12,5.01,4.9,5.03,5.23,4.9,4.67,4.83,4.93,4.88,4.83,4.77,5.69,4.89,2.5,2.05,:
Montenegro,:,:,:,:,:,:,:,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
North Macedonia,4,3.7,:,:,:,3.21,3.03,3.13,3.18,3.36,3.55,3.49,3.53,3.49,3.59,3.61,3.58,3.63,3.63,3.56,3.62,3.62,3.49,3.39,:
