,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0.01,0.04,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,:,0,0,0,0,0.4,0.47,0.55,0.53,0.41,0,0,0,0,0,0,0,0,0.53,0.63,0.37,0.34,0.2,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0.36,0.61,0.57,0.36,0.61,0.36,0.61,0.36,0.61,0.36,0.56,0.57,0.36,0.62,0.65,0.39,0.43,0.38,0.41,0.39,0.37,0.55,0.64,0.37,:
Spain,9.1,8.6,7.7,7.7,7.9,8,9.36,9.25,8.4,8.9,8.6,7.99,6.22,5.17,6,6.17,6.12,6.77,5.98,6.5,6.17,6.15,5.48,4.23,:
France,8.1,7.9,8.2,8.7,8.7,8.5,8,7.6,7.1,:,:,:,:,:,6.31,6.35,5.69,6.87,6.29,6.47,6.47,9.11,8.03,7.09,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.08,:
Italy,12,10.8,10.8,9.7,9.7,9.5,9.7,9.8,9.5,:,:,:,:,:,:,7.91,7.59,7.55,7.99,7.62,7.37,7.35,7.21,7.02,:
Cyprus,0,0,0,0,0.04,0.05,0.01,0.05,0.04,0.04,0.03,0.04,0.05,0.05,0.06,0.15,0.12,0.17,0.17,0.15,0.18,0.16,0.15,0.16,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,:,:,:,0.02,0.01,0.03,0.02,0.04,0.04,0.04,0.17,0.14,0.12,0.12,0.1,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0.7,0.8,0.9,0.9,0.9,0.6,0.65,0.59,1.09,0.89,1,1.41,1.33,1.57,1.44,0,0.59,0.4,0.5,0.62,0.41,0.62,0.38,0.38,:
Austria,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.11,0.13,0.29,0,0,0,0,0,0,0,0,0,0,0.27,0.49,0.54,0.84,:
Poland,:,:,:,:,1.5,1.5,1.5,1.22,1.09,1.36,1.55,1.4,1.3,1.5,1.8,1.8,28.13,2.41,2.18,2,21,14.7,6,4.7,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,0.42,0.83,0.61,0.66,0.66,0.45,0.62,0.66,0.58,0.68,0.67,0.85,0.4,:
Romania,0,0,0,0,0.04,0,0.04,0.02,0.06,0.04,0.01,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0,0
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,:,0,0,0,0,0,0,:,:
United Kingdom,2.3,2.1,3.4,3.3,3.1,2.8,1.9,2,:,:,:,:,:,:,0,0,0,0,0,0,:,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,0,0,0,0
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
North Macedonia,0.3,0.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.12,:,0.1,0,:,:,:,:,:,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,14.1,13.6,14.4,14.9,14.4,16.5,14.3,14,:,:,:,:,:,:,11,11,15,14,14,16,13,13,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.1,0.02,:,:,0,:,:,:,:,:,:
