,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0.8,0.8,0.8,0.8,0.8,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0.11,0.25,0.13,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.41,0
Czechia,3.51,2.99,2.18,2.24,2.42,1.95,2.27,2.25,2.57,2.38,2,2.03,1.9,2.05,2.12,2.56,2.8,2.35,1.57,1.81,1.85,2.25,1.83,0.04,:
Denmark,0.5,0.5,0.5,0.7,0.7,0.7,0.7,:,:,:,0.3,0.32,:,:,:,0.28,0.44,0.42,0.39,0.41,0.37,0.4,0.36,0.32,:
Germany,11.8,7.5,7.8,8.8,8.9,8.3,3.51,3.86,3.9,3.95,1.42,2.69,2.1,2.02,2.03,1.92,2.53,2.45,2.58,2.89,3.26,3.43,2.86,2.95,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0.71,0.55,0.41,0.5,0.39,0.34,0.39,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,16.8,13,18,13.6,12.9,15.1,:,:,:,:,:,:,:,:,:,5.75,3.75,3.47,0.65,0.6,0.54,0.59,0.6,0.49,:
France,26.2,27.7,32.8,33.2,29.8,27.4,26.3,27.7,26.7,:,:,:,:,:,20.58,19.26,18.78,20.68,22.45,22,:,:,21.74,:,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0.8,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.98,4.99,5.3,5.47,5.68,5.8,6.03,2.41,2.88,:
