,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0.08,0.12,0.5,0.6,0,0,0,0,0,0.09,0.03,0,0.08,0.04,0.05,0.06,0.08,0.07,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0.09,0.09,0.09,0.11,0.11,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0.9,0.6,1,1,1.3,1.4,1.38,1.24,12.1,:,:,1.34,:,:,:,3.94,3.87,3.85,3.63,3.02,3.11,3.15,3.19,3.1,:
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,4.72,4.51,4.34,4.21,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,:,:,:,:,:,:,0.03,0,0,0,0,0.18,0.17,0.16,:,:
Cyprus,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,:
Latvia,0.3,0.3,0.2,0.1,0,0.3,0,0,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0.2,0.3,0.2,0.33,0.4,0.6,0.79,1.7,:
Lithuania,:,:,:,0.33,0.32,0.19,0.17,0.33,0.4,0.54,0.52,0.47,0.48,0.46,0.45,0.28,0.29,0.29,0.32,0.33,0.36,0.36,0.36,0.36,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,0.1,0.1,0.1,0.1,0.1,0.12,0.14,0.13,0.19,0.19,:,:,0.18,0.19,0.18,0.3,0.35,0.46,0.66,0.69,0.74,0.73,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,0,0,0,0,0,0
Poland,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.4,:
Portugal,0.25,0.25,0.25,0.25,0.27,0.28,0.34,0.42,0.55,0.6,0.59,0.6,0.61,0.62,0.62,0.82,1.02,1.32,1.37,1.32,1.33,1.39,1.47,1.47,:
Romania,1.46,1.23,1.77,1.37,0.61,0.72,0.89,1.24,0.78,0.77,1.08,1.94,1.56,1.65,1.44,1.27,1.26,1.39,1.27,1.27,1.27,1.25,1.3,1.37,:
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0.01,0.01,0.01,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,0.03,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.51,0.61,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,0.07,0.49,0.07,0.08,0.1,:,0.8,0.3,0.09,:,0.1,0.1,0.1,0.1,0.1,0.1,:
Serbia,:,:,:,:,:,:,:,1.62,1.71,1.62,1.6,1.62,1.66,1.66,1.66,1.66,1.66,1.9,1.9,1.9,2,2,2.04,2.08,:
Türkiye,:,5.4,5.5,5.6,5.6,5.8,5.9,6,5,:,:,:,:,:,:,7,8,7,8,8,9,9,9,:,:
Kosovo*,0,0,0,0,0,0,0,0.1,0,0.04,0.1,0.1,0.1,0.1,0.1,0.1,:,0.08,0.1,0.1,0.14,0.15,0.15,:,:
