,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,17.77,8.4,9.6,3.62,4.26,4.68,4.83,4.78,4.83,5.01,6.2,6.33,5.49,:
Bulgaria,0,0,0,0,0,0,0,0,0,0,0.08,0.1,0,0.15,0.13,0.11,0.76,0.01,0.6,0.02,0.06,0.11,0.02,0.06,0
Czechia,7.96,5.97,1.65,1.42,1.37,1.29,1.03,1.18,1,1.01,1.03,0.59,0.94,0.55,0.36,0.57,0.5,0.5,0.64,0.43,0.47,0.38,0.5,0.28,0.32
Denmark,0,0,0,0,0,0,0,0,0,0,4.1,4,4.7,6,5.6,5,4.4,4.4,4.4,4.5,4,3.7,4.2,4.5,:
Germany,:,:,:,:,:,:,:,:,:,:,5.84,5.6,5,5.1,3.8,4.6,5.5,5.4,4.9,3.8,3.6,3.4,3.4,3.2,:
Estonia,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.26,0.07,0.21,0.45,0.27,0.29,0.79,0.08,:
Ireland,8.2,7.1,6.6,5.64,6.4,6.73,12.99,11,11.02,13.4,12.54,10.55,10.58,12.43,12.41,12.47,12.19,12.43,13.73,11.88,11.05,11.18,11.14,10.97,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,:,:,:,:,:,:,:,:,:,:,10.91,13.09,12.84,9.74,10.2,9.76,10.09,10.23,7.83,7.52,7.24,6.9,7.67,8.28,7.67
France,:,:,:,:,:,:,:,:,:,:,25.07,20.31,4.99,21.94,21.75,21.24,22.17,24.88,25.14,26.88,31.43,28.67,26.99,24.21,:
Croatia,1.92,2.09,1.9,1.81,1.78,1.57,1.34,1.52,1.3,1.04,1.29,0.39,0.83,0.65,0.66,0.98,0.75,0.58,0.47,0.72,1.01,0.63,0.4,0.34,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.31,0.35,0.62,0.39,0,0.39,0.37,0.45,0.5,0.4,0.41
Cyprus,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,9.1,9.6,7.5,7.2,5.6,3.8,2.9,2.3,0.9,0.8,0.9,0.8,0.6,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0
Lithuania,39.1,37.3,36,25.8,13.7,12.5,7.7,5.6,4.8,3.6,1.8,1.9,1.6,1.7,1.6,1.46,1.01,0.97,1.02,0.84,0.23,0.47,0.34,0.32,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,0.03,0.24,0.06,0.08,0.1,0.14,0.15,0.11,0.08,0.08,0.08,0.09,0.09,0.06,:
Hungary,:,:,:,:,:,:,:,:,:,:,0.85,0.67,0.46,0.57,0.57,0.53,0.87,0.65,0.44,0.41,0.41,0.23,0.13,0.13,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0.71,1.54,1.84,2.11,2.4,2.68,2.9,2.39,:
Austria,0,0,0,0,0,0,0,0,0,0,0.19,0.18,0.17,0.17,0.17,0.13,0.13,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.07
Poland,:,:,:,:,:,:,:,:,:,:,16.6,23.1,18.6,11.6,11.3,9.4,7.21,7.83,5.22,6.79,3.27,5.75,3.47,3.38,:
Portugal,7.35,7.16,6.98,6.79,6.78,7.86,6.54,6.32,4.86,2.91,2.7,2.49,2.29,2.08,2.08,2.27,2.33,2.36,2.36,3.82,3.82,3.82,3.82,3.82,3.82
Romania,35.64,33.69,35.25,35.76,11.58,28.9,26.25,23.32,22.67,20.45,18.92,17.99,14.91,14.66,14.03,13.81,13.29,10.35,10.05,10.64,10.13,6.32,3.03,1.69,1.98
Slovenia,4.24,3.78,3.69,4.05,3.4,3.47,1.83,1.98,1.56,1.91,1.31,1.38,1.35,1,1.2,0.92,0.89,0.97,0.92,0.92,1.22,0.81,0.81,0.41,:
