,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0.7,0.8,0.9,1.1,1.1,0.8,0.97,0.97,1.03,1,1,:,:,:,1.4,1.28,1.19,1.46,1.4,1.49,1.55,1.5,1.14,1.22,:
Bulgaria,0,0,0,0,0,0,0.17,0.16,0.08,0.05,0,0,0,0,0,0.14,0.07,0.12,0.12,0.05,0.08,0.07,0.05,0.09,0
Czechia,1.59,1.05,0.44,0.5,0.8,0.43,0.36,0.53,0.28,0.19,0.24,0.23,0.18,0.19,0.27,0.25,0.37,0.27,0.25,0.23,0.29,0.29,0.28,0.32,:
Denmark,0,0,0,0.1,0.1,0.1,0.1,0,0,0.49,0.59,0.64,0,0,0,0.78,0.43,0.37,0.6,0.48,0.58,0.39,0.35,0.39,:
Germany,1,1.2,1.2,1.1,1.1,1.3,2.87,2.87,2.97,2.91,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0.06,0.05,0.04,0.05,0.05,0.05,0.05,0.06,:
Ireland,0.83,0.83,0.77,0.83,0.83,0.87,0.87,0.87,0.87,0.85,0.85,0.84,0.79,0.79,0.79,0.79,0.81,0.8,0.79,0.8,0.81,0.8,0.73,0.78,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,1.9,0,0,1.2,1.1,1,7.56,7.03,86.5,0,0,0.43,0,0,0,0.74,0.18,0.56,3.52,5.06,4.25,3.94,3.9,3.51,:
France,4,4,4,4.3,3.9,3.7,3.8,3.8,3.6,:,:,:,:,:,3.22,3.21,2.65,2.97,2.91,2.87,3.1,3.53,3.52,3.18,:
Croatia,0,0,0,0,0,0,0,0,0.26,0.16,0.19,0.09,0.14,0.05,0.04,0.06,0.13,0.07,0.27,0.18,0.16,0.29,0.18,0.23,:
Italy,2,2.1,1.9,1.7,2.4,2.5,2.5,2.7,3.1,:,:,:,:,:,:,25.3,23.86,24.12,24.23,23.94,23.17,22.8,17.23,23.21,:
Cyprus,0,0,0,0,0.11,0.11,0.11,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.05,0.07,0.07,0.07,0.06,:
Latvia,0.7,0.7,1,1.3,0,0.7,0.9,0.7,0.6,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.23,0.5,0.1,0.19,0.23,:
Lithuania,:,:,:,0.51,0.15,0.19,0.16,0.22,0.14,0.14,0.26,0.16,0.18,0.16,0.12,0.19,0.08,0.06,0.09,0.09,0.07,0.08,0.07,0.08,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0.01,0,0.01,:
Hungary,2,2.5,3.6,3.8,3.8,3.4,4.1,3.2,3.29,3.42,3.18,:,:,:,1.47,3.49,3.46,3.81,3.05,3.69,3.53,3.41,3.12,3.12,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,1.2,1.2,1.2,1.3,1,0.9,0.92,1,1.1,1.25,1,0.84,0.88,1.16,1.15,0.74,0.77,1.31,1.45,1.36,1.35,1.34,1.2,1.02,:
Austria,0.4,0.6,0.5,0.5,0.6,0.5,0.5,0.48,0.46,0.44,0.46,0.49,0.51,0.5,0.52,0.5,0.51,0.59,0.55,0.52,0.62,0.72,0.73,0.67,:
