,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,:,0
Bulgaria,0,0,0,0,0,0,0.55,0.36,4.15,4.27,0,0,0,0,0,3.81,2.07,0.88,0.99,0.95,0.92,1.04,0.76,0.65,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,:
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,:,0.9,1,1.1,1.2,1.3,1.58,1.53,1.85,1.63,1.85,1.76,1.94,1.71,1.92,1.99,2.16,2.07,1.9,2.06,2,2.2,2.17,2.1,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,1.22,1.44,1.28,1.12,1.11,1.22,1.44,1.12,1.44,1.33,1.11,1.2,1.12,1.37,1.44,1.34,1.32,1.48,1.15,0.9,0.96,0.84,0.56,0.96,:
Spain,0.3,0.2,0.1,0.2,0.1,0.2,:,:,:,:,:,:,:,:,:,2.09,3.36,5.79,4.56,5.76,7.36,9.15,7.12,7.37,:
France,0,0,0,0,0,0,0,0,:,:,:,:,:,:,1.28,1.48,3.83,3.85,3.79,3.26,26.64,23.24,0.89,23.85,:
Croatia,0.57,0.72,0.6,0.87,0.75,0.8,1.54,1.18,0.46,1.05,0.58,1.06,0.76,0.43,0.56,0.89,1.04,1.1,0.97,1.02,0.89,1.02,0.52,0.56,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,:,0,:
Cyprus,0,0,0,0,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.08,0.07,0.05,0.03,0.03,0.02,0.02,0.02,0.02,0.02,:
Latvia,0,0,0,0,0,0.2,0.2,0.3,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.08,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,:,:,:,:,:,:,:,:,0.08,:,:,:,0.51,0.41,0.43,0.41,0.22,0.21,0.13,0.12,0.12,0.12,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,1.08,1.19,1.35,1.33,1.52,1.32,:
Austria,0,0,0,0,0,0,0,0,0,0,0.58,0.65,0.69,0.7,0.72,0.66,0.82,0.83,0.8,0.81,0.79,0.8,0.94,0.96,:
Poland,:,:,:,:,:,0.4,0.5,0.27,0.24,0.26,0.23,0.2,0.2,0.3,0.3,0.3,0.28,0.29,0.29,0.3,0.1,0.1,0.1,0.1,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,0.24,0.4,0.37,0.4,0.39,0.34,0.45,0.5,0.54,0.45,0.58,0.7,0.58,:
Romania,0,0,0,0,13.63,0.22,0.36,0.52,0.51,0.26,0.27,0.42,0.35,0.04,0.09,0.06,0.08,0.04,0.05,0.05,0.08,0.03,0.05,0.11,0
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,1.37,1.52,2.14,2.92,3.5,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Sweden,0.11,0.12,0.14,0.13,0.13,0.15,0.15,0.15,0.1,0.16,0.17,0.18,0.18,0.19,0.22,0.2,0.2,0.13,0.17,0.17,0.11,0.11,0.1,0.12,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.2,:,0,:,:,:,:,0,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,:,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.06,0,0,0,0,:,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,0,0,0,0
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.69,:,0.2,0.2,:,:,:,:,:,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,:,80.7,92,105.8,103.4,106.8,111,111.3,111,:,:,:,:,:,:,8,8,7,7,8,8,7,7,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,0.8,:,:,:,:,0.1,:,:,:,0,:,:,:,:,:,:
