,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,5.6,6,6.3,6.5,6.8,7.8,7.93,8.13,8.12,8.21,:,:,:,:,9.08,9.34,9.69,10.02,10.15,10.37,10.66,10.45,10.57,10.63,:
Bulgaria,:,:,:,:,:,:,0.33,0.57,0.6,0.3,:,:,:,:,:,0.51,0.41,0.45,0.57,0.68,0.5,0.55,:,0.47,:
Czechia,2,1.5,0.3,0.41,0.47,0.47,0.5,0.54,0.58,0.66,0.72,0.78,0.93,0.9,0.88,0.79,0.74,0.71,0.75,0.8,0.83,0.8,0.8,0.79,:
Denmark,0.4,0.4,0.4,0.4,0.4,0.5,0.4,:,:,:,0.33,0.38,:,:,:,0.34,0.3,0.3,0.29,0.3,0.3,0.3,0.29,0.3,:
Germany,1.67,1.67,1.69,1.69,1.69,1.69,1.69,1.58,1.58,1.58,1.58,1.58,1.36,1.36,1.36,1.36,1.36,1.46,1.46,1.46,1.46,1.46,1.43,1.43,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,4.47,4.14,4.1,4,3.9,3.8,3.9,4,4,3.5,5.25,4.75,4.91,4.82,4.97,4.95,4.08,4.07,4.41,4.34,5.42,4.37,4.35,3.16,:
Spain,41.5,38.2,36.2,38.1,36,33.5,33.63,31.89,:,:,:,:,:,:,:,22.88,22.55,19.31,18.66,18.4,18.14,18,17.31,16.96,:
France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:
Italy,47.3,47.1,45.8,44.9,44.5,42.7,42.3,41.4,40.7,40.3,:,:,:,:,:,:,32.29,31.73,31.34,28.71,23.49,23.02,21,21.01,:
Cyprus,0.1,0.1,0.1,:,0.13,0.14,0.14,0.17,0.13,0.12,0.12,0.11,0.1,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.07,0.08,0.07,0.07,:
Latvia,0.5,0.7,0.7,0.7,0.7,0.8,0.7,0.6,0.3,0.2,:,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.2,:
Lithuania,:,:,:,:,:,0,0.04,0.03,0.03,0.03,0,0,0.9,:,:,:,:,:,:,:,:,:,:,:,:
Luxembourg,:,:,:,:,:,0,0.01,0.01,0.01,0.01,0,:,:,:,:,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,:
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,6,6.1,6.3,6.4,6.5,6.7,6.91,7.3,7.48,7.8,7.99,8.13,8.17,8.51,8.6,9.23,9.4,9.7,10,10.09,10,10.07,10.1,9.86,:
Austria,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.48,0.44,:,:,:,:,:,:,:,:,:,:
Poland,:,:,:,:,:,:,:,10.3,10.29,10.39,10.42,10.6,8.6,8.9,8.8,:,:,:,:,:,:,:,:,0,0
Portugal,12.1,11.92,11.82,11.64,11.47,11.28,11.12,10.95,10.75,10.57,10.52,10.53,10.78,11.53,11.53,11.63,11.51,11.07,10.76,10.87,10.87,10.72,10.41,10.41,:
Romania,6.05,5.85,6.1,5.9,5.32,6.07,4.42,4.62,4.59,4.54,5.1,4.27,3.9,3.91,3.46,2.91,3.15,3.12,3.1,3.08,3.09,3.17,3.2,3.23,:
Slovenia,:,0.4,0.3,0.3,0.3,0.3,0.28,0.22,0.22,0.21,:,:,:,:,:,0.2,0.2,0.2,0.21,0.21,0.22,0.23,0.22,0.21,:
Slovakia,:,:,:,:,:,:,:,:,:,:,0.1,0.15,0.1,0.13,0.15,0.11,0.11,0.11,0.12,0.11,0.1,0.09,0.1,0.11,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.05,0.04,0.05,0.05,0.05,0.03,0
Sweden,0.22,0.21,0.2,0.2,0.19,0.2,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.11,0.11,0.12,0.13,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.76,0.77,0.78,0.77,0.73,:,:,:,:
United Kingdom,2.4,2.3,2,1.7,1.7,1.7,1.6,1.5,:,:,:,:,:,:,1,1.48,1.5,1.5,1.5,1.5,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Montenegro,:,:,:,:,:,:,:,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0,0.04,0.04,0.05,0.05,0.05,0.05,0.05,:,:
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Serbia,0,0,0,0,0,0,0,7.74,7.34,7.52,7.47,7.49,7.34,7.34,7.34,7.34,7.34,5.7,5,4.97,5,5.07,5.01,5.04,:
Türkiye,:,22.1,22,21.9,21.4,21.6,21,20.7,21,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kosovo*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,:,:,0,0,:,:
