,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,0.1,0.09,0.09,0.08,0.09,0.09,0.1,0.1,0.09,0.1,0.1,0.11,0.13,0.12,:
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09,0.08,0.09,0.08,0.09,0.17,0.13,0.12,0.12,0.15,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,:,:,:,:,:,:,:,0.04,0.04,0.06,0.06,0.07,0.07,0.08,0.09,0.11,0.11,0.11,0.12,0.11,0.14,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,1.1,1.04,1.06,1.06,1.06,1.06,1.12,1.15,1.09,1.09,1.07,0.85,1.03,1.02,1.1,0.95,0.83,1.05,1.11,1.05,1.11,1.18,1.09,1.11,:
Spain,:,:,:,:,:,:,:,:,:,:,10.32,10.1,10.74,11.59,12.85,12.42,12.64,13.53,13.46,14.49,15.28,16.04,16.19,15.63,:
France,:,:,:,:,:,:,:,:,:,:,0,0,0,:,:,:,0,0,0,0,0,0,0,0,0
Croatia,:,0,0,0,0,0,0,0,0.04,0.04,0.06,0.07,0.06,0.07,0.13,0.07,0.09,0.12,0.05,0.05,0.09,0.03,0.09,0.06,:
Italy,:,:,:,:,:,:,:,:,:,:,1.49,2.55,2.32,2.57,2.35,2.44,2.37,2.03,1.98,1.92,1.88,1.65,1.59,1.58,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,:,:,:,:,:,:,:,:,1.75,1.52,:,:,:,:,:,:,:,:,:,:,:,:,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,1.4,1.36,1.31,1.24,1.2,1.2,1.32,1.32,1.31,1.5,1.53,1.63,1.65,1.56,:
Austria,:,:,:,:,:,:,:,:,:,:,0.12,0.12,0.12,0.13,0.13,0.12,0.11,0.12,0.13,0.13,0.13,0.13,0.11,0.11,:
Poland,:,:,:,:,:,:,:,:,:,:,0.83,0.8,1.1,1.1,1.7,1.7,1.83,1.91,2.01,2,1.6,1.8,1.4,1.7,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,0.07,0.08,0.07,0.07,0.05,0.06,0.06,0.05,0.05,0.06,0.07,0.06,0.06,:
Romania,0.03,0.01,0.01,0.02,0.05,0.02,0.17,0.12,0.12,0.13,0.17,0.34,0.3,0.31,0.47,0.47,0.49,0.47,0.55,0.55,0.54,0.54,0.57,0.62,:
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,:
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,:,:
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,:,0,:,0,:,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,:,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09,0.1,0.1,0.1,0.1,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.24,0.14,0.14,0.14,:,0.14,0.36,0.13,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,0.05,0.05,0.08,0.09,0.1,:,0.16,0.23,0.3,0.3,0.3,0.4,0.6,0.58,0.51,0.6,:
Serbia,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,1.5,1.72,1.6,1.9,2,2.1,2.54,2.61,:
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,7,7,7,8,8,6,10,9,:,:
Kosovo*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,:,:,:,:,:,:
