,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016.0,2017.0,2018,2019,2020,2021,2022,2023,2024
Belgium,284.77,284.52,250.87,251.48,248.56,251.39,249.84,251.77,264.4,267.28,263.14,262.66,248.5,255.1,253.21,262.58,267.47,269.97,282.4,280.52,285,288.93,276.06,261.56,:
Bulgaria,152.4,142.3,148.3,166.4,117.6,111.9,87.6,154.7,128.2,129.5,119.03,88.93,129.7,95.95,110.96,101.48,133.97,137.1,147.56,141.04,138.93,138.94,126.51,120.2,:
Czechia,717.35,662.25,527.46,505.7,498.46,473.8,454.4,410,400.3,383.1,403.12,411.7,426.71,451.39,454.13,471.87,477.73,463.16,468.6,499.65,506.75,495.29,467.09,464.6,497.81
Denmark,741.2,696.3,714,636.7,589.3,603.4,597,605.1,638.6,672.5,577,578.5,560.4,:,:,499.5,499.0,492.1,504.9,529.1,525.7,499.8,488.3,480.9,:
Germany,1623.1,1580.9,1540.2,1589.3,1719.4,1805,1955.5,2087.5,2261.2,2347.3,2570.97,2813.7,2815.3,2760.3,2857.1,2746.2,2790.5,2753.8,2871.5,2976.2,3093.4,3008.1,2770.6,2758.6,:
Estonia,410.3,307.6,270.8,180,157.6,206.9,172.9,187.7,168.8,146,204.6,175.2,167.4,166.2,162.2,147,177.95,170.76,180.39,179.91,174.85,178.05,179.41,185.41,:
Ireland,130,137.9,137.7,145.24,137.97,129.97,129.21,132.84,132.37,125.69,116.31,118.41,118.31,118.53,116.51,112.53,112.37,113.45,118.24,108.99,105.22,92.73,88.98,101.35,:
Greece,150.38,165.54,168.95,153.53,161.49,155.49,183.92,199.06,162.93,165.02,174.66,177.99,159,205.62,276.41,268.98,309.72,318.06,319.98,317.03,266.72,250.97,272.6,183.1,182.64
Spain,1117.5,1035.2,1022.1,1026.8,1004.3,996.4,1066.7,993.3,928.5,952.9,1009.59,1062.26,1107.71,1099.82,1148.07,1114.46,1130.81,1156.67,1163.97,1240.26,1196.11,1213.04,1403.84,1412.49,1404.92
France,4481.6,4531.5,4449.8,4654.6,4506.2,4490.7,4759.1,:,4460.7,4496.2,5080.81,5111.1,5063.16,5072.42,4964.74,4899.96,4903.42,5008.73,4766.89,4865.95,4141.63,4099.56,4095,4087.74,:
Croatia,92.13,92.25,89.3,91.5,89.28,94.65,100.67,106.09,118.7,121.99,122.58,123.03,119.25,110.51,111.89,104.47,103.83,103.19,94.86,102.39,109.45,107.44,102.8,101.9,:
Italy,2270.8,2225.3,2138.7,2091.2,2036.9,2064.5,:,2037.9,1967.7,1534.9,2110.19,2029.89,:,2611,2555.52,2120.02,2262.19,2371.57,2417.8,2473.11,2462.64,2486.9,2541.36,2564.22,:
Cyprus,30.2,25.3,22,23.8,25.2,30.23,28.9,41.61,34,33.47,32.86,27.48,28.24,29.86,33.81,40.22,40.54,49.31,56.05,48.75,51.87,47.14,50.16,53.12,53.17
Latvia,359.8,313.8,343.5,294.5,315.1,372.2,440.7,443.3,427.2,430.7,400.3,387.4,380,383.6,340.5,338.1,333.0,294.0,300.1,300.7,298.9,295.5,280.4,278.1,:
Lithuania,271.3,235.9,227.4,222.8,265.4,501,485.1,405.6,439.6,510.9,561,591.1,593.1,593.6,570.6,352.05,264.95,228.93,244.17,297.55,291.47,261.73,254.37,268.99,:
Luxembourg,33,26.4,25.3,25.8,26.6,23.7,22.7,23.8,23.5,24.6,25.95,27.07,28.49,27.2,28.34,27.58,28.44,28.79,30.63,29.96,32.03,32.57,29.9,28.82,:
Hungary,910.7,798.6,759.7,345.1,328,301,283.2,317.2,282.4,256.3,270.01,280.41,296.16,297.84,273.04,288.92,352.88,356.16,374.13,401.33,392.59,395.08,410.06,412.29,:
Malta,4.5,4.5,4.5,5.2,4.2,4.6,4.6,4.7,4.7,4.7,5.55,5.55,5.55,5.29,5.29,5.29,5.44,5.44,:,:,:,5.25,5.25,5.25,:
Netherlands,321.9,324.7,329.5,418.9,453.9,448.3,426.6,423.1,439,437.6,418,407.44,430,446,467,474.02,457.43,459.59,435.14,410.72,408.48,404.27,397.7,391.86,:
Austria,205,209.4,218.2,223.9,233.4,242.5,248.8,243.9,238.1,239.7,246.49,244.78,243.98,272.77,245.73,249.86,233.43,226.43,231.88,240.45,242.17,236.08,225.57,228.12,224.81
Poland,786.9,784.7,441.4,639.8,735.4,795.5,955.3,832.1,896.5,895.3,715.3,850.3,894,890.3,941.46,1046.2,1087.0,1037.7,1009.09,959.28,1169.45,1242.78,1494.79,1495.75,:
Portugal,575.98,569.59,563.2,556.8,543.2,529.6,507.78,485.97,490.16,494.36,486.79,479.22,481.34,488.52,478.61,501.39,450.24,489.12,487.7,518.83,493.83,493.43,463.89,463.89,457.45
Romania,1083.3,1011.42,1193.91,1263.14,558.35,825.67,863.75,774.44,831.37,828.59,852.01,878.16,874.37,859.71,859.6,854.16,864.44,875.0,907.54,902.85,887.77,881.06,848.42,872.67,872.89
Slovenia,44.86,49.29,49.41,55.72,56.99,61.59,57.87,59.21,61.45,63.74,62.36,61.18,61.46,65.29,62.71,59.77,61.3,62.7,64.76,63.22,65.7,66.65,68.98,72.3,:
Slovakia,290.4,275.4,255.2,261.2,236.5,240.8,244.5,239.6,232.2,248.5,252.91,268.9,99.88,271.12,267.8,243.29,226.86,225.6,214.64,214.4,205.22,201.03,199.84,185.6,185.52
Finland,672.2,650.5,:,621.6,614.9,615.9,618.4,648.5,648.9,635.1,601.1,719.9,719.7,648.1,646.5,705.3,728.0,780.9,820.9,840.9,845,713.53,688.58,682.84,852.5
Sweden,942.9,966.4,982.3,965.3,967.4,1043,1083.6,1075.5,1108.2,1135.3,1207.6,1202.3,1184.94,1188.36,1183.74,1153.19,1127.2,1119.15,1195.46,1178.95,1152.76,1140.5,1119.73,1157.51,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11,11.0,15.0,18,11,15,17,14.8,14.5,:
Norway,513.8,513.2,512.3,510.1,506.8,501.3,504.5,504.3,501.3,:,:,:,:,:,:,:,484.07,482.26,490.15,493.34,490.08,487.1,:,:,:
Switzerland,:,:,:,:,:,:,162.4,169,170.4,:,178.54,180.85,180.14,:,173.89,171.43,173.33,172.4,172.17,174.54,173.14,170.11,171.2,169.74,:
United Kingdom,1348.4,1362.7,1394.2,1354.5,1400.8,1365.2,1311.7,1360.5,1327,1440.4,1432,1465,:,1624,862,1433,1392.0,1381.0,1413.7,1464.6,:,:,:,:,:
Bosnia and Herzegovina,140.82,133.37,136.94,132.8,130.47,133.43,140.53,138.19,137.2,125.4,128.44,124.78,126.6,122.75,125.17,127.86,129.43,129.7,125.68,129.39,129.18,129.15,43.13,47.65,:
Montenegro,:,:,:,:,:,:,:,0.98,1.03,1.05,0.98,1.69,1.63,1.59,1.67,1.68,1.74,1.73,1.69,1.7,1.68,:,:,:,:
North Macedonia,35,25,23.9,23.7,24,31.07,32,32.8,31.32,33.03,33,32.35,32.71,34.35,34.55,35.52,36.8,37.53,37.75,39.87,39.27,38.89,40.69,39.31,:
Albania,265,164,191,202,194,201,205,210,194,200,202,204,209,:,204.2,207.3,208.6,215.7,217.4,220.1,225,219.7,217.7,214.2,:
Serbia,:,:,:,:,:,:,:,257.18,260.42,255.6,258.02,258.28,273.54,253.26,255.23,250.37,237.1,240.0,230.48,243.48,234.84,228.5,222.65,208.13,:
Türkiye,:,:,:,:,:,:,:,:,:,:,724,1510,1956,1875,1884,1863,1867.0,1809.0,1990,2092,2266,2476,:,:,:
