,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.06,:
Bulgaria,:,21.5,19.5,18.6,19.7,15.1,15.05,16.26,16.4,16.95,7.4,7,5.83,5.89,4.88,6.83,6.71,6.82,7.36,8.02,8.57,9.28,9.4,9.26,:
Czechia,3.5,3.5,0.87,0.87,1.11,1.15,1.27,1.41,1.49,1.59,1.79,1.96,1.98,1.92,1.91,1.87,1.88,1.76,1.82,1.88,1.89,1.94,1.92,1.88,:
Denmark,0,0,0.1,0.1,0.1,0.1,0.1,:,:,:,0.07,0.07,0.08,0.08,0.06,0.06,0.06,0.06,0.07,0.08,0.09,0.1,0.11,0.1,:
Germany,5.44,5.44,5.04,5.04,5.04,5.03,5.06,5.09,5.1,5.09,5.11,5.09,4.36,4.35,4.35,4.34,4.35,4.83,4.82,4.83,4.84,4.85,4.79,4.77,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0.82,0.85,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1.39,1.44,1.5,1.57,1.81,2.05,2.6,2.06,2.2,2.18,2.44,2.15,2.15,2.45,:
Spain,20.4,19.1,15.5,20.4,19.6,21,20.52,20.1,:,:,16.97,17.09,16.6,16.61,17,16.06,15.28,15.2,14.64,14.85,14.41,13.69,13.25,12.64,:
France,18.86,19.12,18.86,19.09,18.87,18.66,18.64,18.58,18.31,18.44,18.32,17.79,17.45,16.95,16.05,14.97,14.81,15.06,14.97,14.83,15.7,15.7,15.09,15.11,:
Croatia,5.95,5.93,5.94,5.86,4.38,3.87,4.23,4.38,4.75,4.88,5.89,5.52,5.54,4.4,4.85,5.12,4.83,4.36,4.28,4.46,3.39,3.49,3.56,4.12,:
Italy,13.6,13.3,14.1,14.2,14,14.5,14.5,14.1,14.5,14,12.77,12.75,12.48,12.41,12.27,11.63,11.57,11.68,11.72,11.94,11.89,11.98,12.04,11.92,:
Cyprus,0,0,0,0,0.27,0.31,0.41,0.48,0.34,0.51,0.51,0.48,0.47,0.51,0.52,0.58,0.45,0.38,0.37,0.38,0.43,0.43,0.42,0.42,:
Latvia,0.8,0.9,0.9,0.8,0.7,1,0.7,0.4,0.2,0.1,:,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.06,0.1,0.1,0.07,0.1,:
Lithuania,:,:,:,0.72,0.7,0.73,1.28,1.05,0.74,0.77,0.72,0.75,0.8,0.82,0.81,0.77,0.73,0.73,0.72,0.74,0.75,0.74,0.73,0.8,:
Luxembourg,0.8,0.8,0.8,0.8,0.8,0.8,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,:
Hungary,:,:,7.3,8.7,8.8,9,9,8.53,8.28,7.76,7.25,7.54,7.6,7.66,7.36,7.22,7.98,7.94,7.92,7.96,7.06,7,7,6.82,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0.26,0.28,0.26,0.28,0.27,0,0,0,0,0.26,0.25,0.26,0.26,0.28,0.27,0.26,0.26,0.26,:
Austria,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.35,0.24,0.24,0.23,0.24,0.24,0.24,0.19,0.18,0.18,0.19,0.2,0.2,0.21,0.21,0.21,0.21,:
Poland,31.7,31.6,26.9,25,25.4,20.8,21.1,22.19,21.13,21.04,17.9,20.2,19.3,16.5,15.3,13.9,13.39,13.31,13.48,13.63,18.7,16.5,16.5,16.9,:
Portugal,1.96,1.99,1.97,1.86,1.8,1.75,1.68,1.64,1.59,1.56,1.57,1.56,1.64,1.68,1.69,1.79,1.8,1.78,1.8,1.83,1.83,1.75,1.64,1.64,:
Romania,95.66,96.02,87.78,94.49,97,93.87,78.94,76.23,75.29,74.69,69.29,68.2,68.48,68.01,66.55,65.67,65.11,66.68,65.91,65.58,67.01,66.73,66.71,67.87,:
Slovenia,0.06,0.06,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.07,0.07,:
Slovakia,0.4,0.6,0.6,0.6,0.5,0.5,0.61,0.59,0.59,0.62,0.62,0.6,0.59,0.64,0.52,0.56,0.58,0.52,0.61,0.61,0.59,0.58,0.59,0.58,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0.13,0.13,0.12,0.11,0.11,0.09,0.09,0.09,0.09,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,0.4,0.4,0.4,0.4,0.4,:,0.4,0.4,0.4,0.4,0.4,0.43,0.44,0.43,0.43,0.43,0.43,0.4,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.33,0.33,0.33,0.33,0.32,0.32,0.3,0.3,0.31,0.31,:
United Kingdom,1.2,1.1,0.9,1,1,1,1,0.9,:,:,1,1,1,1,1,0.7,0.7,0.6,0.62,0.6,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,37.29,36.63,:
Montenegro,:,:,:,:,:,:,:,0.17,0.18,0.18,0.19,0.22,0.23,0.23,0.2,0.23,0.23,0.28,0.28,0.28,0.29,0.3,0.29,:,:
North Macedonia,0.3,0.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,1.4,3.7,1.6,1.8,2.8,:,2.27,2.4,2.5,2.5,2.5,2.6,2.6,2.7,2.7,2.7,:
Serbia,:,:,:,:,:,:,:,81.55,82.41,80.15,80.31,78.66,77.95,77.95,77.95,77.95,77.95,72.02,72.2,72.3,73,72.57,72.32,74.42,:
Türkiye,:,13.1,13.4,13.6,14,14.4,14,15,16,:,:,18,19,20,20,20,21,21,21,21,22,22,22,:,:
Kosovo*,:,:,:,:,:,:,:,1.8,1.4,1.1,1.1,1.1,1.4,1.8,1.4,1.5,1.5,1.5,1.8,2.1,2.2,2.21,2.21,:,:
