,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.21,16.18,16.19,16.14,16.15,16.13,15.8,15.8,15.53,:
Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.38,4.55,4.42,4.64,4.87,4.11,4.39,4.38,4.1,:
Czechia,16.3,12.9,9.56,9.72,9.97,10.01,9.78,9.64,9.62,9.64,9.74,10.08,10.3,9.88,9.84,9.09,8.23,8.06,8,8.12,8.02,7.91,7.81,7.24,:
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.73,1.65,1.58,1.71,1.68,1.68,1.7,1.7,1.75,:
Germany,38.17,38.17,34.59,34.59,34.59,34.59,34.59,33.86,33.86,33.86,33.86,33.86,33.67,33.67,33.67,33.67,33.67,36.21,36.21,36.21,36.21,36.21,35.29,35.29,:
Estonia,:,:,:,:,0.9,1.2,1.1,1.1,0.9,0.9,0.8,0.9,0.7,0.9,0.9,0.6,0.51,0.48,0.6,0.57,0.62,0.73,0.71,0.75,:
Ireland,:,0.59,0.63,0.63,0.63,0.63,0.64,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.64,0.64,0.7,0.7,0.71,0.71,0.71,0.71,0.71,0.71,:
Greece,19.41,18.56,18.4,14.9,14.7,14.5,14.6,16.2,16.2,17.3,18.77,18.23,17.37,17.77,17.23,16.81,14.12,13.68,14.76,14.16,19.8,14.64,15,11.89,:
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,57.54,57.29,56.28,54.89,53.28,52.82,52.62,51.55,49.97,:
France,72.54,70.09,68.63,67.89,66.85,66.24,62.92,62.07,60.88,60.52,59.89,58.51,57.33,56.04,55.53,55.03,54.94,55.56,55.78,55.62,65.33,64.61,64.26,63.65,:
Croatia,5.57,5.81,6.35,7.2,6.39,6.91,7.23,7.39,7.89,8.02,8.01,7.93,7.04,6.15,6.99,6.65,6.82,5.55,5.53,5.8,5.09,5.15,4.25,4.27,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,88.45,88.99,88.78,83.7,81.68,81.43,78.4,77.11,:
Cyprus,:,:,:,:,1.37,1.42,1.43,3.03,1.08,1.34,0.87,0.95,0.96,0.72,0.69,0.69,0.61,0.46,0.45,0.45,0.5,0.51,0.48,0.48,:
Latvia,8.9,9.2,9.1,9,:,9.6,10.2,:,5.5,4.4,3.5,3,2.8,3.1,2.9,2.7,2.8,3.8,3.6,3.97,4.1,4,4.07,5.2,:
Lithuania,32,32.3,30.4,16.97,16.99,18.39,14.04,12.21,10.15,10.15,10.81,11.34,13.16,12.99,12.62,11.83,10.78,10.93,11.27,11.34,11.71,11.39,11.07,11.16,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.28,0.28,0.29,0.29,0.29,0.09,0.11,0.11,0.12,:
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,36.33,35.87,35.54,35.36,35.03,34.24,29.25,28.44,27.04,25.93,:
Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.83,16.8,16.7,16.6,16.51,16.2,16.04,16,15.36,:
Austria,:,:,:,:,:,:,:,:,:,:,6.45,6.45,6.45,7.45,7.21,7.06,7.12,7.12,7.23,7.08,6.97,6.9,6.87,6.85,:
Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,189.6,172.25,169.79,173.45,162.84,158.4,167.5,157.7,156,:
Portugal,33.97,33.06,32.29,31.45,30.18,28.87,27.62,26.38,25.51,24.18,24,24.11,24.74,26.29,26.48,26.94,27.17,26.71,26.19,26.95,26.97,26.47,26.05,26.05,:
Romania,78.52,80.1,80.3,78.86,79.3,88.46,64.61,64.88,60.08,57.94,62.55,58.93,60.82,65.83,61.03,60.06,59.93,60.11,58.31,57.1,56.7,58.24,58.57,59.71,:
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.66,2.62,2.56,2.54,2.48,2.39,2.33,2.26,2.22,:
Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.32,2.26,2.18,1.9,1.74,1.64,1.65,:
Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.66,0.66,0.68,0.68,0.69,0.72,0.67,0.67,0.69,:
Sweden,1.57,1.56,1.59,1.61,1.51,1.59,1.69,1.47,1.6,1.53,1.58,1.46,1.56,1.4,1.42,1.46,1.66,1.51,1.52,1.62,1.55,1.57,1.57,1.59,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.62,4.62,4.61,4.58,4.57,4.5,4.39,:,:,:,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,18,17,18.5,18.1,17.7,17.4,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,21.28,21.59,:
Montenegro,:,:,:,:,:,:,:,0.1,0.1,0.11,0.12,0.18,0.19,0.19,0.17,0.18,0.2,0.26,0.27,0.27,0.27,0.27,0.29,:,:
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.2,5.3,:
Serbia,:,:,:,:,:,:,:,30.7,30.16,31.11,31.43,32.16,32.74,32.74,32.74,32.74,32.74,32.73,32.82,32.97,33.4,34.1,34.3,34.53,:
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,203,206,208,209,209,206,203,204,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.85,3.87,:,:
