,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012.0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,4.8,5.1,5.1,4.6,5.6,5.6,9.6,10.8,8.6,9.7,11.3,12.02,12.6,14.26,12.19,11.27,11.46,10.82,11.31,9.26,8.02,8.19,8.6,11.91,:
Bulgaria,9.5,16.7,6.9,12.7,11.3,11,15.8,:,809.3,917.6,942.55,979.03,915.5,1013.63,1034.14,1015.73,1003.18,1071.02,973.59,970.6,945.57,969.26,1055.79,950.6,:
Czechia,356.2,374.2,340.2,307.4,307.9,316.1,348.9,369.5,385.7,386.4,405.47,409.52,431.69,446.6,415.15,393.94,419.25,431.21,447.23,403.84,393.63,379.98,394.99,426.25,388.13
Denmark,99.1,78.9,84.1,106.6,122,111.7,125.4,179.2,172.1,163.1,166.5,150.5,129.1,177.2,166.1,193.5,163.2,177.6,142.59,165.51,145.94,162.4,197.87,211.18,:
Germany,1103.8,1162.6,1322.7,1302.8,1315,1371,1461,1567.4,1395.6,1494.8,1495.17,1365.4,1342.6,1499.5,1426.1,1315.9,1358.1,1346.1,1271.9,908.2,1019.7,1073.4,1225.3,1292,:
Estonia,28.8,27.5,32.9,46.3,50.4,46.6,62.5,73.6,77.7,82.1,98.2,89,87.1,86.1,80,70.8,70.1,73.79,72.68,72.41,70.93,78.85,86.45,76.49,:
Ireland,2.7,2.4,2.2,2.31,2.23,3.73,5.1,8.18,5.61,6.35,7.98,12.39,17.48,13.69,9.44,8.92,9.87,10.11,10.61,9.24,10.35,11.28,15.78,21.59,:
Greece,19.35,19.52,19.75,19.73,21.06,20.39,21.9,27.4,29.45,39.95,97.83,100.77,85.8,103.07,89.88,112.3,90.65,97.73,86.51,106.2,104.94,97.07,102.72,73.34,76.33
Spain,870.8,882.7,761,791.4,757.8,523.1,628.6,621,742,874,703.92,895.66,782.25,908.61,827.41,811.21,810.13,822.19,771.29,773.59,722.98,724.93,1008.07,887.03,883.13
France,1992.6,1910.8,1727.2,1857.7,1799.9,1935.1,2095.7,2166.9,2072.5,2249.3,2207.23,2338.23,2324.43,2251.47,2236.14,2247.13,2223.94,2134.48,2322.52,1874.76,2077.34,1832.87,2284.62,2326.49,:
Croatia,86.09,77.28,87.77,93.6,79.59,118.13,106.53,80.19,96.79,100.38,99.21,106.5,97.54,105.93,105.1,145.34,155.65,170.9,169.25,155.68,166.85,157.51,164.18,145.57,:
Italy,505.8,467.5,327.2,307.7,277.3,285.7,326,263.9,235,283.2,280.39,302.96,275.24,330.51,360.85,435.67,412.36,452.48,444.9,406,395.75,420.33,472.05,463.6,462.48
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,6.9,8.4,19,26.3,55,71.7,84.2,99.6,85.2,95.5,106.8,117.9,114.9,127,94.4,88,100,112.6,121.8,139.4,147.8,147.4,162.3,148.7,:
Lithuania,55.5,50.7,60,66.6,100.6,109.4,150.8,174.4,161.6,191.9,251.9,251,263.4,260.4,217.2,166.15,155.45,183.4,207.25,243.5,285.63,312.02,350.47,306.17,:
Luxembourg,3.2,3.1,3.5,3.7,4.2,4.1,4.8,5.4,5.2,4.6,4.72,4.67,4.6,4.5,4.15,3.97,3.51,3.27,3.39,2.88,2.78,1.8,2.4,2.92,:
Hungary,436.8,450.3,572.4,612.5,611.8,667.1,712.2,771.2,825.6,827.2,798.5,854.46,820.93,836.89,850.42,904.22,947.38,1073.22,1009.63,922.94,981.25,974.35,950.44,921.5,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0.9,0.7,0.5,1,1.6,2.5,3.7,3.4,2.8,3.1,2.63,2.03,2.0,3,3,:,:,:,:,:,:,:,:,2.59,:
Austria,89.6,92.7,90.8,85.2,82.2,86.9,102.2,95.1,101.3,108.1,113.59,117.81,116.31,122.39,117.19,113.48,107.64,126.99,129.63,126.42,123.78,129.69,146.41,139.07,134.12
Poland,437.5,444,439.6,427.5,541.3,554.8,628.8,800.3,773.8,812.4,949.3,833.1,724.5,923.3,952.5,954.6,832.29,926.84,856.22,885.13,994.66,1016.98,1123.38,1146.17,:
Portugal,51.84,41.52,37.58,36.63,28.37,7.07,7.78,17.62,24.38,21.35,14,22.42,18.03,18.09,15.55,19.93,18.21,13.46,9.49,7.32,6.36,5.59,7.67,5.25,4.95
Romania,1062.19,927.47,1052.61,1333.88,1147.96,1201.82,1292.3,1334.08,1228.73,1234.81,1392.09,1459.71,1252.13,1418.85,1487.64,1507.57,1623.04,1761.53,1809.1,1793.47,1674.61,1709.49,1697.99,1909.97,1997.44
Slovenia,0.17,0.46,2.53,2.86,2.09,2.47,3.2,5.74,4.75,4.72,5.61,5.25,5.65,6.68,6.22,3.57,5.86,6.64,5.44,5.01,5.3,5.12,5.85,6.45,:
Slovakia,169.6,174.7,197.6,198.6,191.8,209.9,245.3,228.3,243.2,261.3,260.84,252.1,218.85,249.91,235.39,238.08,243.15,281.33,268.28,243.17,251.17,273.5,281.2,260.53,272.92
Finland,52.8,73.4,66.1,75.2,82.8,77,108,90.3,64.6,81.1,157.7,91,57.4,52.7,43,55.3,60.5,55.22,53.3,31.5,24.5,34.2,40.87,30.97,41.3
Sweden,47.6,44.8,67.4,58.7,83.7,82,90,87.7,89.5,99.4,110.2,94.81,109.97,125.48,95.99,94.51,92.87,114.24,97.45,105.38,98.2,105.95,127.38,125.6,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.2,0,0,0,0,0.2,0,0.5,0,0.5,:,:
Norway,5.7,10.9,11,7.5,6.9,6.7,6.5,6.2,4.8,:,6,5,5.0,3,4.1,3.5,4.1,2.31,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,25.2,26.1,25.5,:,25.38,25.66,26.79,27.4,28.64,29.72,27.63,27.37,30,30.32,31.04,32.03,33.22,34.68,33.95
United Kingdom,334.4,406.3,358.7,461.2,500.4,521,500.6,601.6,598.1,570,642,705,756.0,715,675,652,579,563,583,529.7,387.86,:,:,:,:
Bosnia and Herzegovina,3.79,2.61,3.34,4.87,3.93,6.3,7.8,7.45,5.31,4.74,5.29,5.11,5.61,5.65,6.46,8.51,9.19,10.1,12.54,13.04,17.08,17.09,17.26,15.96,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,7,6.1,7.5,6.3,6.4,5.5,4.31,3.77,4.9,4.9,6.08,7.72,6.22,5.05,7.23,7.15,4,6.51,2.42,4.64,4.61,5.28,6.34,4.97,:
Albania,2.3,2.2,1.9,1.8,3.1,1.5,1.5,2.3,1.7,1.5,1.6,1.8,1.7,:,0.9,:,:,:,0.6,0.6,0.71,:,:,0.5,:
Serbia,:,:,:,:,:,:,:,314.71,349.5,319.82,351.65,354.88,356.89,357.6,339.44,363.26,396.5,440.4,481.22,479.58,482.55,472.48,515.48,489.56,:
Türkiye,557.1,527.3,574,572,564,574.6,596.9,575,617,:,695,709,667.0,684,724,757,794,828,805,841,800,983,1059,:,:
Kosovo*,:,:,:,:,:,:,:,0,:,:,:,:,0.8,:,:,:,:,:,:,:,:,:,:,:,:
