,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0.03,0.05,0.06,0.04,0.07,0.08,0.09,0.09,0.1,0.12,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.12,:
Bulgaria,:,1.1,1.3,1.2,1.7,2,2.09,1.37,1.4,1.19,1.6,1.6,1.37,1.33,1.19,1.52,1.83,1.86,2.1,2.19,1.83,1.63,1.57,1.57,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.02,0.02,0.02,0.02,:
Denmark,0,0,0,0,0,0,0,:,:,:,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.12,0.11,0.03,0.07,:
Germany,:,:,:,:,:,1.12,1.12,1.12,1.12,1.12,1.13,1.12,1.03,1.07,1.1,1.02,1.01,1.07,1.08,1.03,0.97,1.02,0.93,0.87,:
Estonia,0,0,0,0,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0,0.07,0.09,0.09,0.06,0.1,0.1,0.1,0.11,:
Ireland,0,0.05,0.03,0.04,0.03,0.03,0.04,0.04,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Spain,:,:,:,:,:,:,:,:,:,:,1.03,1.04,1.44,1.35,1.49,1.85,2.12,2.48,2.57,2.49,2.67,2.42,2.25,2.09,:
France,1.32,1.2,1.13,1.07,1,0.91,0.84,0.78,0.74,0.72,0.67,0.66,0.69,0.68,0.68,0.66,0.67,0.67,0.67,0.68,0.62,0.62,0.64,0.65,:
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,0.13,0.11,0.12,0.13,0.11,0.09,0.09,0.13,0.13,0.06,0.09,:
Italy,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,:,0.27,:,0.25,0.32,0.32,0.32,0.34,0.34,0.35,0.36,0.36,0.38,0.35,:,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0.1,0.1,0.2,:,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.26,0.2,:
Lithuania,:,:,:,0.4,0.39,0.42,0.64,0.92,0.77,0.75,0.8,0.84,1.13,1.23,1.42,1.29,1.29,1.42,1.42,1.43,1.42,1.3,1.23,1.23,:
Luxembourg,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Hungary,:,:,1.7,1.8,1.7,1.7,1.5,1.46,1.25,1.15,0.67,0.62,0.65,0.56,0.54,0.54,0.59,0.59,0.57,0.52,0.25,0.24,0.2,0.18,:
