,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Bulgaria,3.6,3.9,4.2,5.6,5.7,4.5,4.5,6.6,7.8,8.3,11.97,11.79,9.9,10.21,11.04,12.41,11.99,10.43,11.0,11.82,12.35,12.05,10.58,11,11
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Greece,20.42,20.33,21.48,24.51,25.92,23.03,23.08,25.77,26.36,27.98,34.02,32.39,30.21,29.1,30.72,32.33,35.14,30.95,30.35,29.86,36.09,34.89,28.78,27.36,28.18
Spain,117,115.6,113.5,118.3,122.6,119,106.5,101.6,95.5,119.2,122.18,122.37,112.82,112.15,110.42,109.29,109.27,107.6,105.01,103.37,102.06,84.68,56.04,54.93,80
France,19.9,19.2,18.5,19,20.2,17.9,17.3,17.3,16.4,24.2,23.55,23.18,22.18,20.51,16.77,16.17,16.71,16.72,13.28,15.1,14.32,12.03,11.76,11.54,11.82
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Italy,220.3,217.6,218.7,218.7,229.7,220.9,226.1,232.5,224.2,238.5,238.46,246.55,235.05,216.02,219.53,227.33,234.13,234.13,217.19,220.03,227.32,227.04,218.42,217.11,210.24
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Hungary,3.2,2.3,2.1,2.6,2.8,2.7,2.4,2.6,2.5,2.7,2,2.71,2.96,2.64,2.4,2.8,2.91,2.77,2.93,2.65,2.99,2.72,2.33,2.33,2.36
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Portugal,23.86,24.94,25.22,25.66,26.62,22.88,25.39,26.9,26.33,28.47,29.12,31.44,31.18,30.18,28.75,29.14,29.15,28.94,29.35,28.83,25.94,29.36,27.26,28.62,27.94
Romania,1.42,1.16,0.47,0.11,1.24,3.92,5.64,8.43,9.92,13.35,12.4,12.67,11.3,11.93,12.72,11.11,9.44,9.13,8.25,7.43,6.0,5.44,3.28,3.3,3.81
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0.0,0.0,0.0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0.0,0.0,0.0,0,0,0,:
Switzerland,:,:,:,:,:,:,:,:,:,0,:,:,0,:,0,0.08,0.08,0.08,0.09,0.09,0.09,0.06,0.06,0.07,0.08
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
North Macedonia,4,2,2,3,2.8,2.39,2.52,2.5,2.59,3.12,4.13,4.5,4.66,4.66,5.17,4.99,5.04,3.27,3.22,3.48,3.18,3.11,3.11,3.16,3.12
Albania,0,0,0,0,0,0,0,0,0,:,:,:,0,:,:,0,:,0,0.0,0.0,0.0,0,0,0,:
