,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,5.6,6.6,7.1,7.7,7,:,6.89,7.44,7.77,8.53,8.52,:,:,:,9.4,9.77,10.95,11.92,12.27,12.53,12.36,13.02,10.96,11.4,:
Bulgaria,:,6.5,7,8.1,7.7,2.8,3.95,2.58,2.46,2.15,:,:,:,:,:,1.89,2.28,3.92,5.79,4.33,3.71,3.21,3.15,3.89,:
Czechia,12.71,10.2,4.24,4.52,5.02,3.32,3.63,3.78,3.3,2.88,3.08,3.41,2.82,2.92,3.48,3.28,3.57,3.76,3.8,3.89,4.34,4.26,4.33,4.94,:
Denmark,2.7,2.7,2.7,3.1,3.2,3.4,3.7,:,:,:,4.58,4.92,:,:,:,4.39,4.42,4.39,4.47,4.45,4.38,4.52,4.12,4.27,:
Germany,25.6,22.2,22.7,23.8,26.6,24.7,27.78,27.49,28.58,28.4,28.49,28.44,29.14,28.81,29.98,29.4,32.1,34.46,34.15,35.97,36.2,39.19,37.55,38.25,:
Estonia,1.7,0.8,0.7,1,0.8,0.6,0.7,0.8,0.6,0.8,0.7,0.9,0.9,0.7,0.8,0.7,0.69,0.72,0.68,0.7,0.75,0.68,0.55,0.54,:
Ireland,1.71,1.76,1.68,1.78,1.78,1.83,1.83,1.82,1.83,1.7,1.7,1.69,1.6,1.6,1.6,1.6,1.82,1.78,1.69,1.87,1.89,1.93,1.89,1.91,:
Greece,14.38,13.05,13.44,13.35,13.47,13.44,11.93,11.64,11.35,8.45,10.23,10.95,10.38,10.21,10.77,9.04,8.48,8.04,6.99,6.02,7.49,7.27,5.39,7.65,:
Spain,56.3,58.6,66.1,59.8,62.9,58.5,54.64,55.04,123.5,39.3,:,:,:,:,:,53.22,58.95,60.78,64.62,67.4,66.13,69.67,66.11,61.1,:
France,44.7,44.4,44.3,43.7,42.2,40.1,39.2,36.2,37.1,:,:,:,:,:,39.28,39.02,41.83,41.38,40.85,43.8,53.62,57.08,53.78,53.48,:
Croatia,1.27,1.42,1.37,1.44,1.35,1.75,1.82,1.74,1.99,1.83,1.55,1.79,1.47,1.82,1.39,1.71,2.12,1.85,1.95,1.89,1.45,1.64,1.37,1.68,:
Italy,35.3,35.2,34.6,33.3,33.5,32.9,33.2,33,33.7,25.9,:,:,:,:,:,53.56,53.38,52.76,52.22,54.42,51.83,51.3,43.54,50.26,:
Cyprus,0,0,0,0,0.4,0.4,0.43,0.41,0.33,0.35,0.35,0.38,0.39,0.34,0.37,0.37,0.33,0.29,0.29,0.29,0.28,0.27,0.29,0.29,:
Latvia,6.3,7.6,6.9,8.2,7.3,7.2,6.9,6.3,5.6,4.9,:,2.1,1.6,1.8,1.5,1.3,1.3,1.4,1.7,1.92,2.2,1.7,1.75,1.9,:
Lithuania,:,:,:,14.11,10.89,9.99,7.77,7.23,6.8,6.85,6.13,6.52,5.66,5.83,5.59,5.11,5.82,5.22,5.99,6.34,6.18,5.97,6.13,6.34,:
Luxembourg,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0,:,:,0.03,0.03,0.03,0.05,0.06,0.06,0.07,0.07,0.1,0.11,0.12,:
Hungary,12.1,13.5,14.4,13.3,12.3,10.4,11.9,8.9,8.59,8.88,7.69,:,:,:,9.44,9.27,9.54,9.43,8.05,8.75,8.38,8.49,7.78,7.78,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,31.3,31.1,32.2,34.8,37.7,33,36.35,37.88,37.59,38.12,40.3,41.91,39.01,40.87,:,43.68,45.24,48,48.16,50.82,49.97,53.58,45.55,46.67,:
Austria,5.2,5.2,5.2,5.4,5.7,5,5.3,5.46,5.65,5.5,5.87,6.37,5.97,6.13,6.37,6.37,6.78,6.93,6.66,6.87,6.9,7.1,7.28,7.24,:
Poland,91.4,86.7,65.7,76.3,98.7,102.5,102.7,84.37,75.4,79.75,87.3,78.8,74.1,76.8,74.4,74.3,77.06,77.19,76.22,75.7,66.3,68.7,64.3,61,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,5.27,5.4,4.96,5.78,5.87,5.58,5.65,4.82,7.04,9.47,10.04,8.27,7.78,:
