,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,0.55,0.51,0.38,0.38,0.38,0.37,0.37,0.39,0.27,0.24,0.22,0.22,0.21,0.2,:
Bulgaria,:,:,:,:,:,:,:,:,:,:,1.5,1.6,1.47,1.44,0.96,1.21,1.14,1.07,1.18,1.33,1.1,1.18,1.11,0.93,:
Czechia,2,2,1.99,2.1,2.29,2.12,1.98,1.89,1.88,1.84,1.81,1.54,1.59,1.49,1.43,1.3,1.26,1.21,1.19,1.26,1.25,1.24,1.21,1.16,:
Denmark,:,:,:,:,:,:,:,:,:,:,1.41,1.4,1.3,1.17,0.97,0.88,0.65,0.52,0.41,0.38,0.43,0.38,0.49,0.44,:
Germany,5.03,5.03,4.23,4.23,4.23,4.23,4.2,3.43,3.41,3.26,2.91,2.86,2.28,2.21,2.17,2.03,2.01,1.92,1.92,1.89,1.87,1.8,1.57,1.53,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,0,0.01,0,:
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0.14,0.14,0.14,0.17,0.17,0.16,0.16,0.13,0.13,0.16,0.11,0.12,0.13,0.13,0.19,0.17,0.16,0.16,0.16,0.14,0.15,0.14,0.14,0.15,:
Spain,:,:,:,:,:,:,:,:,:,:,0.01,0.02,0.05,0.06,0.05,0.1,0.12,0.13,0.13,0.13,0.15,0.16,0.16,0.08,:
France,1.14,1.11,1.14,1.13,1.1,1.11,1.12,1.02,0.99,0.94,0.92,0.87,0.8,0.75,0.78,0.78,0.78,0.78,0.78,0.77,0.69,0.69,0.76,0.76,:
Croatia,1.08,1.1,1.15,1.12,1.18,1.25,1.45,1.63,2.43,2.66,3.01,3.22,2.69,2.3,2.76,2.49,2.46,2.58,2.22,2.17,2.18,2.2,2.05,1.98,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0.09,0.13,0.15,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,:,:,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Lithuania,:,:,:,:,:,:,:,:,:,:,0.68,0.71,0.76,0.77,0.78,0.74,0.71,0.72,0.75,0.75,0.76,0.74,0.73,0.81,:
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,:,:,:,:,:,:,:,:,13.54,13.39,13.25,13.99,13.58,13.06,13.06,13.19,13.29,13.32,13.46,13.63,12.74,12.19,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0.33,0.29,0.27,0.25,0.25,0.24,0.23,0.21,0.19,:
Austria,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,:
Poland,:,:,:,:,:,:,:,:,:,:,33,34,33.7,29.1,29.5,29.6,27.88,27.71,27.97,28.33,24.8,25.3,26,25.3,:
Portugal,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.08,0.08,0.08,0.09,0.09,0.11,0.1,0.1,0.1,0.1,:
Romania,4.81,4.78,5.36,4.54,4.42,4,3.33,3.54,3.51,3.15,3.09,3.1,3.05,3.23,2.8,2.84,2.77,2.75,2.77,2.79,2.74,2.61,2.57,2.76,:
Slovenia,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.04,0.02,0.02,0.02,0.01,0.04,:,0,0,:
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0.2,0.19,0.19,0.17,0.16,0.14,0.14,0.12,0.1,0.1,0.09,0.09,0.07,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.05,0.05,0.03,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,0.05,0.03,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.05,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.1,1.32,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:
Serbia,:,:,:,:,:,:,:,15.39,15.32,15.27,14.92,14.61,13.99,13.99,13.99,13.99,13.99,17.57,18.8,19.1,19.6,19.55,19.88,19.61,:
Türkiye,:,:,:,:,:,:,:,:,:,:,:,22,22,22,22,21,22,22,22,21,21,20,19,:,:
Kosovo*,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.17,0.23,0.23,0.24,0.24,:,:
