,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0.3,0,0,0,0,0,0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.42
Denmark,17.9,7.7,6.2,4.1,1,3.8,2.2,1.1,0.5,0.8,:,:,:,:,:,0.5,0.6,0.85,1.1,0.84,1.02,1.24,1.96,1.14,:
Germany,31.8,22.1,20.6,47.6,16.2,20.9,19,9.6,7.3,6.8,3.87,21.2,6.7,5.6,2.3,3.7,3,4,3.9,4,3.3,3.8,6.7,3.4,16.1
Estonia,28.8,27.3,31.6,45.4,48.4,45.4,61.6,70,70.4,76.4,85.9,77.9,65.7,61.8,44.7,32,44.69,38.98,44.56,20.97,13.61,11.91,8.77,6.29,:
Ireland,:,:,:,:,:,:,:,:,1.68,2.78,4.64,3.83,2.69,4.72,1.91,1.32,2.04,2.06,1.64,0.52,1.62,1.2,1.25,0.84,1.14
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.16,7.42,8.19,8.34,10.79,8.01,10.21,12.81,10.59,10.97
France,10.1,10.8,7.8,11.3,8,4.9,5.8,3.2,4.8,3.4,5.8,:,:,:,:,1.43,1.49,2.1,1.87,2.25,2.55,1.41,1.45,1.41,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.14,0,0.04,0,0,0,0,0,0,0.35
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,4.2,4.9,10.3,22.8,39.2,48.5,56.3,48.8,33.8,32.5,40.7,75,51.4,49.2,44.8,20.1,25.1,23,48.3,24.6,17.6,13,24.6,9.7,22.3
Lithuania,50.1,38.5,39,58.6,76.4,80.5,124.4,106.4,95.9,85.4,162.6,226.8,182.9,142.4,110.9,40.4,29.8,23.44,61.92,20.1,11.29,17.32,15.19,6.84,13.2
Luxembourg,0.1,0.1,0,0,0,0.1,0,0,0,0,0,:,:,:,:,0,0.04,0.04,0,0.02,0.03,0.04,0.03,0,:
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.7,0,0,1.39,1.62,0.6,0.2,0.12,0.15,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,:,0,0,0.5,0.51,0,0,0,0.31,0.16
