,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Bulgaria,:,:,:,:,:,:,:,:,721.7,683.7,729.88,747.13,780.8,878.64,843.64,810.84,817.51,898.84,788.66,815.56,821.92,836.47,916.96,867,849
Czechia,30.5,28.5,24.2,48.7,39.4,39.6,47.1,24.4,24.5,25.6,27.17,28.55,24.63,21.28,18.61,15.45,15.65,21.6,20.2,11.83,11.27,17.98,22.49,19.8,16.42
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Germany,25.8,24.6,26.1,37.2,31.6,27.1,32,19.2,24.9,23.6,24.97,26.8,26.4,21.9,20,18.4,16.7,18.0,19.5,22.5,28.2,38.3,85.6,68.9,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0,0.0,0.0,0.01,0.01,0.03,0.03,0.02,0
Greece,17.13,16.86,16.24,15.55,14.92,13.82,10.17,14.58,14.73,23.5,80.64,98.52,85.27,98.46,87.81,107.23,85.1,90.61,82.5,100.72,97.71,90.57,92.96,66.99,70.75
Spain,838.9,861.2,753.6,786.8,752.2,517.3,622.5,600.9,730.8,851.1,682.52,862.87,753.02,865.56,783.43,738.85,717.67,724.63,691.28,701.77,650.05,631.16,876.67,777.14,769.37
France,728.6,707.6,616,694.4,615.9,646.2,644.8,518.6,629.5,724.8,692.27,740.72,679.97,770.85,657.29,618.78,536.96,586.23,552.07,603.92,777.34,698.36,870.56,823.28,818.97
Croatia,25.72,25.34,26.84,28.21,28.33,49.77,35.31,20.62,38.63,27.37,26.41,30.04,33.53,40.81,34.87,34.49,40.25,37.15,37.13,35.98,39.0,40.97,51.11,59.14,62
Italy,216.9,207.8,165.6,150.8,124,129.9,144.6,126.5,114.6,123.8,100.48,118.07,111.68,127.63,111.35,114.45,110.72,114.45,103.87,118.52,122.77,116.99,110.82,122.46,122.46
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Luxembourg,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.11,0.14,0.34,0.29,:
Hungary,298.8,320,418,511.2,479.8,511.1,534.2,512.9,549.8,535.1,501.51,579.55,615.1,596.89,593.73,611.64,629.68,694.54,616.95,564.11,612.57,654.69,679.6,674.18,679.6
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Netherlands,0,0,0,0,0,0.4,0.4,0,0.4,0.4,0,0,0,0,0,0.0,0.64,0.8,0.75,0.79,0.6,0.74,0.7,0.55,0.68
Austria,22.3,20.3,21.4,25.7,29,30.2,34.6,26.4,26.8,25.9,25.41,26.05,23.36,21.81,20.54,19.06,18.19,22.02,21.5,21.25,23.48,24.68,24.29,24.07,22.68
Poland,0.7,0.8,0.6,0.8,2.8,4.3,4.6,3.2,2.6,2.3,3,2.8,3.3,2.6,1.36,1.3,2.0,3.24,5.67,2.0,7.55,14.36,26.98,25.54,23.59
Portugal,51.84,41.52,37.58,36.63,28.37,7.07,7.78,17.62,24.38,21.35,14,22.42,18.03,18.09,15.55,19.93,18.21,13.46,9.49,7.32,6.36,5.59,7.67,5.25,4.95
Romania,876.81,800.28,906.22,1188.04,976.96,970.95,991.36,835.92,813.89,766.08,790.81,994.98,1067.05,1074.58,1001.02,1011.53,1039.82,998.42,1006.99,1282.7,1142.84,1123.96,1093.27,1089.09,1271.37
Slovenia,0.02,0.02,0.03,0.11,0.06,0.04,0.16,0.25,0.26,0.23,0.2,0.37,0.37,0,0.25,0.23,0.24,0.3,0.29,0.33,0.35,0.42,0.58,0.61,:
Slovakia,69.8,63,63.3,133.2,90.8,91.8,109.1,65.2,74.9,84,82.87,88.7,90.12,84.13,76.59,75.41,83.79,87.35,68.8,48.55,53.55,73.36,73.13,61.8,63.97
Finland,0.3,0.3,0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Sweden,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,:
Switzerland,:,:,:,:,:,:,5.3,4.9,4.2,:,3.56,3.29,3.55,3.8,3.96,4.57,4.88,5.26,5.39,5.9,4.5,4.82,5.24,6.34,6.5
United Kingdom,2,0.5,0.8,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:
Bosnia and Herzegovina,0.17,0.2,0.2,0.16,0.24,0.22,0.36,0.23,0.25,0.21,0.46,0.29,0.38,0.28,0.37,0.46,0.4,0.33,0.3,0.51,0.58,0.62,0.72,0.72,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
North Macedonia,6,6,6.5,5.4,5.2,5.04,3.71,3.51,4.65,4.14,4.03,5.69,3.75,2.46,5.11,5.54,3.9,4.02,2.35,4.61,4.56,5.05,6.18,4.76,5.4
Albania,1.9,1.8,1.7,1.4,2.8,1.1,1.3,2.1,1.4,1.2,1.3,1.5,1.4,:,0.7,0.7,0.7,0.5,0.37,0.4,0.54,0.4,0.3,0.3,:
Serbia,:,:,:,:,:,:,:,154.79,187.82,157.34,169.38,174.27,185.92,188.19,175.37,166.19,200.0,219.3,239.15,219.4,221.15,212.74,251.16,240.52,248.61
Türkiye,542,510,548,545,550,566,585,555,580,:,641,656,605,610,657,685.0,720.0,780.0,734.0,754.0,729.0,901,982,:,:
Kosovo*,:,:,:,:,:,:,:,0,0,0,0,0,0.8,0.4,0.4,0.2,0.2,0.1,0.03,0.1,0.14,0.15,0.15,:,:
