,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.94,0.95,1.02,0.87,0.9,0.89,0.91,0.92,0.94,:
Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.06,8.46,8.99,10.05,10.84,10.63,10.75,10.8,9.65,:
Czechia,3.5,3.5,0.9,0.88,0.9,0.84,0.91,0.93,0.91,0.97,0.95,1.07,1.1,1.05,1.02,0.98,0.92,0.91,0.88,0.9,0.9,0.88,0.86,0.84,:
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.27,0.14,0.14,0.14,0.15,0.19,0.18,0.19,0.17,:
Germany,6.07,6.07,5.5,5.5,5.5,5.53,5.56,5.44,5.45,5.44,5.39,5.34,5.18,5.21,5.19,5.18,5.13,6.04,6.03,6.05,6.02,6.02,5.74,5.69,:
Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Ireland,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,8.81,8.73,8.7,10.7,10.6,10.3,10.3,8.2,8.22,10.4,9.77,9.8,10.4,11.75,13.42,14.46,15.41,15.66,16.05,16.1,20.55,16.79,16.83,18.78,:
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,26.4,26.82,27.47,27.37,27.47,27.76,29.45,29.31,28.34,:
France,10.56,10.53,10.55,10.52,10.48,10.4,10.01,9.65,9.35,8.9,8.54,8.13,7.8,7.51,7.44,7.38,7.36,7.23,7.35,7.26,6.82,6.81,6.78,6.68,:
Croatia,0.5,0.5,0.51,0.51,0.57,0.64,0.7,0.7,0.84,0.85,0.9,0.6,0.83,0.88,0.79,0.86,0.97,0.95,0.72,0.68,0.94,1,0.91,0.87,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,29.27,29.16,29.21,29.01,27.98,28.61,28.36,:
Cyprus,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Lithuania,:,:,:,:,:,:,:,:,:,:,0.09,0.07,0.05,0.04,0.05,0.04,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,:
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.48,2.58,2.43,2.46,2.59,2.61,3.16,3.16,3.08,2.98,:
Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.51,0.53,0.54,0.55,0.53,0.55,0.55,0.55,0.55,:
Austria,:,:,:,:,:,:,:,:,:,:,0.23,0.24,0.24,0.23,0.22,0.21,0.22,0.22,0.28,0.28,0.28,0.27,0.27,0.27,:
Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.5,8.93,8.73,8.94,8.97,10.4,9.7,9.9,9.6,:
Portugal,5.64,5.61,5.59,5.54,5.51,5.49,5.48,5.5,5.52,5.61,5.61,5.62,5.74,6.02,6.04,6.29,6.35,6.22,6.06,6.39,6.39,6.31,6.28,6.28,:
Romania,5.64,5.61,6.29,5.33,5.19,4.7,3.91,4.15,4.12,3.7,3.84,3.75,3.78,3.85,3.65,3.47,3.35,3.28,4.29,3.3,3.2,3.51,3.31,3.86,:
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.17,0.18,0.19,0.2,0.2,0.21,0.21,0.22,0.22,:
Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.15,0.16,0.17,0.19,0.19,:,:,0.16,:,:
Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.16,:,:,0.14,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0.6,0.6,:,0.6,0.52,:,:,:,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1,0.7,0,:,:,:,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.48,3.34,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Serbia,:,:,:,:,:,:,:,3.56,3.56,3.56,3.67,3.73,3.71,3.71,3.71,3.71,3.71,4.61,4.2,4.3,4.4,4.45,4.52,4.44,:
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,81,85,85,84,83,83,82,80,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.11,0.11,0.11,:,:
