,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,114.73,96.73,77.04,76.28,77.29,81.41,81.7,80.6,80.48,79.67,79.35,80.35,71.3,70.7,68.04,80.89,90.45,90.95,93.15,95.79,93.94,95.47,91.16,85.47,:
Bulgaria,6.3,5.5,4,3.5,1.6,0.2,0.2,3.4,39.2,1.2,1.06,0.38,0.9,0.62,0.1,0.86,0.91,0.99,2.76,1.07,1.13,1.68,1.98,1,:
Czechia,:,:,:,:,:,:,:,:,:,:,:,41.26,40.34,40.21,33.8,37.89,36.44,34.26,33.18,37.5,44.59,43.66,39.54,47.34,53.85
Denmark,246.7,242,219.6,213.8,200.6,265.5,276.9,270,307.7,322.1,332.9,333.9,319,:,320.1,257.2,257.2,276.2,270,285.7,286.6,277.7,273.5,257,:
Germany,216.1,206.5,190.5,188.2,208.6,279.4,321.3,328.7,392.5,400.5,386.85,397.5,386.5,360.3,347.1,267.8,279.3,275.5,291.4,316.5,316.1,322.8,298.3,283.5,:
Estonia,332.2,242,209.8,132.1,101,138.8,101.8,108,82.1,61.5,122.4,60,47.7,123.5,117.8,104.9,121.66,114.34,124.58,127.03,124.63,121.7,117.88,111.52,:
Ireland,89.6,91.6,95.8,97.13,99.45,90.2,89.48,89.15,102.9,95.9,87.85,95.31,101.28,98.61,98.29,94.53,96.12,96.86,95.09,87.23,85.36,74.31,65.68,68.21,:
Greece,79.46,97.46,99.13,90.55,100.86,96.29,126.39,149.58,115.66,113.35,118.58,114.44,105.25,111.08,121.85,111.12,109.83,101.26,111.14,109.1,115.14,118.86,129.27,115.57,116.2
Spain,267.1,259,297.9,294.6,274.5,274.5,353.5,291.7,287.5,280.3,263.24,279.18,276.78,278.08,278.26,274.64,289.47,287.4,292.36,287.69,297.16,256.43,401.37,401.37,401.37
France,2643,2621.4,2605.1,2648.7,2668.3,2681.1,2742.9,:,2810.5,2806.2,3158.37,3194.39,3195.91,3147.8,3095.16,2895.8,2914.44,2967,2649.99,2662.57,1832.14,1845.98,1815.74,1810.35,:
Croatia,30.96,30.62,30.15,30,28.47,28.85,31.44,34.37,35.53,38.75,38.69,37.93,38.7,27.43,21.23,20.08,18.66,23.98,20.19,22.02,26.21,28.68,26.46,24.33,:
Italy,:,:,:,:,:,:,:,:,:,:,1123.79,:,:,252.9,719.78,715.76,807.19,843.04,854.62,873.61,834.71,874.6,872.26,901.26,:
Cyprus,:,:,:,3.7,1.26,1.48,1.45,0.81,1.7,0.4,0.39,0.33,0.33,0.33,0.38,0.31,0.43,0.18,0.24,0.17,0.54,0.56,0.48,0.45,0.5
Latvia,347.2,304.4,335.1,282.9,302.3,360.6,425.8,421.1,413.1,413.7,387.3,370.8,351.4,:,:,287.1,275.2,240.9,253,242.9,241.4,233.9,233.3,224.7,:
Lithuania,:,71,69.2,71.4,126.9,245.6,246,239,235.6,359.4,489.9,514.1,513.9,511,478.6,265.62,189.98,148.97,145.98,185.86,184.28,149.29,145.36,147.98,:
Luxembourg,14.2,14.62,13.84,13.95,14.08,11.73,11.3,11.92,11.36,11.65,11.88,12.71,13.65,12.53,12.69,11.65,11.59,11.86,12.91,12.45,13.08,13.15,12.45,12.13,:
Hungary,548.1,466,434.4,12.2,20.7,19.1,14.1,12.5,12.4,11.8,15.52,14.86,12.84,13.44,13.28,18.82,26.6,27.42,51.75,55.94,58.53,56.92,65.75,70.28,:
