,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016.0,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,11.1,:,0.06,0,0.1,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,:
Bulgaria,:,:,:,:,:,:,:,:,25.3,:,24.51,21.7,18.2,20.4,17.31,13.36,9.96,7.72,5.81,3.54,3.19,3.78,2.42,2,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Germany,4.4,4.2,4.8,4.6,4.4,4.6,3.3,3.2,3.3,3.3,2.36,:,:,:,:,:,2.0,:,:,:,1.5,:,:,:,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Greece,56.92,54.84,53.64,53.16,50.12,50.06,33.08,15.9,15.69,15.62,15.58,14.8,15.69,19.71,21.77,19.41,18.28,16.99,16.1,14.25,12.24,10.76,8.07,7.1,7.3
Spain,14.1,13,13.6,13.7,13.2,13.2,10.1,10,9.8,10.1,10.53,10.17,9.66,9.69,10.22,9.02,8.95,8.76,8.51,8.67,8.17,7.89,6.02,5.79,5.79
France,9.3,8.9,8.9,8.8,8.4,8.4,7.3,6.8,6.2,6.6,7.08,5.99,5,4.36,4.26,3.69,3.33,2.88,2.62,2.05,1.63,1.31,1.17,1.04,:
Croatia,5.68,5.5,5.49,5.75,5.39,5.13,4.94,6.01,5.9,6.06,4.12,5.91,5.96,5.17,5.2,4.75,4.41,4.56,3.83,3.94,3.42,3.49,3.04,2.28,:
Italy,38.8,38.8,37.7,37.7,33.8,:,:,:,:,:,27.81,22.43,14.78,16.04,18.44,15.2,15.72,16.24,15.69,14.43,13.38,12.86,10.97,10.21,9.78
Cyprus,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
