,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,0.48,0.47,0.48,0.52,0.51,0.51,0.51,0.52,0.55,0.57,0.62,0.63,0.64,0.63,:
Bulgaria,:,:,:,:,:,:,:,:,:,:,:,3.4,2.65,2.82,2.8,2.55,3.8,3.41,3.21,:,2.28,2.28,2.21,2.11,:
Czechia,1.98,1.55,0.43,0.46,0.47,0.48,0.41,0.43,0.3,0.44,0.39,0.41,0.38,0.31,0.28,0.2,0.34,0.24,0.3,0.16,0.26,0.26,0.13,0.12,:
Denmark,:,:,:,:,:,:,:,:,:,:,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,:
Germany,:,:,:,:,:,:,:,:,:,:,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.37,0.4,0.39,0.38,0.4,0.38,0.37,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0.01,0.01,0,:
Ireland,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,:
Greece,26.19,26.21,25.92,24.64,24.99,21,20.3,18.77,17.52,19.04,17.01,12.54,11.62,12.04,12,9.31,8.86,8.59,11.6,10.51,11.26,8.12,5.35,11.19,:
Spain,:,:,:,:,:,:,:,:,:,:,26.53,25.29,25.74,26.29,27.05,25.3,27.65,26.23,24.99,23.26,22.07,22.01,21.2,21.2,:
France,:,:,:,:,:,:,:,:,:,:,0,4.04,3.25,:,3.38,3.27,3.41,4.78,3.12,3.02,3.64,3.49,3.47,3.44,:
Croatia,0,0,0,0,0,0,0,0,0.18,0.19,0.19,0.25,0.14,0.3,0.14,0.17,0.2,0.15,0.14,0.11,0.22,0.15,0.22,0.21,:
Italy,:,:,:,:,:,:,:,:,:,:,24.31,19.45,16.33,19.38,18.42,19.42,19.54,18.44,18.76,18.77,18.73,24.82,23.47,24.33,:
Cyprus,:,:,:,:,0.35,0.34,0.34,0.32,0.33,0.23,0.21,0.2,0.2,0.21,0.21,0.27,0.22,0.26,0.29,0.28,0.24,0.25,0.27,0.28,:
Latvia,0,0.1,0.2,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0.89,0.81,0.64,0.44,0.23,0.32,0.21,0.27,0.24,0.45,0.71,0.63,0.58,0.59,0.54,0.49,0.57,0.55,0.57,0.56,0.68,0.72,0.72,0.71,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.02,1.2,:,:,:,:,:,:,:,:,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,1.68,1.7,1.69,1.77,1.78,1.76,1.78,1.79,1.79,1.8,1.87,1.85,1.82,1.77,:
Austria,:,:,:,:,:,:,:,:,:,:,0.18,0.19,0.18,0.18,0.19,0.19,0.18,0.18,0.2,0.2,0.2,0.2,0.2,0.2,:
Poland,:,:,:,:,:,:,:,:,:,:,:,5.7,5.6,4.9,8.6,8.7,7.39,7.53,8.14,8.3,4.8,4.9,5.3,6.7,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,1.39,1.52,1.63,1.25,1.45,1.38,1.32,1.37,1.15,1.72,1.78,1.39,1.25,:
Romania,25.8,24.7,26.56,28.03,28.86,21.95,31.44,26.01,30.28,27.6,28.48,31.64,29.75,28.07,24.43,24.84,22.71,22.21,22.97,23.78,17.47,18.13,17.17,17.45,:
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.19,0.21,0.2,0.19,0.22,0.26,0.21,0.22,0.18,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.27,0.25,0.28,0.27,0.29,0.31,0.05,0.05,:,0.04,:
Finland,:,:,:,:,:,:,:,:,:,:,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.09,0.09,0.08,:
Sweden,0.05,0.05,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,:,:,:,:,:,:
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0.04,0.03,0.04,0.04,0.04,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,:,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.23,2.27,:
Montenegro,:,:,:,:,:,:,:,0.19,0.2,0.19,0.2,0.07,0.07,0.07,0.07,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.8,0,0,:,:,:,:,:
Serbia,:,:,:,:,:,:,:,9.74,9.56,9.4,9.5,9.58,9.16,8.72,9.16,8.87,10.07,0,8.6,7.9,7.3,7.59,7.86,7.78,:
Türkiye,:,:,:,:,:,:,:,:,:,:,:,124,128,:,:,:,:,:,:,:,:,:,:,:,:
Kosovo*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,0,:,:,:,:,:,:
