,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.1,0.1,0.14,0.16,0.16,:
Bulgaria,:,11.4,11.5,10.4,8.7,8.5,8.35,8.94,8.9,7.59,5.2,5.2,2.63,3.69,2.78,5.06,6.28,5.05,6.18,6.36,7.1,8.07,8.33,7.51,:
Czechia,2,2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.17,0.2,0.19,0.13,0.18,0.19,0.17,0.13,0.16,0.13,0.14,0.13,:
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Germany,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.29,0.29,0.29,0.29,0.73,0.73,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,7.33,7.34,7.3,12.4,12.4,12.5,12.5,13.7,13.7,8.1,10.52,10.98,10.87,10.87,12.13,11.95,12.04,13.19,15.27,14.82,20.27,16.58,17.1,14.94,:
Spain,:,4.3,5.5,5.5,6,5.8,6.13,7.15,9.5,:,7.96,8.36,7.95,7.81,8.11,8.93,9.63,10.37,11,11.44,12.29,12.78,12.71,13.23,:
France,14.54,14.64,14.89,15.33,16.09,16.51,16.9,17.23,17.53,18.12,18.86,18.81,18.86,19.37,19.71,20.9,21.36,21.63,22.17,25.88,27.18,26.85,26.9,26.87,:
Croatia,5.2,5.23,5.28,5.18,5.58,5.99,6.2,6.33,6.95,7.06,4.03,4.4,3.75,2.8,4.36,4.51,5.4,5.55,6.7,7.21,8.11,8.42,8.91,8.05,:
Italy,0,0,0,0,0,0,0,0,:,:,0,:,:,:,:,:,4.54,4.35,4.5,4.67,4.93,5.39,5.44,6.13,:
