,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,4.5,0,0,0,0,0,0,0,0,0,10.24,11,12.61,0,0,11.27,11.45,10.82,11.31,9.26,8.02,8.19,8.6,11.91,:
Bulgaria,9.5,16.7,6.9,12.7,11.3,11,15.8,54,87.5,108.4,211.95,231.31,134.5,134.66,190.19,170.42,171.51,160.65,182.62,151.17,119.14,130.81,129.33,80,74
Czechia,323.8,343,313,251,259.5,267.2,292.2,337.6,356.9,354.8,368.82,373.39,401.32,418.81,389.3,366.18,392.99,394.26,411.8,379.78,368.21,342.32,343.96,379.63,342.96
Denmark,81.2,71.2,77.9,102.4,121,107.9,123.2,178.1,171.6,162.3,165.2,148.7,127.5,175.5,164.9,193,162.5,176.75,141.49,164.67,144.93,161.16,195.91,210.04,200
Germany,1046.2,1115.9,1276,1218.1,1267.2,1323.1,1409.9,1538.6,1363.4,1464.4,1457.33,1307.4,1299.5,1460,1391.9,1281.8,1322.7,1304.9,1224.4,852.8,954.4,997.1,1081.5,1174.8,1106.1
Estonia,0,0.2,1.3,0.9,2,1.2,0.9,3.6,7.3,5.7,12.3,11.1,21.4,24.3,35.3,38.8,25.42,34.81,28.12,51.44,57.31,66.93,77.68,70.2,:
Ireland,:,:,:,:,:,:,:,:,3.94,3.57,3.34,8.56,14.78,8.97,7.53,7.6,7.84,8.04,8.96,8.72,8.72,10.05,14.5,20.72,15.09
Greece,2.12,2.51,3.39,3.84,6,6.45,11.56,12.64,14.61,14.6,15.27,2.11,0.44,3.39,0.9,3.12,4.01,5.66,3.39,4.45,6.24,5.69,8.48,5.02,4.36
Spain,:,:,:,:,:,:,:,:,:,:,20.63,31.63,25.06,38.58,38.35,62.88,84.04,87.69,70.19,59.47,63.46,81.99,117.25,96.89,100.39
France,1176.2,1071.5,1028.6,1071.3,1117.4,1226.6,1399.8,1612.6,1416.4,1477.3,1458.99,1551.68,1603.56,1428.62,1500.93,1504.39,1548.97,1404.33,1614.72,1104.8,1110.38,978.72,1228.7,1343.71,1330.14
Croatia,12.89,10.32,13.04,15.52,14.28,20.15,8.41,13.07,22.37,28.72,16.34,17.56,9.89,17.97,23.12,21.98,36.78,48.62,55.03,41.36,41.66,30.28,22.4,15.08,15.9
Italy,:,:,:,:,:,:,:,:,12.5,0,20.22,18.83,10.3,18.6,16.44,12.11,13.59,15.58,14.44,14.15,16.85,17.84,18.7,30.42,28.94
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,2.7,3.5,8.7,3.5,15.8,23.2,27.9,50.8,61.4,63,66.1,42.9,63.5,77.8,49.6,67.9,74.9,89.6,73.5,114.8,130.2,134.4,137.7,139,100.1
Lithuania,5.4,12.2,21,8,24.2,28.9,26.4,68,65.7,106.5,89.3,23.4,77.9,116.6,104.2,123.13,123.81,157.5,143.41,221.6,272.27,293.16,333.24,298.1,301.1
Luxembourg,3.2,3,3.5,3.6,4.2,4,4.8,5.4,5.2,4.6,4.7,4.63,4.57,4.47,4.14,3.97,3.46,3.22,3.39,2.87,2.63,1.61,2.02,2.6,:
Hungary,:,:,:,:,:,:,:,222.6,245.3,258.5,257.73,232.35,163.72,196,212.84,219.98,256.68,303.01,329.17,298.98,309.41,257.33,204.45,188.79,174.21
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0.9,0.7,0.5,1,1.6,2.1,3.3,3.4,2.2,2.5,2.63,2.01,2,3,3,2.27,1.6,1.94,1.51,1.27,0,1,1.5,1.73,1.3
Austria,51.3,55.8,55,43.4,35,35,42.3,48.2,55.8,56.8,53.67,53.39,55.65,58.4,52.73,37.38,39.66,40.5,40.5,35.97,31.8,28.27,28.38,26.55,23.73
Poland,371.6,412.8,401.4,345.5,493.5,516.8,581.4,768.7,748.5,787.5,917.6,777.4,635.3,900.8,856.03,884.2,734.8,879.12,812.71,847.98,967.38,975.72,1055.9,1086.13,1066.35
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,68.41,82.4,74.61,17.07,43.06,83.69,96.46,345.29,354.73,406.11,523.4,380.47,97.02,267.36,392.56,359.51,444.95,582.03,619.42,343.39,347.15,430.49,454.29,654.6,568.72
