,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019.0,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0.16,0.25,0.1,0.5,0,0,0,1,0.44,0.42,0.84,0.71,1.29,0.72,0.47,0.83,0.96,0.62,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.0,0.0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Greece,57.33,50.51,48.5,46.5,48.2,47,41.1,36.4,34.5,33.4,32.93,29.79,28.99,22.02,22.78,24.51,29.18,22.14,26.71,21.95,28.24,26.79,39.68,17.95,:
Spain,223.3,254.6,252,214.4,86.6,217.9,312.7,187.66,173.7,276.1,222.22,208.75,211.74,143.08,195.7,211.08,198.77,243.88,339.03,340.42,416.95,365.21,245.99,297.66,:
France,1.87,1.51,2.03,2.27,2.37,2.36,2.03,1.33,0.86,0.88,0.71,0.64,0.99,0.63,1.07,0.79,1.14,1.03,1.13,1.13,2.06,1.94,2.52,2.11,:
Croatia,2.36,2.15,2.18,1.3,1.09,0.78,0.57,0.54,0.65,1.49,0.14,0.14,0.16,0.07,0.07,0.05,0.16,0.04,0.06,0.25,0.78,0.07,0.13,0.16,:
Italy,104.8,104.3,104.9,91.4,105.2,118.3,112.8,112.6,118.7,113.7,85.47,104.79,92.55,72.58,74.02,70.4,74.58,79.6,79.8,77.3,80.52,71.62,74.59,77.68,:
Cyprus,0,0,0,0,0.69,0.91,0.66,0.67,0.43,0.33,0.51,0.95,0.19,0.42,0.35,0.37,0.28,0.26,0.35,0.34,0.47,0.36,0.42,0.42,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Hungary,0.7,0.2,0.2,0.3,0.3,0.3,0.3,0.18,0.16,0.14,0.11,0.1,0.08,0.13,0.14,0.15,0.1,0.1,0.11,0.13,0.13,0.19,0.41,0.45,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Portugal,16.74,14.27,17.76,13.82,12.14,11.74,10.36,9.16,7.37,9.15,7.01,7.68,7.18,4.45,9.03,10.09,8.71,23.05,17.12,32.3,31.61,41.45,46.22,53.15,:
