,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,2.95,2.97,3.21,3.22,0,0,0,0,3.08,3.48,3.95,4.04,4.9,5.1,5.4,5.46,5.56,4.83,:
Bulgaria,0,0,0,0,0,0,5.92,3.98,3.9,4.44,0,0,0,0,0,8.18,9.47,8.45,8.54,8.81,8.18,7.72,8.18,7.55,:
Czechia,24.91,21.41,3.17,4.06,3.89,3.54,2.88,3.25,3.73,2.52,2.04,1.68,2.47,2.2,1.85,2.91,1.8,1.63,2,1.11,1.61,1.32,1.16,1.78,:
Denmark,7.1,8.2,7.1,10.5,8.2,11.5,10.1,:,:,:,13.74,13.93,:,:,:,8.39,4.11,3.94,2.49,2.31,2.37,2.03,2.64,2.4,:
Germany,:,:,:,:,:,:,24.72,21.09,20.21,27.08,25.44,20.97,27.96,32.61,35.58,37.45,36.1,40.08,43.02,39.33,35.83,45.56,43.04,41.43,:
Estonia,3.7,1,0.3,0.5,0.4,0.8,0.4,0.3,0.6,0.7,0.9,1,0.6,0.6,0.7,1,0.85,0.83,2.12,0.91,1.29,0.9,2.81,0.72,:
Ireland,0,2,1.82,2.12,1.05,1.18,1.21,1.19,0.83,0.83,0.83,0.71,0.67,0.9,0.54,0.54,0.56,0.57,0.5,0.47,0.42,0.42,0.58,0.43,:
Greece,0,0,0,0,0.06,0,0,0,0,0,0,0,0.15,0.04,0.22,0.29,0.32,0.3,0.36,0.41,0.6,0.99,0.95,0.6,:
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,39.15,46.96,82.9,91.17,117.92,101.58,113.4,118.92,93.6,:
France,18.25,18.12,18.98,19.64,18.89,18,15.29,14.23,14.98,18.82,16.81,15.29,12.99,14.99,16.46,15.28,12.08,14.32,15.91,16.19,15.2,15.14,15.93,18.83,:
Croatia,:,:,:,:,:,:,:,:,:,0.86,0.82,1.19,0.32,0.98,0.48,1.76,0.78,1.42,2.05,1.7,5.07,1.83,2.66,3.24,:
Italy,79.3,67.4,69.3,74.8,73.9,84.3,70,72.6,89.8,:,:,:,:,:,:,:,8.45,3.45,2.23,9.63,11.33,14.38,14.79,:,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,3.6,4.5,3.8,3.6,4.8,6.8,5.6,2.6,0.6,0.6,0.8,0.9,1,1,1.4,1.4,1.2,1,1.2,1.99,3.1,3.2,2.78,0.8,:
Lithuania,6,7.4,5.9,10.02,6.17,8.78,7.1,5.64,7.49,7.89,6.4,6.32,6.33,7,6.2,8.54,7.5,7.39,9.33,4.75,8.58,8.56,8.76,7.23,:
Luxembourg,0.1,0.1,0.1,0.1,0.1,0.1,0.02,0.02,0.02,0.02,0,:,:,:,:,0,0,0,0,0,0.01,0,0.01,0.01,:
Hungary,48.3,32.5,26,24.7,34.4,28.8,39.3,25.2,29.74,29.67,22.73,:,:,:,18.41,22.23,23.5,23.82,24.25,23.16,20.22,20.14,19.93,19.74,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,4.4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,17.25,17.9,17,21.4,23.06,20.3,19.64,19.2,18.76,:
Austria,24.7,20.8,21.1,21.1,22.4,22.3,22,23.12,22.72,23.14,5.16,5.23,4.72,4.66,5.23,5.03,3.2,5.02,7.52,6.6,7.06,6.6,7.77,6.04,:
Poland,238.1,280.1,258.5,298.8,313.3,311.2,308.3,252.77,349.08,344.34,350.09,326.5,406.5,404.7,:,305,373.29,309.71,371.53,290.64,412.5,398.8,399.9,368,:
Portugal,:,:,:,:,:,:,:,:,:,2.94,3.07,2.95,4.87,4.55,6.93,17.93,24.59,29.15,39.57,43.74,43.78,48.27,51.3,51.3,:
Romania,0.24,0.37,0.19,0.2,1.32,0.1,0.14,0.15,0.08,0.12,0.09,0.38,0.21,0.47,0.54,0.57,0.67,0.79,1.13,1.4,1.75,3.19,4.45,5.99,0
Slovenia,0.6,0.4,0.1,0.1,0.2,0.1,0.08,0.12,0.1,0.11,:,:,:,:,:,0.77,0.73,0.83,1.45,1.14,1.55,1.33,1.61,1.56,:
Slovakia,0,0,0,0,0,0,0.28,0.2,0.55,0.51,0,0,0,0,0,:,0.08,0.21,0.45,0.37,0.52,0.65,0.52,0.56,:
Finland,2.9,1.9,2.5,3.4,2.6,3.1,2.97,2.81,1.94,2.94,2.18,0,:,:,:,2.45,2.98,3.3,2.63,3.51,2.91,3.46,3.86,3.09,:
Sweden,0.71,0.72,0.62,0.75,0.77,0.82,0.79,0.81,0.83,0.83,0.85,0.79,0.88,0.89,0.97,0.94,0.97,0.88,0.88,0.87,0.75,0.92,0.92,0.88,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,2.6,3.2,3.7,3.2,3.4,:,:,:,:,:,:,3.86,:,:,:,:,:,:,:,:,:
