,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.38,0.39,0.51,0.6,0.7,0.6,0.83,0.7,0.86,:
Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0.02,0.1,0,0.08,0.11,0.14,0.23,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,:
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.03,0.09,0.1,0.1,0.13,0.11,0.12,0.12,0.1,:
Germany,:,:,:,:,:,:,6.09,5.82,4.12,9.94,8.31,6.61,8.84,10.28,12.08,11.95,10.71,13.81,12.76,14.85,11.3,15.64,15.37,15.32,:
Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Ireland,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,21.06,24.95,35.36,43.52,53.38,48.52,61.23,70.42,57.67,:
France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,0.25,0.15,0.08,0.07,0.14,0.31,0.36,0.72,0.54,0.73,1.54,:
Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,6.75,8.75,9.25,:,:
Cyprus,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,:,0,0,:,0,0,0,0,0.1,0.1,0.4,0.2,0.3,0.3,0.5,0.47,0.7,0.5,0.42,0.1,:
Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.11,0.09,0.12,0.1,0.41,0.65,0.48,0.65,0.7,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.01,0.01,0.01,0.03,0.04,0.04,0.05,0.06,0.06,:
Malta,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.37,7.7,8.3,9.3,11.06,9.2,8.5,8.1,7.78,:
Austria,:,:,:,:,:,:,:,:,:,:,0.95,0.85,0.95,0.89,0.86,0.84,0.66,0.89,1.42,1.35,1.57,1.74,2.06,1.93,:
Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,14.1,14.72,16.34,25.3,34.77,55.3,55.3,64,61.9,:
Portugal,:,:,:,:,:,:,:,:,:,0.45,0.53,0.7,1.44,1.43,1.82,4.44,6.57,9.84,11.06,15.16,15.42,17.14,19.05,19.05,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.27,0.31,0.65,0.61,1.17,1.93,3.33,3.84,0
Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.18,0.17,0.31,0.29,0.42,0.26,0.37,0.4,:
Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0.07,0.05,0.13,0.11,0.18,0.17,0.19,:
Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.15,0.15,0.14,0.13,0.2,0.15,0.19,0.18,0.2,:
Sweden,0,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.03,0.03,0.04,0.04,0.06,0.06,0.06,0.07,0.08,0.09,0.09,0.1,0.1,0.12,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,0,0,:,:
United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0.38,0.46,0.55,0.69,0.6,1.06,0.91,1.05,0.94,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.1,0,0,0,0,0,0,0
Serbia,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,:,:,16.45,19.48,53.01,:
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0.2,0.2,0.4,0,1,2.5,4,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.3,0.31,0.31,0.46,0.47,0.6,:,:
