,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,27.8,27.8,29.4,28.5,25.8,27.3,22.97,19.25,17.07,20.58,20.69,22.68,19.52,19.39,25.35,22.31,21.19,22.38,21.19,20.74,19.3,16.8,16.33,16.89,:
Bulgaria,0,0,0,0,0,0,0.41,0.24,0,0,0,0,0,0.1,0.09,0.01,0.01,0,0,0.01,0,0.06,0.01,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,:,:,:,:,:,:,5.11,7.73,7.47,10.58,10.73,11.52,11.77,9.69,8.8,11.33,10.8,13.58,12.88,14.08,14.17,17.83,14.43,15.35,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,2.92,2.75,2.91,2.91,2.91,3.66,3.47,3.35,2.93,2.53,2.48,2.66,2.44,2.62,2.47,2.62,2.62,4.02,4.02,4.33,4.33,4.27,2.99,3.86,:
Greece,11.21,13.62,14.7,15,15.8,16.2,17.02,17.1,16.53,15.2,14.07,13.75,11.41,14.82,10.52,11.63,13.24,12.77,10.84,4.12,4.46,4.58,3.15,4.58,:
Spain,88.2,84.6,88.8,87.9,90.4,85.1,83.63,84.45,:,:,73.92,68.46,68.45,75.33,91.66,96.18,93.76,94.32,94.7,114.9,100.98,153.98,159.78,140.8,:
France,26.6,25.9,25.8,24,24.7,24.8,23.8,22.9,22.6,:,20.78,17.97,16.67,16.46,16.9,16.21,15.55,15.56,18.03,16.98,26.55,29.95,26.64,29.27,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,:,129.2,105.5,107.7,99.8,100.5,113.1,109.6,129.3,:,99.73,97.67,84.14,109.3,113.45,118.19,102.16,100.1,100.69,97.77,96.99,92.92,89.81,91.46,:
Cyprus,:,:,0.69,0.69,0.66,0.66,0.66,0.68,0.44,0.45,0.42,0.46,0.44,0.4,0.48,0.45,0.38,0.91,0.76,0.55,0.8,0.79,0.58,0.72,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
