,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011.0,2012.0,2013,2014,2015,2016.0,2017,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,2495.37,2342.05,2522.68,2540.66,2789.72,2676.63,2642.97,2611.81,3099.54,3165.82,2921.05,2796.99,2829.41,2990.77,3054.92,3133.68,2228.79,2642.25,2431.04,2816.04,2565.7,2452.66,2780.16,2796.39,:
Bulgaria,5242.5,6055.8,6754,3814.1,7462.8,5839.1,5531.8,3276.36,7211.38,6606.56,7277.48,7704.04,7191.14,9366.81,9674.49,8728.97,8945.12,9737.28,10110.55,11131.81,8599.06,11639.98,9791.43,10343.47,:
Czechia,6454.2,7337.6,6770.8,5762.4,8783.8,7659.85,6386.1,7152.9,8369.5,7832,6877.62,8284.81,6595.49,7512.61,8779.3,8183.51,8596.41,7456.78,6970.92,7646.15,8126.66,8227.11,8218.42,7995.52,:
Denmark,9412.7,9423.1,8803.7,9050.9,8963.2,9283.1,8632.3,8220.2,9073.5,10116.8,8645.98,8691.25,9350.4,8945.46,9650.86,9907.84,9024.03,9882.96,6923.84,9517.92,9467.62,8640.05,9464.06,7001.95,:
Germany,45271.2,49709.3,43391.3,39426,51097,45980.2,43474.8,40632.1,50104.9,49748.2,44069.94,41960.4,45441.0,47793.2,52048.2,48917.7,45401.0,45593.2,37974.8,44329.3,43301.2,42397.6,43520.8,42507.7,:
Estonia,696.1,558.4,524.7,505.7,607.8,759.7,619,879.1,863.8,873.1,678,771.2,991.2,975.5,1221.6,1535.3,934.1,1311.9,919.83,1624.58,1632.79,1285.75,1528.55,1200.67,:
Ireland,2047.66,2045.99,1845.33,2052.06,2364.43,1859.73,2006.11,1880.35,2258.92,1940.52,1955.14,2383.02,1995.96,2309.01,2491.52,2497.93,2184.32,2259.53,1784.91,2268.0,1892.63,2363.97,2485.69,1908.64,:
Greece,4430.11,4423.99,4437.44,4480.27,4740.63,4611.76,3968.96,4140.65,5282.28,5502.38,4834.29,4997.15,4471.42,4793.52,4565.11,3588.78,3983.13,3015.72,2996.56,2946.78,3108.73,3236.56,3205.86,2310.44,:
Spain,24566.9,18055.4,21682.7,21170.2,24848.6,14325,19091.8,24543.7,24179.7,17827.3,19869.15,22094.52,17543.12,25373.44,20564.24,20783.82,24955.45,17188.44,25358.14,20598.15,27329.48,25517.6,19296.3,12458.9,:
