,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019.0,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.0,0.0,0,0.02,0.04,0.02,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.0,0.0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Greece,13.22,12.54,12.4,12.3,12.5,12.3,12.1,10.2,9.8,15.7,20.85,21.46,28.67,27.98,29.37,28.89,28.28,36.03,35.23,28.98,34.08,30.71,37.51,24.74,:
Spain,0,0,0,:,:,:,:,:,:,:,170.89,168.74,153.34,172.24,161.36,164.13,161.78,156.23,184.77,188.93,188.69,187.68,174.05,174.09,:
France,9.28,8.58,9.71,8.54,10.63,8.03,9.46,8.16,6.11,8.43,9.46,7.16,8.87,9.2,8.68,7.94,7.8,6.06,8.7,7.35,8.73,9.46,10.28,8.6,:
Croatia,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0.02,0,0.01,0.02,0.01,0.0,0.17,0.06,0.03,0.05,:
Italy,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,33.66,37.2,32.79,39.98,49.75,43,57.35,70.37,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Hungary,1,1,0.6,0.5,0.4,0.4,0.4,0.34,0.42,0.4,0.28,0.25,0.33,0.27,0.3,0.27,0.24,0.16,0.15,0.2,0.25,0.26,0.28,0.31,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Portugal,34.2,27.19,32.75,34.81,32.24,23.49,33.61,24.25,23.92,24.31,26.83,21.8,22.87,29.81,22.23,33.21,32.08,29.88,34.13,43.84,42.18,37.72,22.67,23.79,:
Romania,0,0,0,0,0.05,0.07,0.02,0.01,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.05,0.03,0.05,0.09,0
Slovenia,0,0,0,0,0,0,0.04,0.02,0.03,0.02,0,0,0,0.01,0,0,0.07,0.06,0.23,0.06,0.18,0.12,0.18,0.23,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.0,0.0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0.0,0.0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.27,0.2,0.08,0.2,0.6,0.17,0.82,:
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,:
Albania,:,:,:,:,:,:,:,:,4.7,5.3,5.6,5.2,5.8,:,5.77,5.5,6,6.2,5.2,5.8,5.6,5.1,6,6.3,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Türkiye,:,47,47,48,49,50,53.8,55.1,55,55,:,60,58,60,64,64,65,63,64.0,73.0,76,78,80,:,:
Kosovo*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,:,:,:,0.0,0.0,0,0,0,:,:
