,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019.0,2020,2021,2022,2023,2024
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Greece,50.34,38.82,57.1,50.1,47.7,80.1,62.7,56,103.5,120.9,109.48,129.25,105.65,121.01,140.46,167.01,176.03,176.88,174.15,150.64,171.85,180.93,201.46,170.25,:
Spain,1373.2,1386.7,1693.5,1683,2091.3,1299.7,1652.07,1335.39,1463.6,1330.6,1540.8,1408.98,1256.59,1477.98,1694.54,1361.31,1490.25,1214.52,1220.49,952.67,1256.84,993.56,931.41,1000.93,:
France,22.55,21.54,25.33,20.86,24.34,19.3,26.44,24.11,31.89,34.59,27.73,36.33,40.83,31.74,39.89,29.41,39.74,41.76,47.79,34.36,45.06,45.35,50.75,:,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Italy,423.7,439.4,397.7,344.1,433.9,433.5,534.8,643.4,626.5,736.8,693.79,730.56,622,510.16,478.26,613.78,572.48,649.91,453.71,632.35,506.82,673.62,639.95,668.51,:
Cyprus,:,:,16.4,13.32,16.5,16.97,16.6,15.98,12.48,12.21,16.71,20.92,18.22,17,16.61,17.79,8.53,6.9,7.23,3.9,2.4,2.14,2.25,2.2,:
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,0,0.0,0.0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Portugal,15.67,17.06,20.07,21.55,21.37,18.44,17.86,14.67,13.95,11.74,11.62,11.59,12.1,12.31,12.75,13.29,13.24,13.24,14.01,14.29,14.32,14.72,14.54,14.54,:
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0.0,0.0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0.0,0.0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0.0,0.0,:,0,0,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,0,0,0.0,0.0,0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,:
Albania,:,:,:,:,:,:,:,:,2.2,2.9,5,5.8,7.3,:,6.9,:,:,:,22.66,31.2,32.2,32.8,35.2,36,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
Türkiye,:,580,207,225,265,290,305,296,296,70,:,80,76,78,82,84,95,100,105.0,90.0,93,98,86,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0,0,0,:,:
