,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,20.85,35.85,20.51,48.27,15.8,15.19,18.38,11.48,18.8,24.76,20.04,115.18,80.55,121.25,21.24,19.13,7.61,6.32,6.81,7.93,12.65,11.12,23.51,10.06,:
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0
Czechia,235.4,170.6,172,393.4,267.3,213.2,208.6,177.3,161.19,128.8,168.59,252.85,284.04,169.93,219.65,219.7,139.03,188.68,190.5,95.71,103.16,371.07,250.14,136.24,:
Denmark,42.1,38.94,42.7,54.26,61.28,52.58,32.52,37.06,39.24,43.39,63.16,84.8,152.51,146.48,69.88,71.16,83.81,71.95,129.48,69.28,98.84,120.98,86.68,47.64,:
Germany,253.4,248.4,248.7,658.8,288.7,292.5,237.8,150.9,239.5,208.9,218.71,313.9,955.2,332.4,296.1,292.4,239.5,231.2,530.5,151.7,237.5,157.9,279.3,130.4,:
Estonia,95.3,75.6,74.4,99.7,130.1,192,154.5,194.3,178.7,197.8,179.1,201.2,188.5,269,267.7,294.1,196.4,231.89,194.5,194.73,186.83,112.09,100.08,73.34,:
Ireland,145,263.72,153.14,257.26,250.17,219.97,211.54,136.87,139.68,129.11,130.15,127.23,76.28,117.34,50.29,80.87,55.43,51.29,21.18,29.42,79.81,50.44,52.52,31.55,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,:,:,:,:,:,:,:,:,0,0,545.8,900.36,411.84,573.02,664.47,643.97,806.71,714.99,1010.57,774.88,883.79,932.5,836,342.22,:
France,101.31,91.42,87.17,169.31,108.13,66.81,54.16,38.65,34.2,73.93,103.18,81.77,0,167.97,167.92,108.06,69.32,89.46,88.99,105.77,256.17,144.29,154.09,118.52,:
Croatia,:,:,:,:,:,:,:,:,14.5,8.84,4.66,3.88,21.38,6.83,0.43,2.68,1.59,2.33,1.31,13.79,4.36,4.67,1.82,2.12,:
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,48.57,53.34,72.27,:
Cyprus,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,91.4,85.5,109.4,104.4,99.1,178.4,136.6,204.5,248.6,216.5,198.9,320.33,318.4,369.9,941.9,644.4,479.5,433.6,534.5,407,485.1,309.7,299.7,249.9,:
Lithuania,222.3,179.9,193.1,181,166.8,230.7,189.4,239.5,341.4,350.8,460,956.9,741.8,746.8,1522.8,1109.93,861.88,672.07,845.8,492.13,572.48,466,358.29,314,:
Luxembourg,1.87,3.54,2.66,2.26,2.07,3.05,2.23,1.66,2.08,3.01,3.07,3.74,3.61,4.56,7.12,4.48,1.77,2.43,1.7,1.61,2.31,1.2,2.85,1,:
Hungary,:,:,30.62,18.99,29.23,21.67,26.35,27.44,38.77,26.05,35.71,59.42,54.97,47.2,40.55,59.79,60.01,62.51,27.41,25.56,29.9,24.73,14.26,11.87,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,107.83,194.57,137.62,169.47,140.26,138.6,124.34,94.55,102.56,162.53,130.88,248.09,106.47,201.21,138.7,102.59,69.37,56.65,107.93,60.91,102.67,78.72,117.57,48.23,:
Austria,:,21.77,15.91,28.14,17.5,20.78,26.74,21.08,19.39,14.2,16.69,23.3,17.08,14.08,17.51,22.77,14.75,20.2,12.28,10.98,11.24,21.79,15.26,11.03,:
Poland,1688.5,1843.31,1441.24,1322.82,1414.66,1126.05,932.63,1041.74,990.55,1090.77,869.47,1054.59,2626.9,908.81,1329.26,1037.53,1835.09,1671.56,1519.43,1499.39,635.7,844.21,846.77,647.82,:
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,15.53,20.46,18.08,13.28,43.59,31.99,8.55,13.19,15.09,16.75,17.77,23.21,11.82,31.17,18.75,11.15,33.1,33.92,25.2,37.04,27.37,48.12,52.88,51.49,:
Slovenia,4.36,:,:,1.62,:,3.49,:,0,3.1,0,0.59,0.58,0.69,0.82,1.01,:,:,:,:,:,:,:,:,:,:
Slovakia,25.5,42.8,21.8,34.2,36.5,43,27.2,25.3,26.2,25.2,26.59,36,31.8,20.48,32.37,59.11,108.9,70.79,43.73,37.03,40.49,108.51,49.48,38.74,:
Finland,388.53,389.52,481.19,558.04,613.71,761.68,629.35,650.62,709.36,834.79,645.51,812.58,791.6,837.68,922.55,794.23,740.35,656.98,474.43,688.78,584.24,424.04,715.59,463.33,:
Sweden,242.55,204.69,264.88,230.78,252.9,289.8,172.2,167.9,197.6,217.8,269.9,260.9,355.5,549.6,335.6,315.6,339.5,298.6,220.4,214,224.1,150.1,210.7,128.4,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,0,0,0,0,0,0,0,0,0.49,:
Norway,0,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,6.39,15.92,6.39,34.27,6.17,7.89,8.86,11.64,22.23,9.67,3.37,5.95,4.15,3.75,10.01,5.18,5.01,5.58,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,73.22,28.5,7.29,5.45,8.7,3.29,3.79,2.71,11.23,15.92,15.15,14.96,16.2,29.89,7.6,6.12,13.4,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,0.62,0.33,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,38.22,27.92,51.69,31.09,29.43,13.73,30.46,26.22,:,25.25,8.56,12.25,9.21,12.44,12.38,11.36,12.61,:
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,0,:,0,0,0,0,0,0,:,0
Serbia,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,56.3,72.72,66.7,68.3,49.75,24.72,24.95,14.67,11.4,:
Türkiye,:,:,:,:,:,:,:,:,0,0,132,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Kosovo*,:,:,:,:,:,:,:,0,0,0,0,0,0,0,:,:,:,:,0,:,:,:,:,:,:
