,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011.0,2012.0,2013,2014,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021,2022,2023,2024
Belgium,1675.83,1447.23,1669.26,1716.52,1886.41,1782.66,1725.5,1628.08,1917.17,1975.8,1886.11,1677.92,1821.8,1847.89,1892.2,2069.02,1431.44,1690.84,1661.86,1902.38,1741.48,1629.18,1851.87,1809.62,:
Bulgaria,3444.18,4127.05,4138.91,2032.41,3990.64,3459.2,:,2440.16,4749.48,3902.54,4096.95,4430.33,4548.32,5610.19,5435.11,5106.96,5745.29,6271.58,5893.53,6280.15,4817.68,7292.73,6389.69,6775.38,:
Czechia,4084.1,4476.1,3866.5,2637.9,5042.5,4145,3506.3,3938.9,4631.5,4358.1,4161.55,4913.05,3518.9,4700.7,5442.35,5274.27,5454.66,4718.21,4417.84,4812.16,4902.41,4960.93,5188.69,5243.15,:
Denmark,4638.83,4609.67,4009.03,4646.73,4703.17,4830.37,4745.77,4466.65,4960.34,5871.33,5001.06,4775.22,4472.48,4097,5093.38,4971.51,4152.65,4777.89,2623.93,4642.09,4070.41,4047.09,4165.4,3556.26,:
Germany,21578.1,22814,20792,19225.1,25377.1,23641.9,22365.9,20790.1,25949.8,25125.4,23671.21,22710.2,22351.8,24966.4,27711.2,26462.3,24329.2,24311.2,20125.4,22907.9,21989.0,21252.2,22368.9,21297.9,:
Estonia,146.8,132.9,148.4,144.9,196.6,263.4,219.6,345.7,342.5,342.5,327.6,360.2,484.7,406.8,615.5,812.6,455.5,713.26,450.27,846.58,840.52,736.27,854.12,694.12,:
Ireland,689.38,724.48,811.74,764.55,949.28,765.37,766.8,647.05,899.17,646.39,640.43,872.06,656.22,524.84,678.56,653.41,610.24,634.4,485.48,595.36,364.92,628.08,701.24,485.39,:
Greece,426.57,416.9,397.34,335.94,285.8,282,449.87,486.5,548.44,511.32,446.46,463.55,497.89,603.74,657.91,369.74,492.52,302.85,298.63,295.28,301.42,278.24,262.75,245.64,:
Spain,5478.92,3180.48,4777.58,4123.52,4490.97,3164.11,3968.6,5330.34,5777.92,3483.78,5056.24,7156.51,4881.22,7088.86,5875.72,5659.04,7092.59,3922.01,6980.39,5304.31,7319.46,7758.38,5813.5,3691.68,:
France,35253.65,29837.67,36885.75,28715.87,37170.01,34438.15,32877.01,30421.1,36471.13,35812.08,35074,33575.21,35090.12,36442.08,37030.43,40468.54,27299.47,36134.03,33649.54,39056.97,28870.79,34984.89,33302.04,34593.79,:
Croatia,:,:,:,:,:,:,:,:,859.36,941.66,682.54,779.18,1005.19,1005.71,650.82,761.73,966.55,692.26,751.13,801.47,864.28,983.39,967.22,821.24,:
