,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,17.4,17.59,16.85,23.58,25.53,24.49,27.47,27.6,32.04,34.92,40.05,:
Bulgaria,:,:,:,:,:,:,:,:,:,:,44.76,40.7,28,40.8,44.51,41.58,56.99,37.98,59.79,41.32,41.85,44.03,46.79,44.53,:
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0
Denmark,:,:,:,:,:,:,:,:,:,:,15.4,18.24,18.24,19.2,:,19.51,20,15.88,16.35,16.35,16.35,15.59,15.59,15.59,:
Germany,:,:,:,:,:,:,:,:,:,:,48.4,55.69,50.7,50.47,52.28,42.76,46.6,58.63,61.06,61.89,63.26,67.04,59.02,68.77,:
Estonia,0,0,0,0,3,4.1,3.7,4.8,5.2,4.3,4.8,3.9,5.4,3.6,3.6,5.4,4.01,3.83,3.56,4.66,:,:,:,:,:
Ireland,1.86,2.18,2.31,2.31,1.87,1.92,1.92,1.89,1.75,1.92,1.92,1.92,1.73,1.73,1.44,1.83,1.65,1.65,1.65,1.73,1.85,1.76,1.79,1.8,:
Greece,128.72,130.61,132,132.08,126.4,126,134.48,128.67,133.78,132.72,83.17,93.42,121.57,132.02,155.06,115.43,107.59,107.09,121.2,118.63,126.28,123.14,110.6,123.9,:
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,685.19,608.82,614.47,626.9,723.41,779.27,727.01,752.82,706.73,:
France,:,:,:,:,:,:,:,:,:,:,114.76,109.49,116.84,113.2,115.67,121.11,120.5,127.85,119.06,122.99,163.02,163.13,145.42,152.31,:
Croatia,0,0,0,0,0,0,0,0,1.47,2.11,3.17,3.1,2.02,4.85,4.21,3.84,4.7,7.39,3.32,1.86,5.43,7.55,9.9,5.33,:
Italy,:,:,:,:,:,:,:,:,:,:,33.89,:,74.05,38.96,:,34.73,37.76,33.54,33.09,38.67,38.36,41.12,38.37,41.88,:
Cyprus,:,:,:,:,14.04,13.4,13.64,12.24,10.95,10.1,9.77,9.75,8.76,9.26,9.83,6.21,9.61,6.99,8.59,6.67,6.73,6.5,5.34,5.47,:
Latvia,3.9,4.5,6.2,7.1,0,6.7,7.9,0,6.9,7.2,6.4,8.4,8.3,8,7.5,6.4,7.1,5.8,6,6.15,7.4,7.3,8.04,5.81,:
Lithuania,:,:,:,:,:,:,:,:,:,:,12.2,13.3,11.9,11.3,12,10.1,9.12,12.19,8.91,13.09,10.56,15.4,16.15,16.66,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,0.04,0.05,0.05,0.02,0.02,0,0,0,0,0.01,0.01,:
Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Malta,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,408,400,440,405,370,400,410,410,430,440,400,426,:
Austria,:,:,:,:,:,:,:,:,:,:,26.34,30.66,31.58,30.95,32.23,29.62,34.4,34.65,35.23,34.13,35.02,37.09,34.19,34.32,:
Poland,:,:,:,:,:,:,:,:,:,:,214.77,:,:,:,265.1,266.7,276.86,294.63,293.26,297.1,266.7,305.7,327.7,316.8,:
