,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020.0,2021,2022,2023,2024
Belgium,8.3,7.9,10.5,9.3,9.2,9.2,9,9.6,9,9,7.34,7.18,7.29,7.52,7.47,7.29,6.71,6.98,3.75,3.71,3.7,3.54,3.65,3.43,:
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Germany,12.3,13.3,9.7,11.9,11.6,12.1,14.2,15.58,16.41,:,16.66,19.57,24.06,22.82,17.39,20.1,19.06,19.04,19.23,21.34,22.13,16.48,19.39,13.94,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Greece,5.61,8.24,9.11,10.2,11.6,10.7,10.8,10.22,14.16,16.7,6.92,8.25,8.66,10.55,5.33,6.29,8.29,7.83,6.14,6.74,6.85,3.68,2.71,6.95,:
Spain,61.3,69.1,71.1,72.2,77.1,80.1,12.09,9.89,:,:,9.31,8.72,8.55,8.89,75.73,71.52,67.55,68.75,76.01,69.28,91.78,86.9,85.4,68.83,:
France,126,119.8,113.2,115.2,106.5,108.1,110.7,110.1,103.5,:,93.86,58.75,62.47,57.52,59.15,64.11,59.61,55.14,57,54.68,26.13,24.24,25.66,26.12,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Italy,248.2,228,214.6,220.6,238,229.3,224,221.9,230.9,226,237.77,223.75,205.4,217.84,215.38,221.08,202.08,205.18,207.29,197.55,198.19,200.8,152.86,195.49,:
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Latvia,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Luxembourg,0.1,0,0,0,0,0.1,0.09,0.08,0.07,0.07,0.08,0.11,0.1,0.12,0.14,0.14,0.01,0.01,0.06,0.06,0.06,0.06,0.08,0.06,:
Hungary,:,:,:,:,:,:,:,:,0,0,0,0,0,0,:,3.55,3.83,3.93,4.16,1.73,1.4,1.17,1.4,2.49,0
Malta,0,0,0,0,0,0.17,0.2,0.17,0.16,0.17,0.17,0.18,0.19,0.16,0.14,0.15,0.12,0.11,0.13,0.1,0.09,0.09,0.12,0.12,0
Netherlands,31,28,30,26,29,28,26.5,29,27,26,27,26,19,17,17,16.01,17.6,10.85,9.61,9.41,8.87,9.26,6.99,10.15,:
Austria,0,0,0,0,0,0,0,4.45,4.29,4.42,3.4,3.61,3.68,3.81,3.33,4.19,2.94,3.44,3.46,4.65,5.22,5.36,4.3,5.23,:
Poland,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4,0.5,0.1,0.1,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,0.05,0.05,0.15,0.04,0.1,0,0,0,0.52,0.0,0,0,0,:
Romania,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.0,0,0,0,0
Slovenia,2.27,1.71,2.2,2.08,3.18,3.24,3.13,2.53,3.12,3.12,1.84,2.85,2.76,0,3.87,3.71,3.07,2.63,2.81,2.76,3.1,2.67,1.85,1.43,:
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,:,0.0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Iceland,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0.0,0,:,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0.0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.41,9.41,7.68,7.64,6.59,7.15,7.56,5.75,:,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0.0,0,0,0,0
North Macedonia,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0.0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0.0,0,:,0,0
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0.0,0,0,:,:
